Alright	RB	alright
,	,	,
well	RB	well
,	,	,
let	VBP	let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
an	DT	an
easy	JJ	easy
question	NN	question
.	SENT	.
How	WRB	how
many	JJ	many
of	IN	of
you	PP	you
are	VBP	be
wearing	VBG	wear
a	DT	a
Fitbit	NP	<unknown>
or	CC	or
an	DT	an
Apple	NP	Apple
Watch	NN	watch
or	CC	or
some	DT	some
other	JJ	other
kind	NN	kind
of	IN	of
health	NN	health
tracking	NN	tracking
device	NN	device
?	SENT	?
And	CC	and
how	WRB	how
many	JJ	many
of	IN	of
you	PP	you
have	VBP	have
got	VBN	get
a	DT	a
smartphone	NN	smartphone
with	IN	with
you	PP	you
here	RB	here
today	NN	today
?	SENT	?
Maybe	RB	maybe
I	PP	I
should	MD	should
say	VB	say
how	WRB	how
many	JJ	many
of	IN	of
you	PP	you
have	VBP	have
not	RB	not
?	SENT	?
The	DT	the
fact	NN	fact
that	IN	that
so	RB	so
many	JJ	many
of	IN	of
us	PP	us
have	VBP	have
these	DT	these
technological	JJ	technological
marvels	NNS	marvel
in	IN	in
our	PP$	our
pockets	NNS	pocket
or	CC	or
on	IN	on
our	PP$	our
body	NN	body
is	VBZ	be
a	DT	a
sure	JJ	sure
sign	NN	sign
of	IN	of
the	DT	the
revolution	NN	revolution
that	RB	that
'	POS	'
s	JJ	<unknown>
taking	VBG	take
place	NN	place
in	IN	in
computing	NN	computing
over	IN	over
the	DT	the
last	JJ	last
decade	NN	decade
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
think	VB	think
with	IN	with
me	PP	me
for	IN	for
a	DT	a
second	NN	second
about	IN	about
the	DT	the
elements	NNS	element
of	IN	of
that	DT	that
revolution	NN	revolution
.	SENT	.
So	RB	so
first	RB	first
off	RB	off
,	,	,
are	VBP	be
the	DT	the
data	NNS	datum
.	SENT	.
These	DT	these
devices	NNS	device
are	VBP	be
collecting	VBG	collect
data	NNS	datum
about	IN	about
our	PP$	our
health	NN	health
,	,	,
our	PP$	our
movements	NNS	movement
,	,	,
our	PP$	our
habits	NNS	habit
and	CC	and
more	JJR	more
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
is	VBZ	be
that	IN	that
those	DT	those
data	NNS	datum
are	VBP	be
not	RB	not
generic	JJ	generic
population	NN	population
data	NNS	datum
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
data	NNS	datum
that	WDT	that
are	VBP	be
personalized	VBN	personalize
to	TO	to
us	PP	us
,	,	,
each	DT	each
as	IN	as
an	DT	an
individual	NN	individual
.	SENT	.
Second	RB	second
,	,	,
and	CC	and
just	RB	just
as	RB	as
important	JJ	important
,	,	,
are	VBP	be
the	DT	the
models	NNS	model
.	SENT	.
Inside	IN	inside
these	DT	these
devices	NNS	device
are	VBP	be
very	RB	very
powerful	JJ	powerful
mathematical	JJ	mathematical
and	CC	and
statistical	JJ	statistical
models	NNS	model
.	SENT	.
Some	DT	some
of	IN	of
these	DT	these
models	NNS	model
are	VBP	be
learned	VBN	learn
entirely	RB	entirely
from	IN	from
data	NNS	datum
,	,	,
perhaps	RB	perhaps
a	DT	a
machine-learning	NN	machine-learning
model	NN	model
that	WDT	that
has	VBZ	have
learned	VBN	learn
to	TO	to
classify	VB	classify
whether	IN	whether
I	PP	I
'	POS	'
m	NN	m
running	VBG	run
or	CC	or
walking	VBG	walk
or	CC	or
biking	VBG	bike
or	CC	or
sleeping	VBG	sleep
.	SENT	.
Some	DT	some
of	IN	of
these	DT	these
models	NNS	model
are	VBP	be
based	VBN	base
in	IN	in
physics	NNS	physic
,	,	,
such	JJ	such
as	IN	as
a	DT	a
physiological	JJ	physiological
model	NN	model
that	WDT	that
describes	VBZ	describe
the	DT	the
equations	NNS	equation
