Let	NP	Let
'	POS	'
s	NNS	<unknown>
talk	VBP	talk
about	RB	about
regret	VB	regret
.	SENT	.
It	PP	it
is	VBZ	be
,	,	,
to	TO	to
my	PP$	my
mind	NN	mind
,	,	,
our	PP$	our
most	RBS	most
misunderstood	JJ	misunderstood
emotion	NN	emotion
,	,	,
and	CC	and
so	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
spend	VB	spend
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
studying	VBG	study
it	PP	it
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
I	PP	I
did	VBD	do
is	VBZ	be
I	PP	I
went	VBD	go
back	RB	back
and	CC	and
I	PP	I
looked	VBD	look
at	IN	at
about	RB	about
50	CD	@card@
years	NNS	year
of	IN	of
social	JJ	social
science	NN	science
on	IN	on
regret	NN	regret
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
it	PP	it
tells	VBZ	tell
you	PP	you
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
save	VB	save
you	PP	you
the	DT	the
trouble	NN	trouble
of	IN	of
reading	VBG	read
a	DT	a
half	JJ	half
century	NN	century
of	IN	of
social	JJ	social
science	NN	science
.	SENT	.
The	DT	the
research	NN	research
tells	VBZ	tell
us	PP	us
that	IN	that
everybody	NN	everybody
has	VBZ	have
regrets	NNS	regret
,	,	,
regrets	NNS	regret
make	VBP	make
us	PP	us
human	JJ	human
.	SENT	.
Truly	RB	truly
,	,	,
the	DT	the
only	JJ	only
people	NNS	people
without	IN	without
regrets	NNS	regret
are	VBP	be
five-year-olds	NNS	five-year-old
,	,	,
people	NNS	people
with	IN	with
brain	NN	brain
damage	NN	damage
and	CC	and
sociopaths	NNS	sociopath
.	SENT	.
The	DT	the
rest	NN	rest
of	IN	of
us	PP	us
,	,	,
we	PP	we
have	VBP	have
regrets	NNS	regret
,	,	,
and	CC	and
if	IN	if
we	PP	we
treat	VBP	treat
our	PP$	our
regrets	NNS	regret
right	RB	right
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
if	IN	if
,	,	,
but	CC	but
there	EX	there
are	VBP	be
ways	NNS	way
to	TO	to
do	VB	do
it	PP	it
,	,	,
regrets	NNS	regret
can	MD	can
actually	RB	actually
make	VB	make
us	PP	us
better	JJR	good
.	SENT	.
They	PP	they
can	MD	can
improve	VB	improve
our	PP$	our
decision-making	NN	decision-making
skills	NNS	skill
,	,	,
improve	VB	improve
our	PP$	our
negotiation	NN	negotiation
skills	NNS	skill
,	,	,
make	VB	make
us	PP	us
better	JJR	good
strategists	NNS	strategist
,	,	,
make	VB	make
us	PP	us
better	JJR	good
problem	NN	problem
solvers	NNS	solver
,	,	,
enhance	VB	enhance
our	PP$	our
sense	NN	sense
of	IN	of
meaning	VBG	mean
if	IN	if
we	PP	we
treat	VBP	treat
them	PP	them
right	RB	right
.	SENT	.
And	CC	and
the	DT	the
good	JJ	good
news	NN	news
is	VBZ	be
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
systematic	JJ	systematic
way	NN	way
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
But	CC	but
I	PP	I
want	VBP	want
to	TO	to
take	VB	take
just	RB	just
a	DT	a
few	JJ	few
minutes	NNS	minute
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
another	DT	another
aspect	NN	aspect
of	IN	of
regret	NN	regret
that	IN	that
I	PP	I
think	VBP	think
is	VBZ	be
really	RB	really
,	,	,
really	RB	really
just	RB	just
super	JJ	super
interesting	JJ	interesting
.	SENT	.
As	IN	as
part	NN	part
of	IN	of
the	DT	the
research	NN	research
here	RB	here
,	,	,
I	PP	I
decided	VBD	decide
to	TO	to
ask	VB	ask
people	NNS	people
for	IN	for
their	PP$	their
regrets	NNS	regret
,	,	,
and	CC	and
to	TO	to
my	PP$	my
surprise	NN	surprise
,	,	,
I	PP	I
ended	VBD	end
up	RP	up
collecting	VBG	collect
about	IN	about
16	CD	@card@
,	,	,
000	CD	@card@
regrets	NNS	regret
from	IN	from
people	NNS	people
in	IN	in
105	CD	@card@
countries	NNS	country
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
extraordinary	JJ	extraordinary
trove	NN	trove
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
realized	VBD	realize
when	WRB	when
I	PP	I
went	VBD	go
through	IN	through
this	DT	this
incredible	JJ	incredible
database	NN	database
of	IN	of
human	JJ	human
longing	NN	longing
and	CC	and
aspiration	NN	aspiration
is	VBZ	be
that	IN	that
around	IN	around
the	DT	the
world	NN	world
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
very	RB	very
little	RB	little
national	JJ	national
difference	NN	difference
here	RB	here
,	,	,
people	NNS	people
kept	VBD	keep
expressing	VBG	express
the	DT	the
same	JJ	same
four	CD	four
regrets	NNS	regret
.	SENT	.
Around	IN	around
the	DT	the
world	NN	world
,	,	,
there	EX	there
are	VBP	be
the	DT	the
same	JJ	same
four	CD	four
regrets	NNS	regret
that	WDT	that
keep	VBP	keep
coming	VBG	come
up	RP	up
over	IN	over
and	CC	and
over	IN	over
and	CC	and
over	IN	over
again	RB	again
.	SENT	.
So	RB	so
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
is	VBZ	be
just	RB	just
quickly	RB	quickly
tell	VB	tell
you	PP	you
about	IN	about
these	DT	these
four	CD	four
core	NN	core
regrets	NNS	regret
,	,	,
because	IN	because
I	PP	I
think	VBP	think
they	PP	they
reveal	VBP	reveal
something	NN	something
incredibly	RB	incredibly
important	JJ	important
and	CC	and
interesting	JJ	interesting
.	SENT	.
So	IN	so
the	DT	the
four	CD	four
core	NN	core
regrets	VBZ	regret
that	IN	that
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
cover	VB	cover
.	SENT	.
Number	NN	number
one	CD	one
,	,	,
what	WP	what
I	PP	I
call	VBP	call
foundation	NN	foundation
regrets	NNS	regret
.	SENT	.
Foundation	NP	Foundation
regrets	VBZ	regret
.	SENT	.
These	DT	these
are	VBP	be
people	NNS	people
who	WP	who
regret	VBP	regret
things	NNS	thing
like	IN	like
this	DT	this
:	:	:
not	RB	not
saving	VBG	save
enough	JJ	enough
money	NN	money
,	,	,
which	WDT	which
would	MD	would
be	VB	be
like	JJ	like
,	,	,
you	PP	you
know	VBP	know
,	,	,
financial	JJ	financial
regret	NN	regret
,	,	,
not	RB	not
taking	VBG	take
care	NN	care
of	IN	of
their	PP$	their
health	NN	health
and	CC	and
not	RB	not
eating	VBG	eat
right	NN	right
,	,	,
health	NN	health
regret	NN	regret
.	SENT	.
But	CC	but
they	PP	they
'	POS	'
re	NN	re
the	DT	the
same	JJ	same
.	SENT	.
Those	DT	those
kinds	NNS	kind
of	IN	of
regrets	NNS	regret
are	VBP	be
about	RB	about
making	VBG	make
choices	NNS	choice
that	IN	that
didn	NP	<unknown>
'	POS	'
t	NN	t
allow	VB	allow
you	PP	you
to	TO	to
have	VB	have
some	DT	some
stability	NN	stability
,	,	,
a	DT	a
stable	JJ	stable
platform	NN	platform
for	IN	for
their	PP$	their
life	NN	life
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
who	WP	who
regret	VBP	regret
not	RB	not
working	VBG	work
hard	RB	hard
enough	RB	enough
in	IN	in
school	NN	school
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
who	WP	who
regret	VBP	regret
--	:	--
I	PP	I
got	VBD	get
a	DT	a
lot	NN	lot
of	IN	of
regrets	NNS	regret
about	IN	about
not	RB	not
saving	VBG	save
money	NN	money
.	SENT	.
And	CC	and
it	PP	it
reminds	VBZ	remind
me	PP	me
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
Aesop	NP	<unknown>
'	POS	'
s	JJ	<unknown>
fable	NN	fable
of	IN	of
the	DT	the
ant	NN	ant
and	CC	and
the	DT	the
grasshopper	NN	grasshopper
,	,	,
where	WRB	where
earlier	JJR	early
in	IN	in
their	PP$	their
life	NN	life
they	PP	they
acted	VBD	act
like	IN	like
a	DT	a
grasshopper	NN	grasshopper
instead	RB	instead
of	IN	of
the	DT	the
ant	NN	ant
,	,	,
and	CC	and
now	RB	now
it	PP	it
'	POS	'
s	NNS	<unknown>
catching	VBG	catch
up	RP	up
with	IN	with
them	PP	them
.	SENT	.
So	IN	so
foundation	NN	foundation
regrets	NNS	regret
sound	JJ	sound
like	IN	like
this	DT	this
:	:	:
"	``	"
If	IN	if
only	RB	only
"	''	"
--	:	--
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
catch	NN	catch
phrase	NN	phrase
of	IN	of
regret	NN	regret
,	,	,
"	''	"
if	IN	if
only	RB	only
"	''	"
--	:	--
"	``	"
If	IN	if
only	JJ	only
I	NP	I
'	POS	'
d	NN	d
done	VBN	do
the	DT	the
work	NN	work
.	SENT	.
"	''	"
Second	JJ	second
category	NN	category
.	SENT	.
I	PP	I
love	VBP	love
this	DT	this
category	NN	category
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
fascinating	JJ	fascinating
.	SENT	.
Boldness	NN	boldness
regrets	NNS	regret
.	SENT	.
I	PP	I
have	VBP	have
hundreds	NNS	hundred
of	IN	of
regrets	NNS	regret
around	IN	around
the	DT	the
world	NN	world
that	WDT	that
go	VBP	go
like	IN	like
this	DT	this
:	:	:
"	``	"
X	NP	X
years	NNS	year
ago	RB	ago
,	,	,
there	EX	there
was	VBD	be
a	DT	a
man	NN	man
/	SYM	/
woman	NN	woman
whom	WP	whom
I	PP	I
really	RB	really
liked	VBD	like
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
ask	VB	ask
him	PP	him
/	SYM	/
her	PP	her
out	RB	out
on	IN	on
a	DT	a
date	NN	date
,	,	,
but	CC	but
I	PP	I
was	VBD	be
too	RB	too
scared	VBN	scare
to	TO	to
do	VB	do
it	PP	it
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
regretted	VBD	regret
it	PP	it
ever	RB	ever
since	RB	since
.	SENT	.
"	``	"
I	PP	I
also	RB	also
have	VBP	have
hundreds	NNS	hundred
of	IN	of
regrets	NNS	regret
by	IN	by
people	NNS	people
who	WP	who
said	VBD	say
:	:	:
"	``	"
Oh	UH	oh
,	,	,
I	PP	I
always	RB	always
wanted	VBD	want
to	TO	to
start	VB	start
a	DT	a
business	NN	business
,	,	,
but	CC	but
I	PP	I
never	RB	never
had	VBD	have
the	DT	the
guts	NNS	gut
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
"	``	"
People	NNS	people
who	WP	who
said	VBD	say
:	:	:
"	``	"
Oh	UH	oh
,	,	,
I	PP	I
wish	VBP	wish
I	PP	I
'	''	'
d	SYM	d
spoken	VBN	speak
up	RP	up
more	RBR	more
.	SENT	.
I	PP	I
wish	VBP	wish
I	PP	I
'	''	'
d	NN	d
said	VBD	say
something	NN	something
and	CC	and
asserted	VBD	assert
myself	PP	myself
.	SENT	.
"	``	"
These	DT	these
are	VBP	be
,	,	,
as	IN	as
I	PP	I
said	VBD	say
before	RB	before
,	,	,
what	WP	what
I	PP	I
call	VBP	call
boldness	NN	boldness
regrets	NNS	regret
.	SENT	.
And	CC	and
we	PP	we
get	VBP	get
to	TO	to
a	DT	a
juncture	NN	juncture
in	IN	in
our	PP$	our
life	NN	life
and	CC	and
we	PP	we
have	VBP	have
a	DT	a
choice	NN	choice
.	SENT	.
We	PP	we
can	MD	can
play	VB	play
it	PP	it
safe	JJ	safe
or	CC	or
we	PP	we
can	MD	can
take	VB	take
the	DT	the
chance	NN	chance
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
found	VBN	find
is	VBZ	be
overwhelmingly	RB	overwhelmingly
people	NNS	people
regret	VBP	regret
not	RB	not
taking	VBG	take
the	DT	the
chance	NN	chance
.	SENT	.
Even	RB	even
people	NNS	people
who	WP	who
took	VBD	take
the	DT	the
chance	NN	chance
and	CC	and
it	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
work	NN	work
out	IN	out
don	NN	don
'	POS	'
t	NN	t
really	RB	really
have	VBP	have
many	JJ	many
regrets	NNS	regret
about	IN	about
that	DT	that
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
people	NNS	people
who	WP	who
didn	NP	<unknown>
'	POS	'
t	NN	t
take	VB	take
the	DT	the
chance	NN	chance
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
boldness	NN	boldness
regrets	NNS	regret
.	SENT	.
Boldness	NN	boldness
regrets	NNS	regret
sound	JJ	sound
like	IN	like
this	DT	this
:	:	:
"	``	"
If	IN	if
only	JJ	only
I	NP	I
'	POS	'
d	NN	d
taken	VBN	take
the	DT	the
chance	NN	chance
.	SENT	.
"	''	"
Third	JJ	third
category	NN	category
