When	WRB	when
we	PP	we
look	VBP	look
at	IN	at
the	DT	the
night	NN	night
sky	NN	sky
,	,	,
we	PP	we
see	VBP	see
a	DT	a
vast	JJ	vast
cosmos	NNS	cosmos
filled	VBN	fill
with	IN	with
stars	NNS	star
and	CC	and
galaxies	NNS	galaxy
and	CC	and
dust	NN	dust
,	,	,
a	DT	a
cosmos	NNS	cosmos
teeming	VBG	teem
with	IN	with
luminous	JJ	luminous
phenomena	NNS	phenomenon
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
all	RB	all
heard	VBD	hear
some	DT	some
version	NN	version
of	IN	of
that	DT	that
famous	JJ	famous
Carl	NP	Carl
Sagan	NP	Sagan
line	NN	line
,	,	,
"	``	"
We	PP	we
are	VBP	be
made	VBN	make
of	IN	of
star	NN	star
stuff	NN	stuff
.	SENT	.
"	``	"
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
true	JJ	true
,	,	,
we	PP	we
are	VBP	be
.	SENT	.
And	CC	and
that	DT	that
makes	VBZ	make
it	PP	it
easy	JJ	easy
to	TO	to
believe	VB	believe
that	IN	that
what	WP	what
matters	VBZ	matter
is	VBZ	be
what	WP	what
'	POS	'
s	NNS	<unknown>
visible	JJ	visible
--	:	--
us	PP	us
,	,	,
the	DT	the
trees	NNS	tree
,	,	,
the	DT	the
stars	NNS	star
--	:	--
because	IN	because
it	PP	it
helps	VBZ	help
us	PP	us
feel	VBP	feel
connected	VBN	connect
to	TO	to
everything	NN	everything
that	IN	that
we	PP	we
can	MD	can
see	VB	see
.	SENT	.
Today	NN	today
,	,	,
we	PP	we
know	VBP	know
that	IN	that
everything	NN	everything
visible	JJ	visible
in	IN	in
the	DT	the
universe	NN	universe
is	VBZ	be
composed	VBN	compose
from	IN	from
a	DT	a
basic	JJ	basic
set	NN	set
of	IN	of
building	NN	building
blocks	NNS	block
known	VBN	know
as	IN	as
elementary	JJ	elementary
particles	NNS	particle
.	SENT	.
We	PP	we
call	VBP	call
this	DT	this
incredibly	RB	incredibly
elegant	JJ	elegant
picture	NN	picture
the	DT	the
standard	JJ	standard
model	NN	model
of	IN	of
particle	NN	particle
physics	NNS	physic
,	,	,
and	CC	and
we	PP	we
understand	VBP	understand
it	PP	it
in	IN	in
great	JJ	great
mathematical	JJ	mathematical
detail	NN	detail
.	SENT	.
Comprehending	VBG	comprehend
the	DT	the
standard	JJ	standard
model	NN	model
is	VBZ	be
an	DT	an
enormous	JJ	enormous
achievement	NN	achievement
.	SENT	.
But	CC	but
we	PP	we
are	VBP	be
now	RB	now
certain	JJ	certain
that	IN	that
it	PP	it
describes	VBZ	describe
very	RB	very
little	JJ	little
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
out	RP	out
there	RB	there
.	SENT	.
It	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
most	JJS	most
of	IN	of
the	DT	the
stuff	NN	stuff
which	WDT	which
fills	VBZ	fill
our	PP$	our
universe	NN	universe
is	VBZ	be
completely	RB	completely
invisible	JJ	invisible
to	TO	to
us	PP	us
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
visible	JJ	visible
matter	NN	matter
,	,	,
the	DT	the
kind	NN	kind
that	IN	that
we	PP	we
and	CC	and
the	DT	the
stars	NNS	star
are	VBP	be
made	VBN	make
from	IN	from
,	,	,
the	DT	the
kind	NN	kind
that	WDT	that
radiates	VBZ	radiate
light	NN	light
,	,	,
is	VBZ	be
not	RB	not
what	WP	what
'	POS	'
s	NNS	<unknown>
normal	JJ	normal
.	SENT	.
And	CC	and
we	PP	we
,	,	,
the	DT	the
luminous	JJ	luminous
matter	NN	matter
,	,	,
we	PP	we
are	VBP	be
the	DT	the
cosmic	JJ	cosmic
weirdos	NNS	weirdo
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
we	PP	we
know	VBP	know
?	SENT	?
Well	RB	well
,	,	,
consider	VBP	consider
this	DT	this
invisible	JJ	invisible
nonbinary	JJ	nonbinary
person	NN	person
,	,	,
who	WP	who
'	POS	'
s	JJ	<unknown>
hiding	NN	hiding
in	IN	in
plain	JJ	plain
sight	NN	sight
inside	IN	inside
of	IN	of
their	PP$	their
suit	NN	suit
.	SENT	.
We	PP	we
can	MD	can
'	''	'
t	NN	t
exactly	RB	exactly
see	VBP	see
a	DT	a
person	NN	person
,	,	,
but	CC	but
we	PP	we
know	VBP	know
that	IN	that
they	PP	they
'	POS	'
re	NN	re
there	RB	there
,	,	,
because	IN	because
the	DT	the
suit	NN	suit
is	VBZ	be
filled	VBN	fill
out	RP	out
.	SENT	.
So	IN	so
the	DT	the
presence	NN	presence
of	IN	of
the	DT	the
