Susan	NP	Susan
Cain	NP	Cain
:	:	:
The	DT	the
idea	NN	idea
of	IN	of
bittersweetness	NN	bittersweetness
is	VBZ	be
that	IN	that
we	PP	we
live	VBP	live
in	IN	in
a	DT	a
constant	JJ	constant
state	NN	state
,	,	,
all	DT	all
humans	NNS	human
do	VBP	do
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
constant	JJ	constant
state	NN	state
of	IN	of
a	DT	a
kind	NN	kind
of	IN	of
existence	NN	existence
simultaneously	RB	simultaneously
of	IN	of
joy	NN	joy
and	CC	and
sorrow	NN	sorrow
,	,	,
dark	JJ	dark
and	CC	and
light	JJ	light
,	,	,
bitter	JJ	bitter
and	CC	and
sweet	JJ	sweet
.	SENT	.
And	CC	and
then	RB	then
what	WP	what
comes	VBZ	come
with	IN	with
that	WDT	that
is	VBZ	be
a	DT	a
heightened	JJ	heightened
awareness	NN	awareness
of	IN	of
impermanence	NN	impermanence
in	IN	in
all	DT	all
things	NNS	thing
,	,	,
and	CC	and
also	RB	also
a	DT	a
kind	NN	kind
of	IN	of
curiously	RB	curiously
piercing	VBG	pierce
joy	NN	joy
at	IN	at
the	DT	the
beauty	NN	beauty
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
Because	IN	because
there	EX	there
'	''	'
s	NN	S
something	NN	something
about	IN	about
having	VBG	have
this	DT	this
deep	JJ	deep
awareness	NN	awareness
that	IN	that
the	DT	the
joy	NN	joy
comes	VBZ	come
with	IN	with
sorrow	NN	sorrow
,	,	,
the	DT	the
sorrow	NN	sorrow
comes	VBZ	come
with	IN	with
joy	NN	joy
,	,	,
that	WDT	that
makes	VBZ	make
us	PP	us
really	RB	really
attuned	VBD	attune
to	TO	to
the	DT	the
insane	JJ	insane
beauty	NN	beauty
all	RB	all
around	IN	around
us	PP	us
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
think	VBP	think
the	DT	the
Stoics	NNS	stoic
come	VBP	come
at	IN	at
that	DT	that
from	IN	from
one	CD	one
point	NN	point
of	IN	of
view	NN	view
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
stoic	JJ	stoic
idea	NN	idea
of	IN	of
,	,	,
they	PP	they
would	MD	would
call	VB	call
it	PP	it
memento	NN	memento
mori	NNS	<unknown>
,	,	,
to	TO	to
remember	VB	remember
all	PDT	all
the	DT	the
time	NN	time
that	IN	that
we	PP	we
could	MD	could
die	VB	die
tomorrow	NN	tomorrow
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
way	NN	way
of	IN	of
both	DT	both
calming	VBG	calm
us	PP	us
down	RP	down
and	CC	and
also	RB	also
making	VBG	make
life	NN	life
feel	VBP	feel
a	DT	a
little	RB	little
more	RBR	more
precious	JJ	precious
.	SENT	.
So	RB	so
you	PP	you
know	VBP	know
,	,	,
the	DT	the
Stoics	NNS	stoic
come	VBP	come
at	IN	at
it	PP	it
from	IN	from
that	DT	that
point	NN	point
of	IN	of
view	NN	view
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
that	IN	that
I	PP	I
think	VBP	think
of	IN	of
myself	PP	myself
as	IN	as
a	DT	a
Stoic	JJ	Stoic
explicitly	RB	explicitly
,	,	,
but	CC	but
I	PP	I
do	VBP	do
feel	VB	feel
there	RB	there
'	''	'
s	NN	S
something	NN	something
about	IN	about
being	VBG	be
aware	JJ	aware
of	IN	of
life	NN	life
'	POS	'
s	NN	S
fragility	NN	fragility
that	WDT	that
situates	VBZ	situate
us	PP	us
exactly	RB	exactly
where	WRB	where
we	PP	we
should	MD	should
be	VB	be
.	SENT	.
Whitney	NP	Whitney
Pennington	NP	Pennington
Rodgers	NP	Rodgers
:	:	:
Why	WRB	why
do	VBP	do
you	PP	you
think	VBP	think
art	NN	art
is	VBZ	be
a	DT	a
way	NN	way
that	IN	that
we	PP	we
see	VBP	see
bittersweetness	NN	bittersweetness
being	VBG	be
expressed	VBN	express
really	RB	really
masterfully	RB	masterfully
?	SENT	?
SC	NP	SC
:	:	:
I	PP	I
believe	VBP	believe
that	IN	that
all	DT	all
humans	NNS	human
.	SENT	.
.	SENT	.
.	SENT	.
That	IN	that
the	DT	the
most	RBS	most
fundamental	JJ	fundamental
aspect	NN	aspect
of	IN	of
our	PP$	our
humanity	NN	humanity
is	VBZ	be
that	IN	that
we	PP	we
all	RB	all
have	VBP	have
a	DT	a
kind	NN	kind
of	IN	of
longing	NN	longing
for	IN	for
a	DT	a
state	NN	state
that	IN	that
I	PP	I
call	VBP	call
the	DT	the
perfect	JJ	perfect
and	CC	and
beautiful	JJ	beautiful
world	NN	world
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
like	VBP	like
in	IN	in
"	``	"
The	DT	the
Wizard	NN	wizard
of	IN	of
Oz	NP	Oz
,	,	,
"	''	"
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
"	``	"
somewhere	RB	somewhere
over	IN	over
the	DT	the
rainbow	NN	rainbow
,	,	,
"	''	"
all	DT	all
religions	NNS	religion
have	VBP	have
their	PP$	their
own	JJ	own
name	NN	name
for	IN	for
it	PP	it
,	,	,
my	PP$	my
favorite	NN	favorite
is	VBZ	be
the	DT	the
Sufi	NP	Sufi
name	NN	name
of	IN	of
the	DT	the
beloved	NN	beloved
of	IN	of
the	DT	the
soul	NN	soul
.	SENT	.
And	CC	and
what	WP	what
creativity	NN	creativity
really	RB	really
is	VBZ	be
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
is	VBZ	be
an	DT	an
expression	NN	expression
of	IN	of
that	DT	that
longing	NN	longing
for	IN	for
a	DT	a
more	RBR	more
perfect	JJ	perfect
and	CC	and
beautiful	JJ	beautiful
world	NN	world
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
what	WP	what
an	DT	an
artist	NN	artist
or	CC	or
a	DT	a
musician	NN	musician
is	VBZ	be
doing	VBG	do
,	,	,
is	VBZ	be
they	PP	they
'	''	'
re	IN	re
having	VBG	have
a	DT	a
vision	NN	vision
of	IN	of
