When	WRB	when
I	PP	I
think	VBP	think
about	IN	about
the	DT	the
rise	NN	rise
of	IN	of
AI	NN	ai
,	,	,
I	PP	I
'	POS	'
m	NN	m
reminded	VBD	remind
by	IN	by
the	DT	the
rise	NN	rise
of	IN	of
literacy	NN	literacy
.	SENT	.
A	DT	a
few	JJ	few
hundred	CD	hundred
years	NNS	year
ago	RB	ago
,	,	,
many	JJ	many
people	NNS	people
in	IN	in
society	NN	society
thought	VBD	think
that	IN	that
maybe	RB	maybe
not	RB	not
everyone	NN	everyone
needed	VBN	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
read	VB	read
and	CC	and
write	VB	write
.	SENT	.
Back	RB	back
then	RB	then
,	,	,
many	JJ	many
people	NNS	people
were	VBD	be
tending	VBG	tend
fields	NNS	field
or	CC	or
herding	VBG	herd
sheep	NN	sheep
,	,	,
so	RB	so
maybe	RB	maybe
there	EX	there
was	VBD	be
less	JJR	less
need	NN	need
for	IN	for
written	JJ	written
communication	NN	communication
.	SENT	.
And	CC	and
all	DT	all
that	WDT	that
was	VBD	be
needed	VBN	need
was	VBD	be
for	IN	for
the	DT	the
high	JJ	high
priests	NNS	priest
and	CC	and
priestesses	NNS	priestess
and	CC	and
monks	NNS	monk
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
read	VB	read
the	DT	the
Holy	NP	Holy
Book	NP	Book
,	,	,
and	CC	and
the	DT	the
rest	NN	rest
of	IN	of
us	PP	us
could	MD	could
just	RB	just
go	VB	go
to	TO	to
the	DT	the
temple	NN	temple
or	CC	or
church	NN	church
or	CC	or
the	DT	the
holy	JJ	holy
building	NN	building
and	CC	and
sit	VB	sit
and	CC	and
listen	VB	listen
to	TO	to
the	DT	the
high	JJ	high
priest	NN	priest
and	CC	and
priestesses	NNS	priestess
read	VBP	read
to	TO	to
us	PP	us
.	SENT	.
Fortunately	RB	fortunately
,	,	,
it	PP	it
was	VBD	be
since	RB	since
figured	VBN	figure
out	RP	out
that	IN	that
we	PP	we
can	MD	can
build	VB	build
a	DT	a
much	RB	much
richer	JJR	rich
society	NN	society
if	IN	if
lots	NNS	lot
of	IN	of
people	NNS	people
can	MD	can
read	VB	read
and	CC	and
write	VB	write
.	SENT	.
Today	NN	today
,	,	,
AI	VBP	ai
is	VBZ	be
in	IN	in
the	DT	the
hands	NNS	hand
of	IN	of
the	DT	the
high	JJ	high
priests	NNS	priest
and	CC	and
priestesses	NNS	priestess
.	SENT	.
These	DT	these
are	VBP	be
the	DT	the
highly	RB	highly
skilled	JJ	skilled
AI	VBP	ai
engineers	NNS	engineer
,	,	,
many	JJ	many
of	IN	of
whom	WP	whom
work	NN	work
in	IN	in
the	DT	the
big	JJ	big
tech	NN	tech
companies	NNS	company
.	SENT	.
And	CC	and
most	JJS	most
people	NNS	people
have	VBP	have
access	NN	access
only	RB	only
to	TO	to
the	DT	the
AI	VBP	ai
that	IN	that
they	PP	they
build	VBP	build
for	IN	for
them	PP	them
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
we	PP	we
can	MD	can
build	VB	build
a	DT	a
much	RB	much
richer	JJR	rich
society	NN	society
if	IN	if
we	PP	we
can	MD	can
enable	VB	enable
everyone	NN	everyone
to	TO	to
help	VB	help
to	TO	to
write	VB	write
the	DT	the
future	NN	future
.	SENT	.
But	CC	but
why	WRB	why
is	VBZ	be
AI	NN	ai
largely	RB	largely
concentrated	VBN	concentrate
in	IN	in
the	DT	the
big	JJ	big
tech	NN	tech
companies	NNS	company
?	SENT	?
Because	IN	because
many	JJ	many
of	IN	of
these	DT	these
AI	VBP	ai
projects	NNS	project
have	VBP	have
been	VBN	be
expensive	JJ	expensive
to	TO	to
build	VB	build
.	SENT	.
They	PP	they
may	MD	may
require	VB	require
dozens	NNS	dozen
of	IN	of
highly	RB	highly
skilled	JJ	skilled
engineers	NNS	engineer
,	,	,
and	CC	and
they	PP	they
may	MD	may
cost	VB	cost
millions	NNS	million
or	CC	or
tens	NNS	ten
of	IN	of
millions	NNS	million
of	IN	of
dollars	NNS	dollar
to	TO	to
build	VB	build
an	DT	an
AI	NN	ai
system	NN	system
.	SENT	.
And	CC	and
