Thirteen	CD	thirteen
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
had	VBD	have
just	RB	just
made	VBN	make
partner	NN	partner
in	IN	in
my	PP$	my
large	JJ	large
global	JJ	global
services	NNS	service
firm	NN	firm
.	SENT	.
I	PP	I
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
,	,	,
one	CD	one
of	IN	of
the	DT	the
only	RB	only
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
celebrating	VBG	celebrate
in	IN	in
New	NP	New
York	NP	York
with	IN	with
a	DT	a
friend	NN	friend
,	,	,
someone	NN	someone
I	NP	I
'	POS	'
d	NN	d
gone	VBN	go
to	TO	to
business	NN	business
school	NN	school
with	IN	with
,	,	,
a	DT	a
really	RB	really
close	JJ	close
friend	NN	friend
of	IN	of
mine	NN	mine
.	SENT	.
In	IN	in
the	DT	the
book	NN	book
that	IN	that
I	PP	I
wrote	VBD	write
,	,	,
I	PP	I
called	VBD	call
him	PP	him
Walter	NP	Walter
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
not	RB	not
his	PP$	his
real	JJ	real
name	NN	name
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
call	VB	call
him	PP	him
Walter	NP	Walter
for	IN	for
today	NN	today
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
sitting	VBG	sit
at	IN	at
a	DT	a
bar	NN	bar
in	IN	in
New	NP	New
York	NP	York
.	SENT	.
We	PP	we
were	VBD	be
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
big	JJ	big
dinner	NN	dinner
to	TO	to
celebrate	VB	celebrate
our	PP$	our
collective	JJ	collective
successes	NNS	success
.	SENT	.
He	PP	he
had	VBD	have
just	RB	just
gotten	VBN	get
promoted	VBN	promote
to	TO	to
partner	NN	partner
in	IN	in
his	PP$	his
firm	NN	firm
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
the	DT	the
waiter	NN	waiter
had	VBD	have
just	RB	just
delivered	VBN	deliver
,	,	,
you	PP	you
know	VBP	know
,	,	,
champagne	NN	champagne
,	,	,
put	VBD	put
two	CD	two
glasses	NNS	glass
in	IN	in
front	NN	front
of	IN	of
us	PP	us
and	CC	and
we	PP	we
were	VBD	be
toasting	VBG	toast
.	SENT	.
We	PP	we
put	VBD	put
the	DT	the
glasses	NNS	glass
down	RB	down
,	,	,
and	CC	and
I	PP	I
started	VBD	start
to	TO	to
tell	VB	tell
Walter	NP	Walter
,	,	,
I	PP	I
,	,	,
although	IN	although
excited	VBN	excite
,	,	,
and	CC	and
it	PP	it
was	VBD	be
a	DT	a
hard	JJ	hard
won	NN	won
process	NN	process
to	TO	to
get	VB	get
there	RB	there
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
almost	RB	almost
a	DT	a
year	NN	year
and	CC	and
a	DT	a
half	JJ	half
process	NN	process
,	,	,
in	IN	in
addition	NN	addition
to	TO	to
all	DT	all
of	IN	of
the	DT	the
other	JJ	other
years	NNS	year
of	IN	of
getting	VBG	get
there	RB	there
