Femi	NP	Femi
Oke	NP	Oke
:	:	:
I	PP	I
have	VBP	have
a	DT	a
theory	NN	theory
that	IN	that
Africans	NNS	African
have	VBP	have
this	DT	this
hotline	NN	<unknown>
to	TO	to
joy	NN	joy
.	SENT	.
Angélique	NP	<unknown>
Kidjo	NP	<unknown>
:	:	:
Oh	UH	oh
yeah	RB	yeah
.	SENT	.
FO	NP	fo
:	:	:
We	PP	we
greet	VBP	greet
each	DT	each
other	JJ	other
,	,	,
we	PP	we
welcome	VBP	welcome
each	DT	each
other	JJ	other
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
,	,	,
within	IN	within
us	PP	us
as	IN	as
a	DT	a
continent	NN	continent
,	,	,
there	EX	there
is	VBZ	be
great	JJ	great
joy	NN	joy
.	SENT	.
AK	NP	AK
:	:	:
Absolutely	RB	absolutely
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
state	NN	state
of	IN	of
mind	NN	mind
for	IN	for
us	PP	us
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
either	CC	either
laugh	VB	laugh
or	CC	or
die	VB	die
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
choice	NN	choice
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
proverbs	NNS	proverb
come	VBP	come
from	IN	from
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
where	WRB	where
all	PDT	all
those	DT	those
mimic	NN	mimic
,	,	,
sometime	RB	sometime
--	:	--
can	MD	can
be	VB	be
an	DT	an
insult	NN	insult
,	,	,
or	CC	or
going	VBG	go
,	,	,
"	``	"
Get	VB	get
out	RP	out
of	IN	of
here	RB	here
.	SENT	.
You	PP	you
'	''	'
re	IN	re
making	VBG	make
a	DT	a
fool	NN	fool
of	IN	of
yourself	PP	yourself
.	SENT	.
"	``	"
Our	PP$	our
body	NN	body
,	,	,
we	PP	we
have	VBP	have
signs	NNS	sign
.	SENT	.
And	CC	and
we	PP	we
look	VBP	look
at	IN	at
each	DT	each
other	JJ	other
and	CC	and
the	DT	the
situation	NN	situation
.	SENT	.
.	SENT	.
.	SENT	.
it	PP	it
might	MD	might
be	VB	be
a	DT	a
dire	JJ	dire
situation	NN	situation
,	,	,
and	CC	and
then	RB	then
we	PP	we
start	VBP	start
laughing	JJ	laughing
and	CC	and
go	VB	go
,	,	,
"	``	"
Somebody	NN	somebody
make	VB	make
a	DT	a
huge	JJ	huge
mistake	NN	mistake
.	SENT	.
And	CC	and
you	PP	you
are	VBP	be
in	IN	in
a	DT	a
ditch	NN	ditch
,	,	,
You	PP	you
can	MD	can
'	''	'
t	NN	t
even	RB	even
get	VB	get
yourself	PP	yourself
out	RP	out
.	SENT	.
"	``	"
And	CC	and
we	PP	we
laugh	VBP	laugh
and	CC	and
we	PP	we
'	POS	'
re	NN	re
happy	JJ	happy
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
I	PP	I
say	VBP	say
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
state	NN	state
of	IN	of
mind	NN	mind
.	SENT	.
FO	NP	fo
:	:	:
I	PP	I
have	VBP	have
seen	VBN	see
people	NNS	people
watch	VBP	watch
you	PP	you
perform	VB	perform
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
in	IN	in
the	DT	the
audience	NN	audience
,	,	,
they	PP	they
are	VBP	be
mesmerized	VBN	mesmerize
,	,	,
they	PP	they
are	VBP	be
smiling	VBG	smile
,	,	,
they	PP	they
are	VBP	be
joyful	JJ	joyful
.	SENT	.
Do	VB	do
you	PP	you
have	VBP	have
an	DT	an
awareness	NN	awareness
of	IN	of
what	WP	what
you	PP	you
are	VBP	be
doing	VBG	do
to	TO	to
your	PP$	your
audience	NN	audience
?	SENT	?
AK	NP	AK
:	:	:
No	UH	no
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
awareness	NN	awareness
because	IN	because
for	IN	for
me	PP	me
,	,	,
every	DT	every
concert	NN	concert
is	VBZ	be
a	DT	a
start	NN	start
over	RB	over
.	SENT	.
I	PP	I
never	RB	never
take	VBP	take
any	DT	any
public	NN	public
for	IN	for
granted	VBN	grant
because	IN	because
you	PP	you
never	RB	never
know	VBP	know
what	WP	what
the	DT	the
concert	NN	concert
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
.	SENT	.
You	PP	you
can	MD	can
have	VB	have
plan	NN	plan
in	IN	in
your	PP$	your
head	NN	head
,	,	,
you	PP	you
can	MD	can
have	VB	have
your	PP$	your
