Hi	UH	hi
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	RB	about
as	IN	as
intimidating	VBG	intimidate
as	IN	as
I	PP	I
thought	VBD	think
it	PP	it
would	MD	would
be	VB	be
.	SENT	.
And	CC	and
yet	RB	yet
you	PP	you
'	POS	'
d	NN	d
think	VBP	think
or	CC	or
I	PP	I
'	POS	'
d	NN	d
think	VBP	think
that	IN	that
I	PP	I
'	''	'
d	SYM	d
be	VB	be
accustomed	VBN	accustom
to	TO	to
more	JJR	more
stressful	JJ	stressful
situations	NNS	situation
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
I	PP	I
work	VBP	work
in	IN	in
international	JJ	international
security	NN	security
and	CC	and
in	IN	in
conflict	NN	conflict
resolution	NN	resolution
.	SENT	.
And	CC	and
today	NN	today
,	,	,
I	PP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
about	IN	about
some	DT	some
of	IN	of
our	PP$	our
blind	JJ	blind
spots	NNS	spot
related	VBN	relate
to	TO	to
decarbonization	NN	decarbonization
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
does	VBZ	do
one	PP	one
have	VB	have
to	TO	to
do	VB	do
with	IN	with
the	DT	the
other	JJ	other
,	,	,
you	PP	you
may	MD	may
ask	VB	ask
.	SENT	.
Good	JJ	good
question	NN	question
.	SENT	.
We	PP	we
often	RB	often
hear	VBP	hear
that	IN	that
a	DT	a
climate-safe	NN	<unknown>
future	NN	future
is	VBZ	be
a	DT	a
necessary	JJ	necessary
condition	NN	condition
for	IN	for
peace	NN	peace
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
true	JJ	true
.	SENT	.
We	PP	we
also	RB	also
often	RB	often
hear	VB	hear
that	IN	that
renewables	NNS	<unknown>
could	MD	could
be	VB	be
the	DT	the
energy	NN	energy
of	IN	of
peace	NN	peace
.	SENT	.
Less	RBR	less
true	JJ	true
.	SENT	.
To	TO	to
understand	VB	understand
,	,	,
I	PP	I
need	VBP	need
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
the	DT	the
materials	NNS	material
that	WDT	that
we	PP	we
need	VBP	need
in	IN	in
order	NN	order
to	TO	to
decarbonize	VB	decarbonize
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
pretty	RB	pretty
.	SENT	.
And	CC	and
they	PP	they
can	MD	can
be	VB	be
deadly	JJ	deadly
.	SENT	.
Looking	VBG	look
into	IN	into
their	PP$	their
story	NN	story
tells	VBZ	tell
us	PP	us
that	IN	that
confronting	VBG	confront
conflict	NN	conflict
and	CC	and
building	VBG	build
new	JJ	new
forms	NNS	form
of	IN	of
international	JJ	international
peace	NN	peace
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
critical	JJ	critical
foundations	NNS	foundation
to	TO	to
build	VB	build
a	DT	a
climate-safe	JJ	<unknown>
future	NN	future
.	SENT	.
So	RB	so
let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
about	IN	about
them	PP	them
,	,	,
starting	VBG	start
with	IN	with
where	WRB	where
we	PP	we
stand	VBP	stand
now	RB	now
.	SENT	.
When	WRB	when
we	PP	we
talk	VBP	talk
about	IN	about
a	DT	a
decarbonized	VBN	decarbonize
future	NN	future
,	,	,
we	PP	we
generally	RB	generally
have	VBP	have
in	IN	in
mind	NN	mind
the	DT	the
possibility	NN	possibility
of	IN	of
decoupling	NN	decoupling
economic	JJ	economic
growth	NN	growth
from	IN	from
greenhouse	NN	greenhouse
gas	NN	gas
emissions	NNS	emission
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
call	VBP	call
"	``	"
green	JJ	green
growth	NN	growth
.	SENT	.
"	``	"
What	WP	what
we	PP	we
tend	VBP	tend
to	TO	to
think	VB	think
about	RB	about
less	CC	less
often	RB	often
is	VBZ	be
that	IN	that
to	TO	to
get	VB	get
there	RB	there
we	PP	we
need	VBP	need
to	TO	to
recouple	VB	recouple
economic	JJ	economic
growth	NN	growth
with	IN	with
intensive	JJ	intensive
mineral	NN	mineral
extraction	NN	extraction
.	SENT	.
To	TO	to
harness	VB	harness
renewables	NNS	<unknown>
or	CC	or
renewable	JJ	renewable
energy	NN	energy
like	IN	like
the	DT	the
