There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
story	NN	story
of	IN	of
mine	NN	mine
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
told	VBD	tell
about	IN	about
a	DT	a
million	CD	million
different	JJ	different
times	NNS	time
,	,	,
and	CC	and
it	PP	it
goes	VBZ	go
a	DT	a
little	JJ	little
something	NN	something
like	IN	like
this	DT	this
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
10	CD	@card@
,	,	,
my	PP$	my
family	NN	family
and	CC	and
I	PP	I
packed	VBD	pack
up	RP	up
our	PP$	our
entire	JJ	entire
lives	NNS	life
into	IN	into
large	JJ	large
suitcases	NNS	suitcase
and	CC	and
dragged	VBD	drag
them	PP	them
across	IN	across
the	DT	the
Pacific	NP	Pacific
to	TO	to
a	DT	a
foreign	JJ	foreign
land	NN	land
called	VBN	call
Canada	NP	Canada
.	SENT	.
I	PP	I
was	VBD	be
put	VBN	put
in	IN	in
a	DT	a
school	NN	school
where	WRB	where
I	PP	I
was	VBD	be
the	DT	the
only	JJ	only
Asian	JJ	Asian
kid	NN	kid
in	IN	in
my	PP$	my
grade	NN	grade
,	,	,
and	CC	and
I	PP	I
got	VBD	get
teased	VBN	tease
for	IN	for
my	PP$	my
broken	VBN	break
English	JJ	English
,	,	,
Asian	JJ	Asian
features	NNS	feature
and	CC	and
funny	JJ	funny
smelling	VBG	smell
ethnic	JJ	ethnic
lunches	NNS	lunch
.	SENT	.
The	DT	the
racism	NN	racism
was	VBD	be
a	DT	a
real	JJ	real
doozy	NN	doozy
.	SENT	.
But	CC	but
don	NN	don
'	POS	'
t	NN	t
feel	VBP	feel
bad	JJ	bad
.	SENT	.
Through	IN	through
the	DT	the
magical	JJ	magical
healing	NN	healing
powers	NNS	power
of	IN	of
extracurricular	JJ	extracurricular
activities	NNS	activity
and	CC	and
pure	JJ	pure
perseverance	NN	perseverance
,	,	,
I	PP	I
stand	VBP	stand
before	IN	before
you	PP	you
today	NN	today
,	,	,
a	DT	a
new	JJ	new
woman	NN	woman
:	:	:
healthy	JJ	healthy
,	,	,
healed	VBN	heal
and	CC	and
extremely	RB	extremely
employable	JJ	employable
.	SENT	.
You	PP	you
wouldn	NP	<unknown>
'	POS	'
t	NN	t
even	RB	even
be	VB	be
able	JJ	able
to	TO	to
tell	VB	tell
from	IN	from
just	RB	just
looking	VBG	look
at	IN	at
me	PP	me
that	IN	that
I	PP	I
was	VBD	be
once	RB	once
the	DT	the
weird	JJ	weird
little	JJ	little
immigrant	NN	immigrant
girl	NN	girl
who	WP	who
begged	VBD	beg
her	PP$	her
mom	NN	mom
to	TO	to
pack	VB	pack
PB&J	NP	<unknown>
sandwiches	NNS	sandwich
so	IN	so
she	PP	she
wouldn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
eat	VB	eat
lunch	NN	lunch
alone	RB	alone
in	IN	in
the	DT	the
bathroom	NN	bathroom
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
story	NN	story
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
told	VBD	tell
in	IN	in
academic	JJ	academic
essays	NNS	essay
,	,	,
job	NN	job
interviews	NNS	interview
and	CC	and
even	RB	even
in	IN	in
the	DT	the
very	JJ	very
application	NN	application
that	WDT	that
got	VBD	get
me	PP	me
into	IN	into
this	DT	this
fine	JJ	fine
university	NN	university
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
also	RB	also
a	DT	a
story	NN	story
that	IN	that
,	,	,
despite	IN	despite
all	DT	all
of	IN	of
its	PP$	its
truth	NN	truth
,	,	,
I	PP	I
'	POS	'
ve	NNS	<unknown>
come	VBP	come
to	TO	to
hate	VB	hate
.	SENT	.
Now	RB	now
this	DT	this
is	VBZ	be
a	DT	a
story	NN	story
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
have	VBP	have
copyright	JJ	copyright
claim	NN	claim
over	RB	over
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
one	CD	one
that	WDT	that
continues	VBZ	continue
to	TO	to
be	VB	be
regurgitated	VBN	regurgitate
by	IN	by
immigrant	NN	immigrant
kids	NNS	kid
all	RB	all
across	IN	across
the	DT	the
country	NN	country
to	TO	to
be	VB	be
served	VBN	serve
on	IN	on
a	DT	a
silver	JJ	silver
platter	NN	platter
to	TO	to
prestigious	JJ	prestigious
universities	NNS	university
who	WP	who
chew	VBP	chew
these	DT	these
stories	NNS	story
and	CC	and
spit	VB	spit
out	RP	out
acceptance	NN	acceptance
letters	NNS	letter
in	IN	in
return	NN	return
.	SENT	.
The	DT	the
contents	NNS	content
of	IN	of
the	DT	the
story	NN	story
may	MD	may
change	VB	change
.	SENT	.
Instead	RB	instead
of	IN	of
a	DT	a
difficult	JJ	difficult
immigration	NN	immigration
experience	NN	experience
,	,	,
it	PP	it
might	MD	might
be	VB	be
the	DT	the
death	NN	death
of	IN	of
a	DT	a
loved	VBN	love
one	CD	one
,	,	,
a	DT	a
chronic	JJ	chronic
illness	NN	illness
or	CC	or
a	DT	a
racist	JJ	racist
encounter	NN	encounter
.	SENT	.
But	CC	but
what	WP	what
remains	VBZ	remain
constant	JJ	constant
is	VBZ	be
the	DT	the
moral	JJ	moral
:	:	:
A	DT	a
bad	JJ	bad
thing	NN	thing
happened	VBD	happen
to	TO	to
me	PP	me
,	,	,
but	CC	but
it	PP	it
made	VBD	make
me	PP	me
a	DT	a
good	JJ	good
person	NN	person
.	SENT	.
This	DT	this
is	VBZ	be
part	NN	part
of	IN	of
a	DT	a
larger	JJR	large
phenomenon	NN	phenomenon
that	IN	that
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
about	IN	about
today	NN	today
.	SENT	.
The	DT	the
overwhelming	JJ	overwhelming
pressure	NN	pressure
being	VBG	be
put	VBN	put
on	IN	on
high	JJ	high
school	NN	school
students	NNS	student
to	TO	to
write	VB	write
about	IN	about
their	PP$	their
deepest	JJS	deep
traumas	NNS	trauma
in	IN	in
their	PP$	their
college	NN	college
applications	NNS	application
with	IN	with
the	DT	the
hopes	VBZ	hope
that	IN	that
they	PP	they
seem	VBP	seem
resilient	JJ	resilient
and	CC	and
interesting	JJ	interesting
enough	RB	enough
to	TO	to
be	VB	be
given	VBN	give
a	DT	a
spot	NN	spot
.	SENT	.
I	PP	I
believe	VBP	believe
that	IN	that
these	DT	these
are	VBP	be
not	RB	not
only	RB	only
bad	JJ	bad
metrics	NNS	metric
by	IN	by
which	WDT	which
to	TO	to
evaluate	VB	evaluate
applicants	NNS	applicant
,	,	,
but	CC	but
also	RB	also
incredibly	RB	incredibly
harmful	JJ	harmful
to	TO	to
the	DT	the
storyteller	NN	storyteller
themselves	PP	themselves
and	CC	and
risks	NNS	risk
reinforcing	VBG	reinforce
existing	JJ	existing
inequities	NNS	inequity
in	IN	in
higher	JJR	high
education	NN	education
.	SENT	.
There	EX	there
'	POS	'
s	NNS	<unknown>
also	RB	also
pressure	VBP	pressure
that	IN	that
'	POS	'
s	NNS	<unknown>
being	VBG	be
amplified	VBN	amplify
by	IN	by
admissions	NNS	admission
counselors	NNS	counselor
themselves	PP	themselves
who	WP	who
play	VBP	play
a	DT	a
huge	JJ	huge
role	NN	role
in	IN	in
influencing	VBG	influence
what	WP	what
applicants	NNS	applicant
decide	VBP	decide
to	TO	to
write	VB	write
about	RB	about
.	SENT	.
Take	VB	take
,	,	,
for	IN	for
example	NN	example
,	,	,
this	DT	this
tip	NN	tip
from	IN	from
the	DT	the
MIT	NP	MIT
admissions	NNS	admission
blog	NN	<unknown>
,	,	,
where	WRB	where
the	DT	the
author	NN	author
compares	VBZ	compare
two	CD	two
different	JJ	different
introductions	NNS	introduction
for	IN	for
a	DT	a
potential	JJ	potential
essay	NN	essay
.	SENT	.
The	DT	the
first	JJ	first
one	CD	one
reads	NNS	read
:	:	:
"	``	"
I	NP	I
'	POS	'
m	NN	m
honored	VBD	honor
to	TO	to
apply	VB	apply
for	IN	for
the	DT	the
Master	NP	Master
of	IN	of
Library	NP	Library
Science	NP	Science
program	NN	program
at	IN	at
the	DT	the
University	NP	University
