Hans	NP	Hans
Rosling	NP	<unknown>
:	:	:
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
ask	VB	ask
you	PP	you
three	CD	three
multiple	JJ	multiple
choice	NN	choice
questions	NNS	question
.	SENT	.
Use	VB	use
this	DT	this
device	NN	device
.	SENT	.
Use	VB	use
this	DT	this
device	NN	device
to	TO	to
answer	VB	answer
.	SENT	.
The	DT	the
first	JJ	first
question	NN	question
is	VBZ	be
,	,	,
how	WRB	how
did	VBD	do
the	DT	the
number	NN	number
of	IN	of
deaths	NNS	death
per	IN	per
year	NN	year
from	IN	from
natural	JJ	natural
disaster	NN	disaster
,	,	,
how	WRB	how
did	VBD	do
that	DT	that
change	NN	change
during	IN	during
the	DT	the
last	JJ	last
century	NN	century
?	SENT	?
Did	VBD	do
it	PP	it
more	RBR	more
than	IN	than
double	RB	double
,	,	,
did	VBD	do
it	PP	it
remain	VBP	remain
about	IN	about
the	DT	the
same	JJ	same
in	IN	in
the	DT	the
world	NN	world
as	IN	as
a	DT	a
whole	NN	whole
,	,	,
or	CC	or
did	VBD	do
it	PP	it
decrease	VB	decrease
to	TO	to
less	JJR	less
than	IN	than
half	NN	half
?	SENT	?
Please	UH	please
answer	VB	answer
A	DT	a
,	,	,
B	NP	B
or	CC	or
C	NP	C
.	SENT	.
I	PP	I
see	VBP	see
lots	NNS	lot
of	IN	of
answers	NNS	answer
.	SENT	.
This	DT	this
is	VBZ	be
much	RB	much
faster	RBR	faster
than	IN	than
I	PP	I
do	VBP	do
it	PP	it
at	IN	at
universities	NNS	university
.	SENT	.
They	PP	they
are	VBP	be
so	RB	so
slow	JJ	slow
.	SENT	.
They	PP	they
keep	VBP	keep
thinking	NN	thinking
,	,	,
thinking	VBG	think
,	,	,
thinking	VBG	think
.	SENT	.
Oh	UH	oh
,	,	,
very	RB	very
,	,	,
very	RB	very
good	JJ	good
.	SENT	.
And	CC	and
we	PP	we
go	VBP	go
to	TO	to
the	DT	the
next	JJ	next
question	NN	question
.	SENT	.
So	RB	so
how	WRB	how
long	RB	long
did	VBD	do
women	NNS	woman
30	CD	@card@
years	NNS	year
old	JJ	old
in	IN	in
the	DT	the
world	NN	world
go	VB	go
to	TO	to
school	NN	school
:	:	:
seven	CD	seven
years	NNS	year
,	,	,
five	CD	five
years	NNS	year
or	CC	or
three	CD	three
years	NNS	year
?	SENT	?
A	DT	a
,	,	,
B	NP	B
or	CC	or
C	NP	C
?	SENT	?
Please	VB	please
answer	NN	answer
.	SENT	.
And	CC	and
we	PP	we
go	VBP	go
to	TO	to
the	DT	the
next	JJ	next
question	NN	question
.	SENT	.
In	IN	in
the	DT	the
last	JJ	last
20	CD	@card@
years	NNS	year
,	,	,
how	WRB	how
did	VBD	do
the	DT	the
percentage	NN	percentage
of	IN	of
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
who	WP	who
live	VBP	live
in	IN	in
extreme	JJ	extreme
poverty	NN	poverty
change	NN	change
?	SENT	?
Extreme	JJ	extreme
poverty	NN	poverty
—	:	-
not	RB	not
having	VBG	have
enough	JJ	enough
food	NN	food
for	IN	for
the	DT	the
day	NN	day
.	SENT	.
Did	VBD	do
it	PP	it
almost	RB	almost
double	RB	double
,	,	,
did	VBD	do
it	PP	it
remain	VBP	remain
more	JJR	more
or	CC	or
less	JJR	less
the	DT	the
same	JJ	same
,	,	,
or	CC	or
did	VBD	do
it	PP	it
halve	VB	halve
?	SENT	?
A	DT	a
,	,	,
B	NP	B
or	CC	or
C	NP	C
?	SENT	?
Now	RB	now
,	,	,
answers	NNS	answer
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
deaths	NNS	death
from	IN	from
natural	JJ	natural
disasters	NNS	disaster
in	IN	in
the	DT	the
world	NN	world
,	,	,
you	PP	you
can	MD	can
see	VB	see
it	PP	it
from	IN	from
this	DT	this
graph	NN	graph
here	RB	here
,	,	,
from	IN	from
1900	CD	@card@
to	TO	to
2000	CD	@card@
.	SENT	.
In	IN	in
1900	CD	@card@
,	,	,
there	EX	there
was	VBD	be
about	IN	about
half	PDT	half
a	DT	a
million	CD	million
people	NNS	people
who	WP	who
died	VBD	die
every	DT	every
year	NN	year
from	IN	from
natural	JJ	natural
disasters	NNS	disaster
:	:	:
floods	NNS	flood
,	,	,
earthquakes	NNS	earthquake
,	,	,
volcanic	JJ	volcanic
eruption	NN	eruption
,	,	,
whatever	WDT	whatever
,	,	,
droughts	NNS	drought
.	SENT	.
And	CC	and
then	RB	then
,	,	,
how	WRB	how
did	VBD	do
that	DT	that
change	NN	change
?	SENT	?
Gapminder	NP	Gapminder
asked	VBD	ask
the	DT	the
public	NN	public
in	IN	in
Sweden	NP	Sweden
.	SENT	.
This	DT	this
is	VBZ	be
how	WRB	how
they	PP	they
answered	VBD	answer
.	SENT	.
The	DT	the
Swedish	JJ	Swedish
public	NN	public
answered	VBN	answer
like	IN	like
this	DT	this
:	:	:
Fifty	CD	fifty
percent	NN	percent
thought	VBD	think
it	PP	it
had	VBD	have
doubled	VBN	double
,	,	,
38	CD	@card@
percent	NN	percent
said	VBD	say
it	PP	it
'	''	'
s	VBG	<unknown>
more	JJR	more
or	CC	or
less	JJR	less
the	DT	the
same	JJ	same
,	,	,
12	CD	@card@
said	VBD	say
it	PP	it
had	VBD	have
halved	VBN	halve
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
best	JJS	good
data	NNS	datum
from	IN	from
the	DT	the
disaster	NN	disaster
researchers	NNS	researcher
,	,	,
and	CC	and
it	PP	it
goes	VBZ	go
up	RP	up
and	CC	and
down	RP	down
,	,	,
and	CC	and
it	PP	it
goes	VBZ	go
to	TO	to
the	DT	the
Second	NP	Second
World	NP	World
War	NP	War
,	,	,
and	CC	and
after	IN	after
that	WDT	that
it	PP	it
starts	VBZ	start
to	TO	to
fall	VB	fall
and	CC	and
it	PP	it
keeps	VBZ	keep
falling	VBG	fall
and	CC	and
it	PP	it
'	POS	'
s	NN	S
down	RB	down
to	TO	to
much	RB	much
less	JJR	less
than	IN	than
half	NN	half
.	SENT	.
The	DT	the
world	NN	world
has	VBZ	have
been	VBN	be
much	JJ	much
,	,	,
much	RB	much
more	RBR	more
capable	JJ	capable
as	IN	as
the	DT	the
decades	NNS	decade
go	VBP	go
by	IN	by
to	TO	to
protect	VB	protect
people	NNS	people
from	IN	from
this	DT	this
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
So	RB	so
only	RB	only
12	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
Swedes	NNS	Swede
know	VBP	know
this	DT	this
.	SENT	.
So	RB	so
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
zoo	NN	zoo
and	CC	and
I	PP	I
asked	VBD	ask
the	DT	the
chimps	NNS	chimp
.	SENT	.
The	DT	the
chimps	NNS	chimp
don	NN	don
'	POS	'
t	NN	t
watch	VBP	watch
the	DT	the
evening	NN	evening
news	NN	news
,	,	,
so	RB	so
the	DT	the
chimps	NNS	chimp
,	,	,
they	PP	they
choose	VBP	choose
by	IN	by
random	JJ	random
,	,	,
so	RB	so
the	DT	the
Swedes	NNS	Swede
answer	VBP	answer
worse	JJR	bad
than	IN	than
random	JJ	random
.	SENT	.
Now	RB	now
how	WRB	how
did	VBD	do
you	PP	you
do	VBP	do
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
you	PP	you
.	SENT	.
You	PP	you
were	VBD	be
beaten	VBN	beat
by	IN	by
the	DT	the
chimps	NNS	chimp
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
close	JJ	close
.	SENT	.
You	PP	you
were	VBD	be
three	CD	three
times	NNS	time
better	RBR	well
than	IN	than
the	DT	the
Swedes	NNS	Swede
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
not	RB	not
enough	RB	enough
.	SENT	.
You	PP	you
shouldn	NP	<unknown>
'	POS	'
t	NN	t
compare	VBP	compare
yourself	PP	yourself
to	TO	to
Swedes	NNS	Swede
.	SENT	.
You	PP	you
must	MD	must
have	VB	have
higher	JJR	high
ambitions	NNS	ambition
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
the	DT	the
next	JJ	next
answer	NN	answer
here	RB	here
:	:	:
women	NNS	woman
in	IN	in
school	NN	school
