On	IN	on
Mondays	NPS	Monday
and	CC	and
Thursdays	NPS	Thursday
,	,	,
I	PP	I
learn	VBP	learn
how	WRB	how
to	TO	to
die	VB	die
.	SENT	.
I	PP	I
call	VB	call
them	PP	them
my	PP$	my
terminal	JJ	terminal
days	NNS	day
.	SENT	.
My	PP$	my
wife	NN	wife
Fernanda	NP	Fernanda
doesn	NP	<unknown>
'	POS	'
t	NN	t
like	IN	like
the	DT	the
term	NN	term
,	,	,
but	CC	but
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
in	IN	in
my	PP$	my
family	NN	family
died	VBD	die
of	IN	of
melanoma	NN	melanoma
cancer	NN	cancer
and	CC	and
my	PP$	my
parents	NNS	parent
and	CC	and
grandparents	NNS	grandparent
had	VBD	have
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
kept	VBD	keep
thinking	VBG	think
,	,	,
one	CD	one
day	NN	day
I	PP	I
could	MD	could
be	VB	be
sitting	VBG	sit
in	IN	in
front	NN	front
of	IN	of
a	DT	a
doctor	NN	doctor
who	WP	who
looks	VBZ	look
at	IN	at
my	PP$	my
exams	NNS	exam
and	CC	and
says	VBZ	say
,	,	,
"	``	"
Ricardo	NP	Ricardo
,	,	,
things	NNS	thing
don	NN	don
'	POS	'
t	NN	t
look	VBP	look
very	RB	very
good	JJ	good
.	SENT	.
You	PP	you
have	VBP	have
six	CD	six
months	NNS	month
or	CC	or
a	DT	a
year	NN	year
to	TO	to
live	VB	live
.	SENT	.
"	``	"
And	CC	and
you	PP	you
start	VBP	start
thinking	VBG	think
about	IN	about
what	WP	what
you	PP	you
would	MD	would
do	VB	do
with	IN	with
this	DT	this
time	NN	time
.	SENT	.
And	CC	and
you	PP	you
say	VBP	say
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
spend	VB	spend
more	JJR	more
time	NN	time
with	IN	with
the	DT	the
kids	NNS	kid
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
visit	VB	visit
these	DT	these
places	NNS	place
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
go	VB	go
up	RP	up
and	CC	and
down	RP	down
mountains	NNS	mountain
and	CC	and
places	NNS	place
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
all	PDT	all
the	DT	the
things	NNS	thing
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
do	VBP	do
when	WRB	when
I	PP	I
had	VBD	have
the	DT	the
time	NN	time
.	SENT	.
"	''	"
But	CC	but
of	IN	of
course	NN	course
,	,	,
we	PP	we
all	RB	all
know	VBP	know
these	DT	these
are	VBP	be
very	RB	very
bittersweet	JJ	bittersweet
memories	NNS	memory
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
difficult	JJ	difficult
to	TO	to
do	VB	do
.	SENT	.
You	PP	you
spend	VBP	spend
a	DT	a
