If	IN	if
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
thinking	VBG	think
about	IN	about
US	NP	US
politics	NNS	politics
and	CC	and
trying	VBG	try
to	TO	to
make	VB	make
sense	NN	sense
of	IN	of
it	PP	it
for	IN	for
the	DT	the
last	JJ	last
year	NN	year
or	CC	or
so	RB	so
,	,	,
you	PP	you
might	MD	might
have	VB	have
hit	VBN	hit
on	IN	on
something	NN	something
like	IN	like
the	DT	the
following	VBG	follow
three	CD	three
propositions	NNS	proposition
:	:	:
one	CD	one
,	,	,
US	NP	US
partisanship	NN	partisanship
has	VBZ	have
never	RB	never
been	VBN	be
so	RB	so
bad	JJ	bad
before	IN	before
;	:	;
two	CD	two
,	,	,
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
it	PP	it
'	POS	'
s	NN	S
geographically	RB	geographically
spatialized	VBD	<unknown>
â	NP	<unknown>
we	PP	we
'	POS	'
re	NN	re
divided	VBN	divide
between	IN	between
the	DT	the
coasts	NNS	coast
,	,	,
which	WDT	which
want	VBP	want
to	TO	to
look	VB	look
outwards	NNS	outward
,	,	,
and	CC	and
the	DT	the
center	NN	center
of	IN	of
the	DT	the
country	NN	country
,	,	,
which	WDT	which
wants	VBZ	want
to	TO	to
look	VB	look
inwards	NN	inwards
;	:	;
and	CC	and
third	JJ	third
,	,	,
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
we	PP	we
can	MD	can
do	VB	do
about	IN	about
it	PP	it
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
today	NN	today
to	TO	to
say	VB	say
that	IN	that
all	DT	all
three	CD	three
of	IN	of
these	DT	these
propositions	NNS	proposition
,	,	,
all	DT	all
of	IN	of
which	WDT	which
sound	VBP	sound
reasonable	JJ	reasonable
,	,	,
are	VBP	be
not	RB	not
true	JJ	true
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
our	PP$	our
US	NP	US
partisanship	NN	partisanship
goes	VBZ	go
all	PDT	all
the	DT	the
way	NN	way
back	RB	back
to	TO	to
the	DT	the
very	JJ	very
beginning	NN	beginning
of	IN	of
the	DT	the
republic	NN	republic
.	SENT	.
It	PP	it
was	VBD	be
geographically	RB	geographically
spatialized	VBN	<unknown>
in	IN	in
almost	RB	almost
eerily	RB	eerily
the	DT	the
same	JJ	same
way	NN	way
that	IN	that
it	PP	it
is	VBZ	be
today	NN	today
,	,	,
and	CC	and
it	PP	it
often	RB	often
