Leah	NP	Leah
Chase	NP	Chase
:	:	:
Oh	UH	oh
,	,	,
this	DT	this
is	VBZ	be
beautiful	JJ	beautiful
.	SENT	.
Oh	UH	oh
,	,	,
gosh	NP	gosh
,	,	,
I	PP	I
never	RB	never
saw	VBD	see
such	PDT	such
a	DT	a
room	NN	room
and	CC	and
beauty	NN	beauty
and	CC	and
strength	NN	strength
like	IN	like
I	PP	I
'	POS	'
m	NN	m
looking	VBG	look
at	IN	at
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
gorgeous	JJ	gorgeous
.	SENT	.
It	PP	it
is	VBZ	be
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
beautiful	JJ	beautiful
room	NN	room
.	SENT	.
Pat	NP	Pat
Mitchell	NP	Mitchell
:	:	:
I	PP	I
almost	RB	almost
said	VBD	say
your	PP$	your
age	NN	age
,	,	,
because	IN	because
you	PP	you
gave	VBD	give
me	PP	me
permission	NN	permission
,	,	,
but	CC	but
I	PP	I
realized	VBD	realize
that	IN	that
I	PP	I
was	VBD	be
about	RB	about
to	TO	to
make	VB	make
you	PP	you
a	DT	a
year	NN	year
older	JJR	old
.	SENT	.
You	PP	you
'	''	'
re	IN	re
only	RB	only
94	CD	@card@
.	SENT	.
LC	NN	LC
:	:	:
Yeah	RB	yeah
,	,	,
I	PP	I
'	POS	'
m	NN	m
only	RB	only
94	CD	@card@
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
you	PP	you
get	VBP	get
this	DT	this
old	JJ	old
and	CC	and
parts	NNS	part
start	VBP	start
wearing	VBG	wear
out	RP	out
.	SENT	.
Your	PP$	your
legs	NNS	leg
start	VBP	start
wearing	VBG	wear
out	RP	out
.	SENT	.
The	DT	the
one	CD	one
thing	NN	thing
that	IN	that
my	PP$	my
children	NNS	child
always	RB	always
say	VBP	say
:	:	:
"	''	"
But	CC	but
nothing	NN	nothing
happened	VBD	happen
to	TO	to
your	PP$	your
mouth	NN	mouth
.	SENT	.
"	``	"
So	IN	so
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
have	VB	have
something	NN	something
going	VBG	go
