If	IN	if
you	PP	you
ask	VBP	ask
evolutionary	JJ	evolutionary
biologists	NNS	biologist
when	WRB	when
did	VBD	do
humans	NNS	human
become	VB	become
humans	NNS	human
,	,	,
some	DT	some
of	IN	of
them	PP	them
will	MD	will
say	VB	say
that	IN	that
,	,	,
well	RB	well
,	,	,
at	IN	at
some	DT	some
point	NN	point
we	PP	we
started	VBD	start
standing	VBG	stand
on	IN	on
our	PP$	our
feet	NNS	foot
,	,	,
became	VBD	become
biped	NN	biped
and	CC	and
became	VBD	become
the	DT	the
masters	NNS	master
of	IN	of
our	PP$	our
environment	NN	environment
.	SENT	.
Others	NNS	other
will	MD	will
say	VB	say
that	IN	that
because	IN	because
our	PP$	our
brain	NN	brain
started	VBD	start
growing	VBG	grow
much	RB	much
bigger	JJR	big
,	,	,
that	WDT	that
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
have	VB	have
much	RB	much
more	JJR	more
complex	JJ	complex
cognitive	JJ	cognitive
processes	NNS	process
.	SENT	.
And	CC	and
others	NNS	other
might	MD	might
argue	VB	argue
that	IN	that
it	PP	it
'	POS	'
s	NN	S
because	IN	because
we	PP	we
developed	VBD	develop
language	NN	language
that	IN	that
allowed	VBN	allow
us	PP	us
to	TO	to
evolve	VB	evolve
as	IN	as
a	DT	a
species	NN	species
.	SENT	.
Interestingly	RB	interestingly
,	,	,
those	DT	those
three	CD	three
phenomena	NNS	phenomenon
are	VBP	be
all	RB	all
connected	VBN	connect
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
sure	JJ	sure
how	WRB	how
or	CC	or
in	IN	in
which	WDT	which
order	NN	order
,	,	,
but	CC	but
they	PP	they
are	VBP	be
all	RB	all
linked	VBN	link
with	IN	with
the	DT	the
change	NN	change
of	IN	of
shape	NN	shape
of	IN	of
a	DT	a
little	JJ	little
bone	NN	bone
in	IN	in
the	DT	the
back	NN	back
of	IN	of
your	PP$	your
neck	NN	neck
that	WDT	that
changed	VBD	change
the	DT	the
angle	NN	angle
between	IN	between
our	PP$	our
head	NN	head
and	CC	and
our	PP$	our
body	NN	body
.	SENT	.
That	DT	that
means	VBZ	mean
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
stand	VB	stand
upright	RB	upright
but	CC	but
also	RB	also
for	IN	for
our	PP$	our
brain	NN	brain
to	TO	to
evolve	VB	evolve
in	IN	in
the	DT	the
back	NN	back
and	CC	and
for	IN	for
our	PP$	our
voice	NN	voice
box	NN	box
to	TO	to
grow	VB	grow
from	IN	from
seven	CD	seven
centimeters	NNS	centimeter
for	IN	for
primates	NNS	primate
to	TO	to
11	CD	@card@
and	CC	and
up	RB	up
to	TO	to
17	CD	@card@
centimetres	NNS	centimetre
for	IN	for
humans	NNS	human
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
called	VBN	call
the	DT	the
descent	NN	descent
of	IN	of
the	DT	the
larynx	NN	larynx
.	SENT	.
And	CC	and
the	DT	the
larynx	NN	larynx
is	VBZ	be
the	DT	the
site	NN	site
of	IN	of
your	PP$	your
voice	NN	voice
.	SENT	.
When	WRB	when
baby	NN	baby
humans	NNS	human
are	VBP	be
born	VBN	bear
today	NN	today
,	,	,
their	PP$	their
larynx	NN	larynx
is	VBZ	be
not	RB	not
descended	VBN	descend
yet	RB	yet
.	SENT	.
That	WDT	that
only	RB	only
happens	VBZ	happen
at	IN	at
about	RB	about
three	CD	three
months	NNS	month
old	JJ	old
.	SENT	.
So	RB	so
,	,	,
metaphorically	RB	metaphorically
,	,	,
each	DT	each
of	IN	of
us	PP	us
here	RB	here
has	VBZ	have
relived	VBN	relive
the	DT	the
evolution	NN	evolution
of	IN	of
our	PP$	our
whole	JJ	whole
species	NNS	specie
.	SENT	.
And	CC	and
talking	VBG	talk
about	IN	about
babies	NNS	baby
,	,	,
when	WRB	when
you	PP	you
were	VBD	be
starting	VBG	start
to	TO	to
develop	VB	develop
in	IN	in
your	PP$	your
mother	NN	mother
'	POS	'
s	NN	S
womb	NN	womb
,	,	,
the	DT	the
first	JJ	first
sensation	NN	sensation
that	IN	that
you	PP	you
had	VBD	have
coming	VBG	come
from	IN	from
the	DT	the
outside	JJ	outside
world	NN	world
,	,	,
at	IN	at
only	RB	only
three	CD	three
weeks	NNS	week
old	JJ	old
,	,	,
when	WRB	when
you	PP	you
were	VBD	be
about	RB	about
the	DT	the
size	NN	size
of	IN	of
a	DT	a
shrimp	NN	shrimp
,	,	,
were	VBD	be
through	IN	through
the	DT	the
tactile	JJ	tactile
sensation	NN	sensation
coming	VBG	come
from	IN	from
the	DT	the
vibrations	NN	vibrations
of	IN	of
your	PP$	your
mother	NN	mother
'	POS	'
s	NN	S
voice	NN	voice
.	SENT	.
So	RB	so
,	,	,
as	IN	as
we	PP	we
can	MD	can
see	VB	see
,	,	,
the	DT	the
human	JJ	human
voice	NN	voice
is	VBZ	be
quite	RB	quite
meaningful	JJ	meaningful
and	CC	and
important	JJ	important
at	IN	at
the	DT	the
level	NN	level
of	IN	of
the	DT	the
species	NN	species
,	,	,
at	IN	at
the	DT	the
level	NN	level
of	IN	of
the	DT	the
society	NN	society
—	:	-
this	DT	this
is	VBZ	be
how	WRB	how
we	PP	we
communicate	VBP	communicate
and	CC	and
create	VBP	create
bonds	NNS	bond
,	,	,
and	CC	and
at	IN	at
the	DT	the
personal	JJ	personal
and	CC	and
interpersonal	JJ	interpersonal
levels	NNS	level
—	:	-
with	IN	with
our	PP$	our
voice	NN	voice
,	,	,
we	PP	we
share	VBP	share
much	RB	much
more	JJR	more
than	IN	than
words	NNS	word
and	CC	and
data	NNS	datum
,	,	,
we	PP	we
share	VBP	share
basically	RB	basically
who	WP	who
we	PP	we
are	VBP	be
.	SENT	.
And	CC	and
our	PP$	our
voice	NN	voice
is	VBZ	be
indistinguishable	JJ	indistinguishable
from	IN	from
how	WRB	how
other	JJ	other
people	NNS	people
see	VBP	see
us	PP	us
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
mask	NN	mask
that	IN	that
we	PP	we
wear	VBP	wear
in	IN	in
society	NN	society
.	SENT	.
But	CC	but
our	PP$	our
relationship	NN	relationship
with	IN	with
our	PP$	our
own	JJ	own
voice	NN	voice
is	VBZ	be
far	RB	far
from	IN	from
obvious	JJ	obvious
.	SENT	.
We	PP	we
rarely	RB	rarely
use	VBP	use
our	PP$	our
voice	NN	voice
for	IN	for
ourselves	PP	ourselves
;	:	;
we	PP	we
use	VBP	use
it	PP	it
as	IN	as
a	DT	a
gift	NN	gift
to	TO	to
give	VB	give
to	TO	to
others	NNS	other
.	SENT	.
It	PP	it
is	VBZ	be
how	WRB	how
we	PP	we
touch	VBP	touch
each	DT	each
other	JJ	other
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
dialectical	JJ	dialectical
grooming	VBG	groom
.	SENT	.
But	CC	but
what	WP	what
do	VBP	do
we	PP	we
think	VBP	think
about	IN	about
our	PP$	our
own	JJ	own
voice	NN	voice
?	SENT	?
So	RB	so
please	RB	please
raise	VB	raise
your	PP$	your
hand	NN	hand
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
like	IN	like
the	DT	the
sound	NN	sound
of	IN	of
your	PP$	your
voice	NN	voice
when	WRB	when
you	PP	you
hear	VBP	hear
it	PP	it
on	IN	on
a	DT	a
recording	NN	recording
machine	NN	machine
.	SENT	.
Yeah	RB	yeah
,	,	,
thank	VB	thank
you	PP	you
,	,	,
indeed	RB	indeed
,	,	,
most	JJS	most
people	NNS	people
report	VBP	report
not	RB	not
liking	VBG	like
the	DT	the
sound	NN	sound
of	IN	of
their	PP$	their
voice	NN	voice
recording	NN	recording
.	SENT	.
So	RB	so
what	WP	what
does	VBZ	do
