Whether	IN	whether
you	PP	you
like	VBP	like
it	PP	it
or	CC	or
not	RB	not
,	,	,
radical	JJ	radical
transparency	NN	transparency
and	CC	and
algorithmic	JJ	algorithmic
decision-	NN	<unknown>
making	NN	making
is	VBZ	be
coming	VBG	come
at	IN	at
you	PP	you
fast	RB	fast
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
change	VB	change
your	PP$	your
life	NN	life
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
because	IN	because
it	PP	it
'	POS	'
s	NN	S
now	RB	now
easy	JJ	easy
to	TO	to
take	VB	take
algorithms	NNS	algorithm
and	CC	and
embed	VB	embed
them	PP	them
into	IN	into
computers	NNS	computer
and	CC	and
gather	VB	gather
all	PDT	all
that	DT	that
data	NN	data
that	IN	that
you	PP	you
'	POS	'
re	NN	re
leaving	VBG	leave
on	IN	on
yourself	PP	yourself
all	RB	all
over	IN	over
the	DT	the
place	NN	place
,	,	,
and	CC	and
know	VB	know
what	WP	what
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
and	CC	and
then	RB	then
direct	VB	direct
the	DT	the
computers	NNS	computer
to	TO	to
interact	VB	interact
with	IN	with
you	PP	you
in	IN	in
ways	NNS	way
that	WDT	that
are	VBP	be
better	JJR	good
than	IN	than
most	JJS	most
people	NNS	people
can	MD	can
.	SENT	.
Well	RB	well
,	,	,
that	WDT	that
might	MD	might
sound	VB	sound
scary	JJ	scary
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
this	DT	this
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
and	CC	and
I	PP	I
have	VBP	have
found	VBN	find
it	PP	it
to	TO	to
be	VB	be
wonderful	JJ	wonderful
.	SENT	.
My	PP$	my
objective	NN	objective
has	VBZ	have
been	VBN	be
to	TO	to
have	VB	have
meaningful	JJ	meaningful
work	NN	work
and	CC	and
meaningful	JJ	meaningful
relationships	NNS	relationship
with	IN	with
the	DT	the
people	NNS	people
I	PP	I
work	VBP	work
with	IN	with
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
learned	VBD	learn
that	IN	that
I	PP	I
couldn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
that	DT	that
unless	IN	unless
I	PP	I
had	VBD	have
that	DT	that
radical	JJ	radical
transparency	NN	transparency
and	CC	and
that	DT	that
algorithmic	JJ	algorithmic
decision-making	NN	decision-making
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
show	VB	show
you	PP	you
why	WRB	why
that	DT	that
is	VBZ	be
,	,	,
I	PP	I
want	VBP	want
to	TO	to
show	VB	show
you	PP	you
how	WRB	how
it	PP	it
works	VBZ	work
.	SENT	.
And	CC	and
I	PP	I
warn	VBP	warn
you	PP	you
that	IN	that
some	DT	some
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
probably	RB	probably
are	VBP	be
a	DT	a
little	JJ	little
bit	NN	bit
shocking	JJ	shocking
.	SENT	.
Since	IN	since
I	PP	I
was	VBD	be
a	DT	a
kid	NN	kid
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
terrible	JJ	terrible
rote	NN	rote
memory	NN	memory
.	SENT	.
And	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
like	IN	like
following	VBG	follow
instructions	NNS	instruction
,	,	,
I	PP	I
was	VBD	be
no	RB	no
good	JJ	good
at	IN	at
following	VBG	follow
instructions	NNS	instruction
.	SENT	.
But	CC	but
I	PP	I
loved	VBD	love
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
things	NNS	thing
worked	VBD	work
for	IN	for
myself	PP	myself
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
12	CD	@card@
,	,	,
I	PP	I
hated	VBD	hate
school	NN	school
but	CC	but
I	PP	I
fell	VBD	fall
in	IN	in
love	NN	love
with	IN	with
trading	VBG	trade
the	DT	the
markets	NNS	market
.	SENT	.
I	PP	I
caddied	VBD	caddie
at	IN	at
the	DT	the
time	NN	time
,	,	,
earned	VBD	earn
about	RB	about
five	CD	five
dollars	NNS	dollar
a	DT	a
bag	NN	bag
.	SENT	.
And	CC	and
I	PP	I
took	VBD	take
my	PP$	my
caddying	VBG	caddy
money	NN	money
,	,	,
and	CC	and
I	PP	I
put	VBP	put
it	PP	it
in	IN	in
the	DT	the
stock	NN	stock
market	NN	market
.	SENT	.
And	CC	and
that	DT	that
was	VBD	be
just	RB	just
because	IN	because
the	DT	the
stock	NN	stock
market	NN	market
was	VBD	be
hot	JJ	hot
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
And	CC	and
the	DT	the
first	JJ	first
company	NN	company
I	PP	I
bought	VBD	buy
was	VBD	be
a	DT	a
company	NN	company
by	IN	by
the	DT	the
name	NN	name
of	IN	of
Northeast	NP	Northeast
Airlines	NPS	Airlines
.	SENT	.
Northeast	NP	Northeast
Airlines	NPS	Airlines
was	VBD	be
the	DT	the
only	JJ	only
company	NN	company
I	PP	I
heard	VBD	hear
of	IN	of
that	WDT	that
was	VBD	be
selling	VBG	sell
for	IN	for
less	JJR	less
than	IN	than
five	CD	five
dollars	NNS	dollar
a	DT	a
share	NN	share
.	SENT	.
And	CC	and
I	PP	I
figured	VBD	figure
I	PP	I
could	MD	could
buy	VB	buy
more	JJR	more
shares	NNS	share
,	,	,
and	CC	and
if	IN	if
it	PP	it
went	VBD	go
up	RP	up
,	,	,
I	PP	I
'	POS	'
d	NN	d
make	VBP	make
more	JJR	more
money	NN	money
.	SENT	.
So	RB	so
,	,	,
it	PP	it
was	VBD	be
a	DT	a
dumb	JJ	dumb
strategy	NN	strategy
,	,	,
right	RB	right
?	SENT	?
But	CC	but
I	PP	I
tripled	VBD	triple
my	PP$	my
money	NN	money
,	,	,
and	CC	and
I	PP	I
tripled	VBD	triple
my	PP$	my
money	NN	money
because	IN	because
I	PP	I
got	VBD	get
lucky	JJ	lucky
.	SENT	.
The	DT	the
company	NN	company
was	VBD	be
about	RB	about
to	TO	to
go	VB	go
bankrupt	JJ	bankrupt
,	,	,
but	CC	but
some	DT	some
other	JJ	other
company	NN	company
acquired	VBD	acquire
it	PP	it
,	,	,
and	CC	and
I	PP	I
tripled	VBD	triple
my	PP$	my
money	NN	money
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
hooked	VBN	hook
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
"	``	"
This	DT	this
game	NN	game
is	VBZ	be
easy	JJ	easy
.	SENT	.
"	''	"
With	IN	with
time	NN	time
,	,	,
I	PP	I
learned	VBD	learn
this	DT	this
game	NN	game
is	VBZ	be
anything	NN	anything
but	CC	but
easy	JJ	easy
.	SENT	.
In	IN	in
order	NN	order
to	TO	to
be	VB	be
an	DT	an
effective	JJ	effective
investor	NN	investor
,	,	,
one	PP	one
has	VBZ	have
to	TO	to
bet	VB	bet
against	IN	against
the	DT	the
consensus	NN	consensus
and	CC	and
be	VB	be
right	JJ	right
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
easy	JJ	easy
to	TO	to
bet	VB	bet
against	IN	against
the	DT	the
consensus	NN	consensus
and	CC	and
be	VB	be
right	JJ	right
.	SENT	.
One	PP	one
has	VBZ	have
to	TO	to
bet	VB	bet
against	IN	against
the	DT	the
consensus	NN	consensus
and	CC	and
be	VB	be
right	JJ	right
because	IN	because
the	DT	the
consensus	NN	consensus
is	VBZ	be
built	VBN	build
into	IN	into
the	DT	the
price	NN	price
.	SENT	.
And	CC	and
in	IN	in
order	NN	order
to	TO	to
be	VB	be
an	DT	an
entrepreneur	NN	entrepreneur
,	,	,
a	DT	a
successful	JJ	successful
entrepreneur	NN	entrepreneur
,	,	,
one	PP	one
has	VBZ	have
to	TO	to
bet	VB	bet
against	IN	against
the	DT	the
consensus	NN	consensus
and	CC	and
be	VB	be
right	JJ	right
.	SENT	.
I	PP	I
had	VBD	have
to	TO	to
be	VB	be
an	DT	an
entrepreneur	NN	entrepreneur
and	CC	and
an	DT	an
investor	NN	investor
—	:	-
and	CC	and
what	WP	what
goes	VBZ	go
along	RP	along
with	IN	with
that	WDT	that
is	VBZ	be
making	VBG	make
a	DT	a
lot	NN	lot
of	IN	of
painful	JJ	painful
mistakes	NNS	mistake
.	SENT	.
So	RB	so
I	PP	I
made	VBD	make
a	DT	a
lot	NN	lot
of	IN	of
painful	JJ	painful
mistakes	NNS	mistake
,	,	,
and	CC	and
with	IN	with
time	NN	time
