Hey	UH	hey
look	VB	look
,	,	,
if	IN	if
you	PP	you
guys	NNS	guy
are	VBP	be
anything	NN	anything
like	IN	like
me	PP	me
,	,	,
you	PP	you
have	VBP	have
found	VBN	find
it	PP	it
harder	JJR	hard
and	CC	and
harder	JJR	hard
to	TO	to
turn	VB	turn
around	RP	around
recently	RB	recently
without	IN	without
seeing	VBG	see
words	NNS	word
like	IN	like
"	``	"
free-range	JJ	free-range
,	,	,
"	''	"
"	``	"
farm-to-	NN	<unknown>
table	NN	table
,	,	,
"	''	"
"	``	"
organically	RB	organically
produced	VBD	produce
,	,	,
"	``	"
especially	RB	especially
here	RB	here
in	IN	in
Colorado	NP	Colorado
.	SENT	.
Now	RB	now
,	,	,
as	IN	as
we	PP	we
'	POS	'
ve	NNS	<unknown>
become	VBP	become
more	RBR	more
conscientious	JJ	conscientious
of	IN	of
the	DT	the
way	NN	way
that	IN	that
we	PP	we
eat	VBP	eat
in	IN	in
recent	JJ	recent
years	NNS	year
,	,	,
these	DT	these
once	RB	once
unfamiliar	JJ	unfamiliar
words	NNS	word
have	VBP	have
worked	VBN	work
their	PP$	their
way	NN	way
into	IN	into
our	PP$	our
daily	JJ	daily
lexicon	NN	lexicon
.	SENT	.
When	WRB	when
we	PP	we
started	VBD	start
to	TO	to
pay	VB	pay
more	JJR	more
attention	NN	attention
to	TO	to
the	DT	the
way	NN	way
that	IN	that
the	DT	the
food	NN	food
we	PP	we
were	VBD	be
eating	VBG	eat
interacted	VBN	interact
with	IN	with
our	PP$	our
bodies	NNS	body
and	CC	and
with	IN	with
the	DT	the
earth	NN	earth
,	,	,
the	DT	the
food	NN	food
industry	NN	industry
had	VBD	have
to	TO	to
listen	VB	listen
.	SENT	.
And	CC	and
the	DT	the
results	NNS	result
have	VBP	have
been	VBN	be
really	RB	really
powerful	JJ	powerful
.	SENT	.
Now	RB	now
,	,	,
those	DT	those
of	IN	of
you	PP	you
out	RB	out
there	RB	there
from	IN	from
states	NNS	state
like	IN	like
Washington	NP	Washington
and	CC	and
Oregon	NP	Oregon
and	CC	and
,	,	,
of	IN	of
course	NN	course
,	,	,
my	PP$	my
fellow	JJ	fellow
Coloradans	NNS	Coloradan
—	:	-
y	NP	y
'	POS	'
all	RB	all
know	VB	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	RB	about
.	SENT	.
Because	IN	because
this	DT	this
is	VBZ	be
not	RB	not
.	SENT	.
.	SENT	.
.	SENT	.
Words	NNS	word
like	IN	like
"	``	"
all-	JJ	<unknown>
natural	NN	natural
"	''	"
and	CC	and
"	``	"
homegrown	JJ	homegrown
"	''	"
are	VBP	be
not	RB	not
just	RB	just
being	VBG	be
used	VBN	use
in	IN	in
our	PP$	our
diets	NNS	diet
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
whole	JJ	whole
new	JJ	new
industry	NN	industry
using	VBG	use
this	DT	this
language	NN	language
now	RB	now
.	SENT	.
You	PP	you
guys	NNS	guy
know	VBP	know
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
weed	NN	weed
,	,	,
an	DT	an
industry	NN	industry
that	WDT	that
taxed	VBD	tax
a	DT	a
sale	NN	sale
of	IN	of
about	RB	about
six	CD	six
billion	NN	billion
dollars	NNS	dollar
worth	JJ	worth
of	IN	of
product	NN	product
in	IN	in
2016	CD	@card@
.	SENT	.
So	RB	so
what	WP	what
if	IN	if
I	PP	I
were	VBD	be
to	TO	to
propose	VB	propose
to	TO	to
you	PP	you
that	IN	that
some	DT	some
of	IN	of
what	WP	what
you	PP	you
think	VBP	think
you	PP	you
know	VBP	know
about	IN	about
this	DT	this
legalized	VBN	legalize
marijuana	NN	marijuana
thing	NN	thing
could	MD	could
be	VB	be
wrong	JJ	wrong
?	SENT	?
Listen	VB	listen
,	,	,
I	PP	I
get	VBP	get
it	PP	it
—	:	-
talking	VBG	talk
about	IN	about
issues	NNS	issue
with	IN	with
legal	JJ	legal
weed	NN	weed
is	VBZ	be
a	DT	a
pretty	RB	pretty
quick	JJ	quick
way	NN	way
to	TO	to
get	VB	get
uninvited	JJ	uninvited
from	IN	from
the	DT	the
cool	JJ	cool
kids	NNS	kid
'	POS	'
table	NN	table
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
better	JJR	good
than	IN	than
most	JJS	most
,	,	,
but	CC	but
I	PP	I
intend	VBP	intend
to	TO	to
do	VB	do
it	PP	it
anyway	RB	anyway
.	SENT	.
First	RB	first
,	,	,
before	IN	before
I	PP	I
get	VBP	get
started	VBN	start
,	,	,
let	VB	let
me	PP	me
be	VB	be
perfectly	RB	perfectly
clear	JJ	clear
about	IN	about
one	CD	one
thing	NN	thing
:	:	:
my	PP$	my
fight	NN	fight
is	VBZ	be
not	RB	not
against	IN	against
the	DT	the
casual	JJ	casual
adult	NN	adult
use	NN	use
of	IN	of
marijuana	NN	marijuana
—	:	-
I	PP	I
don	VBP	don
'	''	'
t	NN	t
care	NN	care
about	IN	about
that	DT	that
.	SENT	.
What	WP	what
I	PP	I
care	VBP	care
deeply	RB	deeply
about	RB	about
is	VBZ	be
this	DT	this
new	JJ	new
industry	NN	industry
that	WDT	that
is	VBZ	be
working	VBG	work
to	TO	to
convince	VB	convince
us	PP	us
that	IN	that
we	PP	we
are	VBP	be
consuming	VBG	consume
something	NN	something
natural	JJ	natural
while	IN	while
fixing	VBG	fix
social	JJ	social
ills	NNS	ill
,	,	,
when	WRB	when
we	PP	we
aren	NNS	<unknown>
'	POS	'
t	NN	t
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
start	VBP	start
with	IN	with
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
Weed	NP	Weed
101	CD	@card@
.	SENT	.
Cannabis	NN	cannabis
is	VBZ	be
a	DT	a
plant	NN	plant
that	WDT	that
grows	VBZ	grow
naturally	RB	naturally
and	CC	and
has	VBZ	have
been	VBN	be
used	VBN	use
within	IN	within
textiles	NNS	textile
and	CC	and
even	RB	even
traditional	JJ	traditional
Chinese	JJ	Chinese
medicine	NN	medicine
for	IN	for
thousands	NNS	thousand
of	IN	of
years	NNS	year
.	SENT	.
Genesis	NP	Genesis
1:12	NP	@card@
even	RB	even
tells	VBZ	tell
us	PP	us
:	:	:
"	``	"
I	PP	I
have	VBP	have
given	VBN	give
you	PP	you
all	DT	all
of	IN	of
the	DT	the
seed-bearing	NN	seed-bearing
plants	NNS	plant
and	CC	and
herbs	NNS	herb
to	TO	to
use	VB	use
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
microphone	NN	microphone
—	:	-
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
a	DT	a
TV	NN	TV
preacher	NN	preacher
sort	NN	sort
of	IN	of
thing	NN	thing
.	SENT	.
Now	RB	now
,	,	,
cannabis	NN	cannabis
is	VBZ	be
made	VBN	make
up	RP	up
of	IN	of
hundreds	NNS	hundred
of	IN	of
different	JJ	different
chemicals	NNS	chemical
,	,	,
but	CC	but
two	CD	two
of	IN	of
those	DT	those
chemicals	NNS	chemical
are	VBP	be
by	IN	by
far	RB	far
the	DT	the
most	RBS	most
interesting	JJ	interesting
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
CBD	NP	CBD
and	CC	and
THC	NP	THC
.	SENT	.
CBD	NP	CBD
is	VBZ	be
where	WRB	where
almost	RB	almost
all	DT	all
of	IN	of
the	DT	the
medicinal	JJ	medicinal
properties	NNS	property
lie	VBP	lie
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
incredibly	RB	incredibly
fascinating	JJ	fascinating
part	NN	part
of	IN	of
the	DT	the
plant	NN	plant
with	IN	with
real	JJ	real
potential	NN	potential
to	TO	to
help	VB	help
people	NNS	people
.	SENT	.
It	PP	it
also	RB	also
is	VBZ	be
totally	RB	totally
nonintoxicating	JJ	<unknown>
.	SENT	.
You	PP	you
could	MD	could
take	VB	take
a	DT	a
bath	NN	bath
in	IN	in
the	DT	the
stuff	NN	stuff
while	IN	while
vaping	VBG	vape
pure	JJ	pure
CBD	NNS	<unknown>
and	CC	and
drinking	VBG	drink
a	DT	a
CBD	JJ	<unknown>
smoothie	NN	smoothie
,	,	,
and	CC	and
you	PP	you
still	RB	still
couldn	NN	<unknown>
'	POS	'
t	NN	t
get	VB	get
high	JJ	high
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
tried	VBD	try
.	SENT	.
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
,	,	,
I	PP	I
haven	VBP	haven
'	''	'
t	NN	t
.	SENT	.
That	IN	that
'	POS	'
d	NN	d
cost	VBD	cost
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
.	SENT	.
Now	RB	now
,	,	,
for	IN	for
as	RB	as
interesting	JJ	interesting
and	CC	and
remarkable	JJ	remarkable
a	DT	a
part	NN	part
of	IN	of
the	DT	the
plant	NN	plant
as	IN	as
CBD	NN	CBD
is	VBZ	be
,	,	,
it	PP	it
actually	RB	actually
makes	VBZ	make
up	RP	up
a	DT	a
really	RB	really
tiny	JJ	tiny
portion	NN	portion
of	IN	of
the	DT	the
commercial	JJ	commercial
market	NN	market
.	SENT	.
The	DT	the
real	JJ	real
money	NN	money
is	VBZ	be
being	VBG	be
made	VBN	make
in	IN	in
that	DT	that
other	JJ	other
chemical	NN	chemical
—	:	-
in	IN	in
THC	NP	THC
.	SENT	.
THC	NP	THC
is	VBZ	be
the	DT	the
natural	JJ	natural
part	NN	part
of	IN	of
the	DT	the
plant	NN	plant
that	WDT	that
gets	VBZ	get
you	PP	you
high	JJ	high
.	SENT	.
And	CC	and
before	IN	before
the	DT	the
1970s	NNS	1970s
,	,	,
cannabis	NN	cannabis
contained	VBD	contain
less	JJR	less
than	IN	than
half	NN	half
of	IN	of
a	DT	a
percent	NN	percent
of	IN	of
THC	NP	THC
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
'	POS	'
s	NN	S
naturally	RB	naturally
occurring	VBG	occur
.	SENT	.
Over	IN	over
the	DT	the
last	JJ	last
40	CD	@card@
years	NNS	year
,	,	,
as	IN	as
we	PP	we
became	VBD	become
better	JJR	good
gardeners	NNS	gardener
,	,	,
that	WDT	that
—	:	-
that	DT	that
percentage	NN	percentage
of	IN	of
THC	NP	THC
started	VBD	start
to	TO	to
slowly	RB	slowly
but	CC	but
steadily	RB	steadily
rise	VB	rise
,	,	,
until	IN	until
recently	RB	recently
,	,	,
when	WRB	when
the	DT	the
chemists	NNS	chemist
started	VBD	start
to	TO	to
get	VB	get
involved	VBN	involve
.	SENT	.
So	IN	so
these	DT	these
guys	NNS	guy
moved	VBD	move
grow	VB	grow
cycles	NNS	cycle
—	:	-
sorry	RB	sorry
—	:	-
these	DT	these
guys	NNS	guy
moved	VBD	move
cultivation	NN	cultivation
exclusively	RB	exclusively
indoors	RB	indoors
,	,	,
and	CC	and
they	PP	they
made	VBD	make
grow	VB	grow
cycles	NNS	cycle
extremely	RB	extremely
and	CC	and
unnaturally	RB	unnaturally
short	JJ	short
.	SENT	.
They	PP	they
also	RB	also
started	VBD	start
to	TO	to
use	VB	use
pesticides	NNS	pesticide
and	CC	and
fertilizers	NNS	fertilizer
in	IN	in
some	DT	some
ways	NNS	way
that	IN	that
we	PP	we
should	MD	should
be	VB	be
concerned	VBN	concern
with	IN	with
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
I	PP	I
was	VBD	be
recently	RB	recently
talking	VBG	talk
to	TO	to
a	DT	a
buddy	NN	buddy
who	WP	who
had	VBD	have
just	RB	just
left	VBN	leave
a	DT	a
job	NN	job
at	IN	at
a	DT	a
commercial	NN	commercial
grow	VB	grow
operation	NN	operation
because	IN	because
he	PP	he
was	VBD	be
so	RB	so
concerned	VBN	concern
with	IN	with
the	DT	the
chemicals	NNS	chemical
that	IN	that
he	PP	he
was	VBD	be
being	VBG	be
asked	VBN	ask
to	TO	to
interact	VB	interact
with	IN	with
.	SENT	.
Some	DT	some
of	IN	of
his	PP$	his
fellow	JJ	fellow
employees	NNS	employee
were	VBD	be
actually	RB	actually
encouraged	VBN	encourage
to	TO	to
wear	VB	wear
hazmat	NN	<unknown>
suits	NNS	suit
while	IN	while
they	PP	they
were	VBD	be
spraying	VBG	spray
the	DT	the
chemical	JJ	chemical
cocktails	NNS	cocktail
on	IN	on
the	DT	the
plants	NNS	plant
.	SENT	.
With	IN	with
that	DT	that
kind	NN	kind
of	IN	of
manipulation	NN	manipulation
,	,	,
the	DT	the
products	NNS	product
that	WDT	that
are	VBP	be
being	VBG	be
sold	VBN	sell
today	NN	today
can	MD	can
contain	VB	contain
above	IN	above
30	CD	@card@
percent	NN	percent
THC	NP	THC
.	SENT	.
And	CC	and
our	PP$	our
concentrates	NNS	concentrate
—	:	-
our	PP$	our
concentrates	NNS	concentrate
can	MD	can
actually	RB	actually
contain	VB	contain
above	IN	above
95	CD	@card@
percent	NN	percent
THC	NP	THC
—	:	-
a	DT	a
far	JJ	far
cry	NN	cry
from	IN	from
the	DT	the
natural	JJ	natural
plant	NN	plant
.	SENT	.
Listen	VB	listen
,	,	,
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
your	PP$	your
grandpa	NN	grandpa
'	POS	'
s	NN	S
weed	NN	weed
.	SENT	.
This	DT	this
isn	NN	isn
'	POS	'
t	NN	t
your	PP$	your
dad	NN	dad
'	POS	'
s	NN	S
weed	NN	weed
.	SENT	.
Like	IN	like
,	,	,
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
even	RB	even
my	PP$	my
weed	NN	weed
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
ve	NN	ve
ever	RB	ever
set	VBN	set
foot	NN	foot
inside	IN	inside
one	CD	one
of	IN	of
the	DT	the
thousands	NNS	thousand
of	IN	of
dispensaries	NNS	dispensary
that	WDT	that
have	VBP	have
sprung	VBN	spring
up	RP	up
in	IN	in
recent	JJ	recent
years	NNS	year
,	,	,
you	PP	you
know	VBP	know
that	IN	that
what	WP	what
we	PP	we
'	POS	'
re	NN	re
really	RB	really
selling	VBG	sell
in	IN	in
them	PP	them
is	VBZ	be
THC	NP	THC
.	SENT	.
All	DT	all
of	IN	of
the	DT	the
weed	NN	weed
that	IN	that
you	PP	you
buy	VBP	buy
commercially	RB	commercially
lists	VBZ	list
exactly	RB	exactly
how	WRB	how
much	JJ	much
THC	NP	THC
it	PP	it
contains	VBZ	contain
,	,	,
as	RB	as
do	VBP	do
our	PP$	our
other	JJ	other
,	,	,
much	RB	much
more	RBR	more
popular	JJ	popular
products	NNS	product
like	IN	like
vape	NN	<unknown>
pens	NNS	pen
,	,	,
coffee	NN	coffee
,	,	,
ice	NN	ice
cream	NN	cream
,	,	,
condiments	NNS	condiment
,	,	,
granola	NN	granola
,	,	,
gum	NN	gum
,	,	,
candy	NN	candy
,	,	,
baked	VBN	bake
goods	NNS	good
,	,	,
suppositories	NNS	suppository
.	SENT	.
And	CC	and
,	,	,
of	IN	of
course	NN	course
,	,	,
lube	NN	lube
.	SENT	.
Pretty	RB	pretty
