Consider	VB	consider
the	DT	the
following	VBG	follow
statement	NN	statement
:	:	:
human	JJ	human
beings	NNS	being
only	RB	only
use	VBP	use
10	CD	@card@
percent	NN	percent
of	IN	of
their	PP$	their
brain	NN	brain
capacity	NN	capacity
.	SENT	.
Well	RB	well
,	,	,
as	IN	as
a	DT	a
neuroscientist	NN	neuroscientist
,	,	,
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
that	IN	that
while	IN	while
Morgan	NP	Morgan
Freeman	NP	Freeman
delivered	VBD	deliver
this	DT	this
line	NN	line
with	IN	with
the	DT	the
gravitas	NNS	<unknown>
that	WDT	that
makes	VBZ	make
him	PP	him
a	DT	a
great	JJ	great
actor	NN	actor
,	,	,
this	DT	this
statement	NN	statement
is	VBZ	be
entirely	RB	entirely
false	JJ	false
.	SENT	.
The	DT	the
truth	NN	truth
is	VBZ	be
,	,	,
human	JJ	human
beings	NNS	being
use	VBP	use
100	CD	@card@
percent	NN	percent
of	IN	of
their	PP$	their
brain	NN	brain
capacity	NN	capacity
.	SENT	.
The	DT	the
brain	NN	brain
is	VBZ	be
a	DT	a
highly	RB	highly
efficient	JJ	efficient
,	,	,
energy-demanding	JJ	energy-demanding
organ	NN	organ
that	WDT	that
gets	VBZ	get
fully	RB	fully
utilized	VBN	utilize
and	CC	and
even	RB	even
though	IN	though
it	PP	it
is	VBZ	be
at	IN	at
full	JJ	full
capacity	NN	capacity
being	VBG	be
used	VBN	use
,	,	,
it	PP	it
suffers	VBZ	suffer
from	IN	from
a	DT	a
problem	NN	problem
of	IN	of
information	NN	information
overload	NN	overload
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
far	RB	far
too	RB	too
much	JJ	much
in	IN	in
the	DT	the
environment	NN	environment
than	IN	than
it	PP	it
can	MD	can
fully	RB	fully
process	VB	process
.	SENT	.
So	RB	so
to	TO	to
solve	VB	solve
this	DT	this
problem	NN	problem
of	IN	of
overload	NN	overload
,	,	,
evolution	NN	evolution
devised	VBD	devise
a	DT	a
solution	NN	solution
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
brain	NN	brain
'	POS	'
s	JJ	<unknown>
attention	NN	attention
system	NN	system
.	SENT	.
Attention	NN	attention
allows	VBZ	allow
us	PP	us
to	TO	to
notice	VB	notice
,	,	,
select	VB	select
and	CC	and
direct	VB	direct
the	DT	the
brain	NN	brain
'	POS	'
s	JJ	<unknown>
computational	JJ	computational
resources	NNS	resource
to	TO	to
a	DT	a
subset	NN	subset
of	IN	of
all	PDT	all
that	DT	that
'	''	'
s	NNS	<unknown>
available	JJ	available
.	SENT	.
We	PP	we
can	MD	can
think	VB	think
of	IN	of
attention	NN	attention
as	IN	as
the	DT	the
leader	NN	leader
of	IN	of
the	DT	the
brain	NN	brain
.	SENT	.
Wherever	WRB	wherever
attention	NN	attention
goes	VBZ	go
,	,	,
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
brain	NN	brain
follows	VBZ	follow
.	SENT	.
In	IN	in
some	DT	some
sense	NN	sense
,	,	,
it	PP	it
