Gayle	NP	Gayle
King	NP	King
:	:	:
Have	VBP	have
a	DT	a
seat	NN	seat
,	,	,
Serena	NP	Serena
Williams	NP	Williams
,	,	,
or	CC	or
should	MD	should
we	PP	we
say	VBP	say
,	,	,
have	VBP	have
a	DT	a
seat	NN	seat
,	,	,
mom	NN	mom
.	SENT	.
So	IN	so
no	DT	no
doubt	NN	doubt
,	,	,
you	PP	you
guys	NNS	guy
are	VBP	be
like	IN	like
me	PP	me
.	SENT	.
You	PP	you
saw	VBD	see
the	DT	the
release	NN	release
of	IN	of
Serena	NP	Serena
in	IN	in
that	DT	that
great	JJ	great
yellow	JJ	yellow
bathing	VBG	bath
suit	NN	suit
last	JJ	last
week	NN	week
and	CC	and
when	WRB	when
I	PP	I
saw	VBD	see
it	PP	it
,	,	,
all	RB	all
I	PP	I
could	MD	could
think	VB	think
of	IN	of
was	VBD	be
,	,	,
"	''	"
Gosh	NP	gosh
,	,	,
why	WRB	why
couldn	NNS	<unknown>
'	POS	'
t	NN	t
she	PP	she
have	VBP	have
waited	VBN	wait
til	NN	til
we	PP	we
sat	VBD	sit
onstage	NN	onstage
for	IN	for
TED	VB	ted
?	SENT	?
"	``	"
I	PP	I
was	VBD	be
very	RB	very
selfish	JJ	selfish
,	,	,
I	PP	I
know	VBP	know
.	SENT	.
So	RB	so
I	PP	I
asked	VBD	ask
you	PP	you
about	IN	about
that	DT	that
picture	NN	picture
,	,	,
and	CC	and
you	PP	you
said	VBD	say
nobody	NN	nobody
was	VBD	be
supposed	VBN	suppose
to	TO	to
see	VB	see
that	DT	that
picture	NN	picture
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
mean	VBP	mean
?	SENT	?
Serena	NP	Serena
Williams	NP	Williams
:	:	:
Well	UH	well
,	,	,
actually	RB	actually
,	,	,
it	PP	it
was	VBD	be
an	DT	an
accident	NN	accident
.	SENT	.
I	PP	I
was	VBD	be
on	IN	on
vacation	NN	vacation
,	,	,
just	RB	just
taking	VBG	take
some	DT	some
time	NN	time
for	IN	for
myself	PP	myself
,	,	,
and	CC	and
I	PP	I
have	VBP	have
this	DT	this
thing	NN	thing
where	WRB	where
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
checking	VBG	check
my	PP$	my
status	NN	status
and	CC	and
taking	VBG	take
pictures	NNS	picture
every	DT	every
week	NN	week
to	TO	to
see	VB	see
how	WRB	how
far	RB	far
along	IN	along
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
—	:	-
GK	NP	GK
:	:	:
And	CC	and
sharing	VBG	share
it	PP	it
with	IN	with
friends	NNS	friend
,	,	,
maybe	RB	maybe
?	SENT	?
SW	NP	SW
:	:	:
No	UH	no
,	,	,
actually	RB	actually
I	PP	I
have	VBP	have
just	RB	just
been	VBN	be
saving	VBG	save
it	PP	it
,	,	,
and	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
tell	VB	tell
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
,	,	,
to	TO	to
be	VB	be
quite	RB	quite
honest	JJ	honest
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
been	VBN	be
saving	VBG	save
it	PP	it
,	,	,
and	CC	and
you	PP	you
know	VBP	know
how	WRB	how
social	JJ	social
media	NNS	medium
is	VBZ	be
,	,	,
you	PP	you
press	VBP	press
the	DT	the
wrong	JJ	wrong
button	NN	button
and	CC	and
—	:	-
GK	NP	GK
:	:	:
And	CC	and
there	RB	there
it	PP	it
was	VBD	be
.	SENT	.
SW	NP	SW
:	:	:
So	RB	so
30	CD	@card@
minutes	NNS	minute
