Today	NP	Today
,	,	,
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
is	VBZ	be
something	NN	something
that	WDT	that
happened	VBD	happen
to	TO	to
me	PP	me
,	,	,
actually	RB	actually
,	,	,
around	RB	around
four	CD	four
weeks	NNS	week
ago	RB	ago
,	,	,
it	PP	it
happened	VBD	happen
.	SENT	.
Words	NNS	word
were	VBD	be
said	VBN	say
to	TO	to
me	PP	me
that	IN	that
I	PP	I
never	RB	never
thought	VBD	think
I	PP	I
would	MD	would
ever	RB	ever
hear	VB	hear
it	PP	it
said	VBD	say
to	TO	to
my	PP$	my
face	NN	face
by	IN	by
another	DT	another
human	NN	human
being	VBG	be
.	SENT	.
And	CC	and
those	DT	those
words	NNS	word
,	,	,
they	PP	they
shattered	VBD	shatter
my	PP$	my
heart	NN	heart
.	SENT	.
And	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
they	PP	they
filled	VBD	fill
it	PP	it
with	IN	with
so	RB	so
much	JJ	much
hope	NN	hope
.	SENT	.
And	CC	and
the	DT	the
whole	JJ	whole
experience	NN	experience
renewed	VBD	renew
my	PP$	my
commitment	NN	commitment
to	TO	to
the	DT	the
idea	NN	idea
that	IN	that
I	PP	I
came	VBD	come
to	TO	to
share	VB	share
with	IN	with
you	PP	you
today	NN	today
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
I	PP	I
tell	VBP	tell
everyone	NN	everyone
that	IN	that
I	PP	I
am	VBP	be
a	DT	a
haunted	JJ	haunted
person	NN	person
.	SENT	.
What	WP	what
haunts	VBZ	haunt
me	PP	me
is	VBZ	be
the	DT	the
impossible	JJ	impossible
stories	NNS	story
,	,	,
story	NN	story
after	IN	after
story	NN	story
after	IN	after
story	NN	story
after	IN	after
story	NN	story
of	IN	of
young	JJ	young
people	NNS	people
,	,	,
my	PP$	my
people	NNS	people
,	,	,
people	NNS	people
like	VBP	like
me	PP	me
dying	VBG	die
out	RP	out
there	RB	there
on	IN	on
the	DT	the
ocean	NN	ocean
,	,	,
right	RB	right
now	RB	now
,	,	,
laying	VBG	lay
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
ocean	NN	ocean
,	,	,
serving	VBG	serve
as	IN	as
fish	NN	fish
food	NN	food
.	SENT	.
Do	VB	do
you	PP	you
really	RB	really
think	VBP	think
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
best	JJS	good
we	PP	we
can	MD	can
do	VB	do
?	SENT	?
To	TO	to
serve	VB	serve
as	IN	as
fish	NN	fish
food	NN	food
?	SENT	?
And	CC	and
for	IN	for
those	DT	those
of	IN	of
them	PP	them
who	WP	who
are	VBP	be
trying	VBG	try
to	TO	to
migrate	VB	migrate
to	TO	to
Europe	NP	Europe
—	:	-
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
it	PP	it
is	VBZ	be
all	RB	all
about	RB	about
,	,	,
they	PP	they
are	VBP	be
trying	VBG	try
to	TO	to
migrate	VB	migrate
to	TO	to
Europe	NP	Europe
to	TO	to
find	VB	find
a	DT	a
job	NN	job
.	SENT	.
Going	VBG	go
through	IN	through
Libya	NP	Libya
.	SENT	.
Do	VB	do
you	PP	you
know	VB	know
what	WP	what
happens	VBZ	happen
to	TO	to
us	PP	us
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
cross	VB	cross
through	IN	through
Libya	NP	Libya
and	CC	and
we	PP	we
'	POS	'
re	NN	re
trapped	VBN	trap
over	IN	over
there	RB	there
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
'	POS	'
re	NN	re
being	VBG	be
sold	VBN	sell
as	IN	as
slaves	NNS	slave
.	SENT	.
For	IN	for
300	CD	@card@
dollars	NNS	dollar
,	,	,
maybe	RB	maybe
sometimes	RB	sometimes
500	CD	@card@
dollars	NNS	dollar
.	SENT	.
Sometimes	RB	sometimes
I	PP	I
hear	VBP	hear
stories	NNS	story
of	IN	of
bodies	NNS	body
that	WDT	that
fall	VBP	fall
off	RP	off
an	DT	an
airplane	NN	airplane
.	SENT	.
Somebody	NN	somebody
hid	VBD	hide
in	IN	in
the	DT	the
landing	NN	landing
gear	NN	gear
of	IN	of
a	DT	a
plane	NN	plane
or	CC	or
in	IN	in
the	DT	the
cargo	NN	cargo
section	NN	section
of	IN	of
a	DT	a
plane	NN	plane
,	,	,
and	CC	and
then	RB	then
you	PP	you
find	VBP	find
them	PP	them
frozen	JJ	frozen
to	TO	to
death	NN	death
.	SENT	.
Wouldn	NP	<unknown>
'	POS	'
t	NN	t
you	PP	you
be	VB	be
haunted	VBN	haunt
if	IN	if
,	,	,
like	IN	like
me	PP	me
,	,	,
from	IN	from
the	DT	the
moment	NN	moment
you	PP	you
were	VBD	be
a	DT	a
little	JJ	little
girl	NN	girl
,	,	,
you	PP	you
hear	VBP	hear
these	DT	these
stories	NNS	story
and	CC	and
they	PP	they
keep	VBP	keep
repeating	VBG	repeat
themselves	PP	themselves
,	,	,
over	IN	over
and	CC	and
over	IN	over
and	CC	and
over	IN	over
?	SENT	?
Wouldn	NP	<unknown>
'	POS	'
t	NN	t
you	PP	you
be	VB	be
haunted	VBN	haunt
?	SENT	?
That	IN	that
'	''	'
s	VBG	<unknown>
my	PP$	my
case	NN	case
.	SENT	.
And	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
you	PP	you
know	VBP	know
,	,	,
as	IN	as
my	PP$	my
people	NNS	people
are	VBP	be
dying	VBG	die
,	,	,
my	PP$	my
culture	NN	culture
is	VBZ	be
also	RB	also
dying	VBG	die
.	SENT	.
There	RB	there
,	,	,
I	PP	I
said	VBD	say
it	PP	it
.	SENT	.
Because	RB	because
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
have	VBP	have
this	DT	this
culture	NN	culture
inferiority	NN	inferiority
,	,	,
which	WDT	which
means	VBZ	mean
that	DT	that
anything	NN	anything
that	WDT	that
comes	VBZ	come
from	IN	from
us	PP	us
is	VBZ	be
not	RB	not
good	JJ	good
