lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
mutter	2	6	500.0	1.39	0.01	18.95	198.89	POSKW
splendid	2	6	500.0	1.39	0.01	18.95	198.89	POSKW
stumbling	2	7	500.0	1.62	0.01	18.41	198.71	POSKW
ages	2	27	500.0	6.26	0.03	13.43	195.05	POSKW
tile	2	44	500.0	10.21	0.04	11.56	192.0	POSKW
bitter	2	45	500.0	10.44	0.04	11.48	191.82	POSKW
abdication	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
bleakness	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
bodice	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
dregs	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
effacement	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
exorcise	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
footstool	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
goings-on	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
hartford	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
industriousness	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
innards	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
inoffensive	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
knead	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
light-hearted	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
masklike	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
occupancy	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
outscore	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
piebald	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
practiced	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
pulpy	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
ragged	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
reek	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
resplendent	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
rockland	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
seventeenth	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
sexless	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
shapeless	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
shoah	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
stallion	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
steely	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
two-tenth	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
unpaved	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
unselfish	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
untroubled	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
vamp	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
vestibule	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
walton	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
wilkes	1	1	250.0	0.23	0.0	11.2	199.63	POSKW
behold	2	52	500.0	12.06	0.05	10.92	190.58	POSKW
bench	2	55	500.0	12.76	0.05	10.71	190.05	POSKW
coincidence	2	58	500.0	13.45	0.06	10.5	189.52	POSKW
ash	2	61	500.0	14.15	0.06	10.31	188.99	POSKW
bow	2	63	500.0	14.61	0.06	10.19	188.64	POSKW
bosom	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
cervantes	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
conrad	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
convulsion	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
demonstrable	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
depressives	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
eighteenth	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
electroconvulsive	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
electroshock	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
entrap	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
ez	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
fetid	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
hoarse	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
irate	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
jaundice	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
mascara	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
moriarty	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
pre-frontal	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
pre-war	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
relaxant	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
sixteenth	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
stickler	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
transfiguration	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
worthlessness	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
yap	1	2	250.0	0.46	0.0	10.15	199.26	POSKW
bone	3	239	750.0	55.44	0.22	10.04	172.47	POSKW
obsession	2	66	500.0	15.31	0.06	10.01	188.12	POSKW
chide	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
cologne	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
engross	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
lobotomy	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
long-ago	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
mysticism	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
newsstand	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
penance	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
pharmacologist	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
satchel	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
seethe	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
snarl	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
squalor	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
throb	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
umpire	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
unquenchable	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
unwashed	1	3	250.0	0.7	0.0	9.47	198.89	POSKW
portrait	2	82	500.0	19.02	0.08	9.18	185.34	POSKW
convulse	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
cuckoo	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
dishonor	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
elle	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
epileptic	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
eva	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
excrement	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
frenzied	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
gibberish	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
horrid	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
incarnate	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
mal	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
mores	1	4	250.0	0.93	0.0	8.97	198.52	POSKW
