Effect	year	N	Mean fac5	SD fac5
year	1984	1	5.0000000	
year	1990	1	77.0000000	
year	1994	1	4.0000000	
year	1998	6	3.8333333	1.60208198
year	2001	4	1.7500000	0.50000000
year	2002	25	5.8800000	2.94844592
year	2003	31	3.0967742	2.31451707
year	2004	30	3.3333333	2.33907340
year	2005	61	3.8688525	2.58505583
year	2006	41	3.1463415	1.94372035
year	2007	101	2.9306931	2.23274461
year	2008	74	3.3783784	2.45899357
year	2009	200	2.1200000	1.78085858
year	2010	219	2.2374429	1.81438312
year	2011	235	2.2085106	1.71566809
year	2012	253	1.9407115	1.73675335
year	2013	266	1.9060150	1.43625611
year	2014	237	1.8734177	1.59740591
year	2015	237	1.7341772	1.64452503
year	2016	271	1.7232472	1.57790713
year	2017	342	1.6988304	1.61914819
year	2018	261	1.5708812	1.48056473
year	2019	104	1.4230769	1.45276641
year	2020	281	1.6975089	1.82374052
year	2021	294	1.5204082	1.60351316
year	2022	246	1.8252033	1.66044467
year	2023	284	1.5422535	1.51610082
year	2024	205	1.5609756	1.50894036
year	2025	4	0.7500000	0.50000000
