Effect	year	N	Mean fac4	SD fac4
year	1984	1	7.0000000	
year	1990	1	10.0000000	
year	1994	1	6.0000000	
year	1998	6	8.6666667	3.8815804
year	2001	4	-5.5000000	15.0000000
year	2002	25	7.7600000	4.3135446
year	2003	31	7.1612903	2.5832379
year	2004	30	6.2666667	2.9235469
year	2005	61	8.2786885	4.0666577
year	2006	41	9.2439024	4.6945739
year	2007	101	8.1089109	4.2045237
year	2008	74	6.3378378	4.0112070
year	2009	200	6.4550000	4.0247944
year	2010	219	6.2237443	3.9341113
year	2011	235	5.5957447	4.0364767
year	2012	253	5.6007905	3.5805248
year	2013	266	5.5263158	3.4413226
year	2014	237	5.7510549	3.9500656
year	2015	237	6.3628692	3.7534127
year	2016	271	6.9335793	3.9659684
year	2017	342	6.5233918	3.9032706
year	2018	261	6.0842912	3.3719120
year	2019	104	6.4423077	3.6492503
year	2020	281	7.9928826	6.0985905
year	2021	294	7.2176871	4.6207973
year	2022	246	7.7235772	5.8334725
year	2023	284	7.5880282	5.2643206
year	2024	205	8.8390244	7.7868944
year	2025	4	33.5000000	46.7439836
