_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,loaded,factor,pole
v000001,-0.64215893,-0.341025161,0.3492141509,-0.716242057,-0.336831079,-0.193389315,1,fac4,-1
v000002,0.1388112136,0.1683009204,0.0095091288,0.3883479603,-0.175168735,0.0173768547,1,fac4,1
v000003,0.5901704042,-0.04540031,-0.148596473,0.000817035,-0.183285733,-0.150635186,1,fac1,1
v000004,0.4078841145,-0.011571534,-0.193503877,0.0426067112,0.7609941729,-0.258948045,1,fac5,1
v000005,0.3235282599,-0.114317819,-0.0260621,-0.060501432,-0.065165238,-0.11927183,1,fac1,1
v000006,0.034697137,0.4203217039,0.0581452727,-0.054596627,-0.083086595,0.0579812778,1,fac2,1
v000008,-0.027436953,0.0046311958,0.3508961442,0.3047837995,-0.161783849,0.205531407,1,fac3,1
v000009,-0.24083715,0.4825108021,0.4529058827,0.6268348084,-0.091699507,-0.106979298,1,fac4,1
v000010,-0.163462106,-0.152884973,-0.111907473,-0.125859871,1.2459773964,-0.046431943,1,fac5,1
v000011,-0.133804933,-0.181401292,-0.106067557,-0.158297145,1.12211685,-0.072524756,1,fac5,1
v000012,0.1113125601,0.3594384682,0.136415125,0.0901403228,-0.166291431,-0.028127127,1,fac2,1
v000013,0.0505104042,0.6136194127,0.1001633934,0.0272119211,-0.060714774,-0.008586816,1,fac2,1
v000014,-0.281907177,-0.250063662,-0.333102817,-0.120330686,-0.144904609,-0.078121988,1,fac3,-1
v000015,0.0201803287,-0.050307437,0.1995231816,-0.16080144,-0.081088318,0.0783132048,0,,
v000017,-0.742972869,-0.386813509,-0.131254895,1.0524079326,-0.180431324,-0.120266773,1,fac4,1
v000018,0.1155125347,0.1753956894,0.4062986983,0.3241611539,-0.00436126,0.0421087736,1,fac3,1
v000019,0.3092874005,-0.119970669,0.1483975468,0.4238275527,-0.132561376,-0.083722919,1,fac4,1
v000020,0.4901338536,0.0417961987,0.327376986,0.1439025209,-0.081158131,-0.097127462,1,fac1,1
v000021,0.0701417277,0.0298047741,0.3808571352,-0.030949611,-0.033957925,-0.084699852,1,fac3,1
v000022,0.2888058115,0.2245824713,0.2546072358,-0.086861909,-0.064428776,-0.082944805,0,,
v000023,0.0810682815,-0.097562416,0.1641122518,-0.106684154,-0.060367358,-0.099939803,0,,
v000024,-0.033576298,-0.017148984,-0.22454964,0.1197683028,-0.172428076,0.0281276432,0,,
v000025,0.5702155548,-0.180032205,0.2207760122,0.2048843555,-0.071351126,-0.217534163,1,fac1,1
v000026,0.227895083,0.2335226933,0.2135780428,0.2429726849,-0.126110594,-0.054354587,0,,
v000027,0.5133352582,-0.043090111,0.2788150605,0.0416226674,-0.090644625,-0.008943727,1,fac1,1
v000028,0.2105774384,-0.189450478,0.5124845201,0.1416121117,0.7349656091,-0.062387742,1,fac5,1
v000029,0.2680342613,0.0193865335,-0.105863681,0.3037555642,-0.083753853,-0.04931307,1,fac4,1
v000030,0.4232645351,0.2713821828,-0.106600643,0.0298036188,-0.113470327,-0.198153131,1,fac1,1
v000031,0.6459605755,-0.152651873,0.1869095605,0.2148764414,-0.058223667,-0.03919069,1,fac1,1
v000032,0.2481824705,-0.027690285,0.4008160309,-0.064344333,-0.008777654,-0.133247926,1,fac3,1
v000033,-0.318205511,-0.198514667,-0.079950898,-0.148693829,1.201987527,-0.052197909,1,fac5,1
v000034,0.4164950359,-0.122164179,0.1051909467,0.0268563302,-0.054861816,-0.05569503,1,fac1,1
v000035,-0.473928234,1.2931701865,-0.043987801,-0.042533979,-0.047841942,-0.039528019,1,fac2,1
v000036,0.6167089301,-0.205109879,-0.336620039,-0.038815262,-0.03958373,-0.054285559,1,fac1,1
v000037,0.429610512,-0.068099912,-0.004710978,-0.031113734,-0.019702786,-0.049772533,1,fac1,1
v000038,0.2203803106,0.1561255745,-0.261176595,0.2295167084,-0.148951028,-0.104271945,0,,
v000039,0.3084092731,-0.160253601,-0.899967076,-0.090930035,-0.176618829,-0.235458288,1,fac3,-1
v000040,0.0465158184,0.02101524,-0.432092309,-0.122148437,-0.155004886,-0.226967396,1,fac3,-1
v000041,-0.26193769,-0.264272268,-0.081275529,-0.040948776,1.2149394424,-0.132033958,1,fac5,1
v000042,0.2711378591,-0.022604224,-0.523078729,0.2164047577,-0.300248589,-0.197836172,1,fac3,-1
v000043,0.4228971494,0.2532221366,0.0806299118,0.0731441877,-0.207880317,0.0687478403,1,fac1,1
v000044,-0.355473853,1.2042098922,0.1236056345,0.1650006428,0.0257627373,0.0115947172,1,fac2,1
v000045,-0.494307776,-0.253819807,-0.233449538,-0.150356623,-0.142106364,-0.10925649,1,fac1,-1
v000046,-0.701486501,-0.433967131,-0.057862692,1.3288425869,-0.149563904,-0.118915551,1,fac4,1
v000047,-0.24503597,-0.218202955,-0.296578331,-0.075257908,-0.096286713,-0.089808499,0,,
v000048,-0.210020201,0.7300668758,0.2454719287,-0.045687118,-0.030315367,-0.009403489,1,fac2,1
v000049,-0.134126734,0.0004524313,-0.195343765,0.0038753811,-0.148394355,-0.076687937,0,,
v000050,-0.406409549,-0.304346632,-0.023474505,-0.126970275,-0.159938228,1.2633808473,1,fac6,1
v000051,0.2424535651,0.2501058415,0.004216904,0.0005154294,-0.075127122,0.0656651181,0,,
v000052,-0.11688203,-0.184730193,-0.305551939,-0.162161009,-0.114352245,-0.036244867,1,fac3,-1
v000053,0.1148325426,0.0294285565,0.5352027435,-0.029648723,-0.045830583,-0.01322892,1,fac3,1
v000054,0.3313670087,-0.048891351,-0.406901095,0.0293840431,-0.149354341,-0.061018137,1,fac3,-1
v000055,0.0262270651,-0.218495279,0.4850010578,0.6403295793,-0.09361331,-0.038845255,1,fac4,1
v000056,0.3216077335,0.2436586867,0.1476506549,-0.016446447,0.6581086239,0.0386704512,1,fac5,1
v000057,0.075658759,0.0109432564,0.4891280561,0.0943720289,-0.084375786,-0.105789671,1,fac3,1
v000058,0.7253988687,-0.028619752,-0.01764183,-0.027924628,-0.074877292,0.0235479045,1,fac1,1
v000059,0.3770470241,-0.012847152,-0.144927874,-0.20931066,-0.047731283,-0.034848661,1,fac1,1
v000060,-0.029077801,0.361181764,0.4476924329,0.0713308998,-0.114658606,0.6318676328,1,fac6,1
v000061,0.5272519322,-0.304845174,0.2128166079,0.0410790312,-0.04697884,0.7423095898,1,fac6,1
v000062,0.4541803816,0.1907756111,-0.13604135,0.1033633841,-0.166414499,0.0173288264,1,fac1,1
v000063,-0.053696337,0.3405641826,0.4491278381,0.0819982668,-0.103210628,-0.100384671,1,fac3,1
v000064,0.6195653542,-0.176891866,-0.155320223,-0.065819199,-0.067036874,-0.075935164,1,fac1,1
v000065,-0.026307224,-0.124549487,-0.127796223,-0.101276021,-0.021693561,0.0533312674,0,,
v000066,0.2311138209,0.1031490909,0.4346949335,0.0643930945,-0.058821671,0.0580417906,1,fac3,1
v000067,0.1197003088,-0.107447364,-0.41870496,-0.050231612,-0.017582009,0.1314402249,1,fac3,-1
v000068,-0.153135601,0.2939059211,0.444989887,-0.344069755,-0.233192577,-0.221236689,1,fac3,1
v000069,0.1085511585,0.1622934479,0.0303215553,0.2651476457,-0.052087317,-0.020296378,0,,
v000070,-0.114105826,0.1938015563,0.520710603,0.3001023537,-0.060187798,-0.139747163,1,fac3,1
v000071,0.0718761311,0.224295756,0.4252490267,0.1194227344,0.7442598371,-0.089192934,1,fac5,1
v000072,-0.310315004,0.0944902975,-0.150120794,0.0442338423,0.1230556877,0.0680811411,1,fac1,-1
v000073,0.1563311316,-0.160773532,-0.00396401,0.1656779534,-0.017509372,-0.007872985,0,,
v000074,0.5713383449,-0.081308885,0.1753546318,0.0243494897,-0.038943556,0.0322942905,1,fac1,1
v000075,-0.039503009,0.015261385,0.4815575315,0.0630695075,0.0573104855,-0.105820855,1,fac3,1
v000076,0.1462276207,0.0936851747,0.3515532819,-0.236209672,-0.245296548,0.3963350384,1,fac6,1
v000077,-0.701486501,-0.433967131,-0.057862692,1.3288425869,-0.149563904,-0.118915551,1,fac4,1
v000078,0.4823871685,0.1536010814,0.1696387823,-0.016925086,-0.063027744,0.6683742293,1,fac6,1
v000079,0.0179751074,-0.137996888,0.0530892692,-0.090493067,-0.029865188,-0.086003872,0,,
v000080,-0.702935747,-0.37859671,0.0443008431,1.0639769053,-0.192534296,-0.118550699,1,fac4,1
v000081,0.0906345922,0.4692546093,0.2213350637,-0.081994452,-0.084607074,-0.058644446,1,fac2,1
v000082,-0.334930621,-0.194916071,-0.017712449,-0.087105843,1.1932131218,-0.095060604,1,fac5,1
v000083,0.3708735845,0.2621896156,0.1105190967,-0.0867845,0.1098957306,-0.141143498,1,fac1,1
v000084,-0.203671572,-0.102928681,0.0803291383,-0.025381592,-0.101117092,1.0367470294,1,fac6,1
v000085,0.1219308156,-0.043455919,0.2972757078,-0.421597886,-0.228551141,-0.285669672,1,fac4,-1
v000086,0.233814036,-0.059017382,0.2861846673,0.2734390742,-0.074567426,-0.097938135,0,,
v000087,0.1229604475,0.4252901362,0.2750370443,0.1327315729,-0.145785312,-0.147481134,1,fac2,1
v000088,-0.253809391,-0.295101523,0.4517728607,1.0382727804,-0.064437117,-0.085499761,1,fac4,1
v000089,-0.566686379,-0.269721965,-0.255903584,-0.17094635,-0.130020172,-0.10663329,1,fac1,-1
v000090,0.0583229352,-0.129472949,-0.172793329,-0.048930894,-0.034855717,-0.028684333,0,,
v000091,-0.071915701,-0.278819892,-0.340112701,-0.074257215,-0.030679306,0.0708693988,1,fac3,-1
v000092,0.7274162793,0.0128437996,-0.214924108,-0.052494918,-0.160957449,-0.078771922,1,fac1,1
v000093,-0.526570773,-0.203559217,-0.146488492,-0.018904655,-0.109104365,-0.130552205,1,fac1,-1
v000094,0.4576117962,0.0909216397,0.2524968857,-0.024239284,-0.047245511,-0.018151472,1,fac1,1
v000095,-0.089862728,-0.169261455,0.6430530348,-0.40007959,-0.207922536,-0.196851088,1,fac3,1
v000096,-0.486473408,-0.058927266,0.0541796756,0.0068158735,-0.056770971,-0.065659815,1,fac1,-1
v000097,-0.130277407,-0.193406344,-0.382918788,-0.118100434,-0.093530076,-0.012113034,1,fac3,-1
v000098,-0.49192848,-0.200328634,-0.253759826,-0.251179204,-0.161525189,-0.135081084,1,fac1,-1
v000099,0.116872256,0.0612701238,0.2215664207,0.0750935725,-0.145300012,-0.039891728,0,,
v000100,0.0910402624,-0.143729118,-0.031673924,-0.16888827,-0.092269035,-0.012270711,0,,
v000101,0.2441546163,0.0378825291,0.1547499977,0.1133205336,0.0170544558,0.0152729466,0,,
v000102,0.3510927052,0.3298336609,0.0601531245,-0.126548355,-0.047796999,-0.043226775,1,fac1,1
v000103,-0.397192298,-0.259546431,0.0510551715,-0.095780564,1.2982559893,-0.132438882,1,fac5,1
v000104,0.0637225594,0.0594732457,0.2087594308,0.0808732292,-0.356448276,-0.074416537,1,fac5,-1
v000105,0.4972817047,0.0851375135,-0.06362855,0.0038515374,-0.051198636,-0.033630011,1,fac1,1
v000106,-0.140252235,0.4709369014,0.0434154366,-0.008900094,-0.047082928,-0.149410577,1,fac2,1
v000107,-0.694154127,-0.342331846,0.2969069511,-0.759693402,-0.348121745,-0.159775349,1,fac4,-1
v000108,0.168088584,0.4564039983,0.3114535341,0.0120453988,-0.05627528,-0.159388055,1,fac2,1
v000109,0.2536986721,-0.188571414,0.2582525886,0.0331055211,-0.069670801,-0.049442344,0,,
v000110,-0.073472863,0.1863628887,0.1788322697,-0.265233899,0.13130564,0.1624569016,0,,
v000111,0.3548793964,0.2369556878,0.077232164,-0.048058779,0.4551375451,0.0124527471,1,fac5,1
v000112,0.1942184686,-0.249048285,-0.049895867,0.1991423448,-0.084994094,-0.08582209,0,,
v000113,0.1906669594,0.1751224321,-0.115858297,-0.339339742,-0.3391452,0.0531156298,1,fac4,-1
v000114,0.4244607074,-0.099851373,0.0952327051,-0.05053719,-0.031071518,-0.078402687,1,fac1,1
v000115,0.0884333287,-0.146498874,-0.073689651,-0.06571328,-0.022817502,0.0010538104,0,,
v000116,0.4641116117,-0.178345738,0.3994319028,0.2505250458,0.0279249751,-0.09159228,1,fac1,1
v000117,-0.752231849,-0.387873783,-0.196587948,1.3468509248,-0.160273183,-0.083830246,1,fac4,1
v000118,0.0173872632,-0.323008858,-0.011775708,0.7291629689,-0.13971677,-0.060272386,1,fac4,1
v000119,0.3055823378,-0.065487143,0.2263560498,0.0234871341,0.0510336352,0.0526503317,1,fac1,1
v000120,0.3667750655,-0.185214066,0.1896718541,0.2601786518,-0.030152797,-0.079265585,1,fac1,1
v000121,0.3574505583,-0.162109047,0.331247491,-0.259162751,-0.191420294,-0.045963703,1,fac1,1
v000122,0.4687528804,-0.075165081,0.3418120082,0.0046922095,-0.042317468,0.0099796464,1,fac1,1
v000123,-0.111876798,0.0463375057,0.1156952603,0.0186056034,-0.063624431,-0.007227349,0,,
v000124,-0.436602984,-0.214242874,-0.03294238,-0.110154501,1.2607553177,-0.16559485,1,fac5,1
v000125,-0.396653583,0.6880020349,0.0742809854,-0.03665853,-0.041162815,-0.087670521,1,fac2,1
v000126,0.3124185465,-0.021528925,0.0740300014,0.0527456916,-0.014302195,-0.01989684,1,fac1,1
v000127,0.032319319,0.4284054038,-0.36632018,0.0082553481,-0.155052441,-0.263512366,1,fac2,1
v000128,0.676671205,-0.123314075,-0.046382165,-0.024453418,-0.083644672,-0.080917276,1,fac1,1
v000129,0.0686466519,0.3640437721,-0.217455826,0.0749719981,-0.064662885,-0.041838105,1,fac2,1
v000130,0.2742445393,-0.0172903,0.3262911989,0.0908867709,-0.042937178,-0.068784392,1,fac3,1
v000131,0.4972619449,0.0964849042,0.0105458579,0.2815887374,-0.059154329,-0.150020141,1,fac1,1
v000132,-0.162050813,-0.16126065,-0.106373831,-0.127873337,1.1291246691,-0.130362915,1,fac5,1
v000133,0.2272810386,0.3432481746,-0.077011577,-0.157263258,0.0205350354,0.0667173088,1,fac2,1
v000135,0.3017903937,0.2833059442,0.3058094066,0.0232274983,-0.047587901,-0.022445605,1,fac3,1
v000136,0.2095548595,-0.071509303,-0.012215931,0.0054168823,-0.068841657,-0.021470993,0,,
v000137,-0.380983791,-0.225012497,-0.034637251,-0.145739443,1.2359222201,-0.174249145,1,fac5,1
v000138,-0.056717015,0.457612584,0.2090496414,0.5599257976,-0.160477125,-0.053630584,1,fac4,1
v000139,0.1390152269,-0.096930531,-0.1695231,-0.136093843,-0.013123521,-0.050386575,0,,
v000140,-0.146518571,-0.30023732,-0.040839283,-0.108275514,-0.213035289,1.1128587741,1,fac6,1
v000141,-0.260208795,-0.13482195,-0.022019902,-0.154610305,1.1559361834,-0.08692125,1,fac5,1
v000142,0.2238050429,0.0199884174,0.3074947089,0.1179262537,-0.042542103,0.1120448907,1,fac3,1
v000143,-0.113432509,0.4638951054,0.5983846752,-0.145996439,-0.146751789,-0.038247377,1,fac3,1
v000145,0.673377188,0.0315026125,-0.114642563,-0.154932931,-0.041689815,-0.034053324,1,fac1,1
v000146,-0.521754062,1.4298511677,-0.149756055,0.0004765772,0.0306781379,0.0759525963,1,fac2,1
v000147,0.0932445492,0.0867092322,0.4258422337,-0.060005006,-0.048420323,-0.025184681,1,fac3,1
v000148,0.2688398823,0.2384560837,0.1750587545,-0.13230611,-0.267918213,0.0604960092,0,,
v000149,0.3320663593,-0.118540454,0.0546068972,-0.084732332,-0.08092229,0.0159384841,1,fac1,1
v000150,0.0909767454,-0.095315505,0.081136987,-0.191317634,-0.072460794,0.0218770472,0,,
v000151,-0.284227938,-0.257064943,-0.075402776,-0.117295637,1.30954252,-0.159412911,1,fac5,1
v000152,0.0789413839,0.2788184616,0.0995313922,0.4578053469,-0.190288728,-0.147841624,1,fac4,1
v000153,0.1113584758,0.4403139736,-0.190452323,-0.010195967,-0.178383188,-0.196623716,1,fac2,1
v000154,0.3225504015,0.1794996085,0.1216343962,0.0738238361,0.523765401,-0.199079203,1,fac5,1
v000155,-0.412759942,-0.231595953,-0.318089066,-0.14340869,-0.147563839,-0.0816284,1,fac1,-1
v000156,0.2675317441,-0.003388857,0.1201543286,0.5508615838,-0.060855046,-0.228420739,1,fac4,1
v000157,0.1332352369,0.0781359579,0.3489045243,0.0707884521,-0.036705037,-0.064534393,1,fac3,1
v000158,0.4381655621,0.2651326647,0.067138953,-0.016577291,-0.077708049,0.2376889739,1,fac1,1
v000159,0.3632974565,-0.099983485,-0.268207062,-0.155286486,-0.13637978,-0.16182478,1,fac1,1
v000160,0.4513538019,-0.195048898,0.2482518849,0.3456038479,-0.070735166,-0.106089915,1,fac1,1
v000161,0.4256819892,-0.171011203,-0.379820131,-0.07842963,-0.12735624,-0.123051534,1,fac1,1
v000162,-0.595505063,1.5312324325,-0.160406939,0.0082830894,0.0433542005,0.0516711002,1,fac2,1
v000163,-0.412768349,1.2692858552,0.0472493666,0.0466806629,-0.017136493,-0.022640322,1,fac2,1
v000164,0.5234660455,0.015756743,0.0940356224,0.091326021,-0.106527001,-0.076881485,1,fac1,1
v000165,0.1103107919,0.2524390373,0.2453556421,0.511016714,-0.095118344,-0.035971318,1,fac4,1
v000166,-0.440776003,-0.140807624,-0.169800796,-0.08158391,-0.130588021,-0.120366787,1,fac1,-1
v000167,-0.443468477,0.338521512,0.1194654633,0.5908993456,-0.119369243,-0.072343821,1,fac4,1
v000168,0.2634007711,-0.010910315,0.2194230673,-0.059631623,-0.025231428,-0.098484143,0,,
v000169,0.1678030671,0.4692982108,0.2469171989,-0.063714227,-0.040560033,-0.09865077,1,fac2,1
v000170,-0.16342641,-0.237158693,-0.114412314,-0.055554392,1.1406650924,-0.093121536,1,fac5,1
v000171,0.398159244,0.1102004072,-0.352285692,-0.018835885,0.2447882196,0.2546056699,1,fac1,1
v000172,0.1914511503,0.3836591054,-0.03462509,0.0131265745,-0.031720831,0.0653565486,1,fac2,1
