Effect	year	N	Mean fac2	SD fac2
year	1984	1	0.00000000	
year	1990	1	1.00000000	
year	1994	1	5.00000000	
year	1998	6	3.50000000	2.16794834
year	2001	4	4.00000000	3.36650165
year	2002	25	3.76000000	2.84722087
year	2003	31	3.25806452	1.78825319
year	2004	30	4.40000000	2.41546740
year	2005	61	4.40983607	2.65441173
year	2006	41	3.02439024	2.07951683
year	2007	101	3.00990099	2.01243658
year	2008	74	3.40540541	2.39816665
year	2009	200	2.88500000	2.18302611
year	2010	219	3.31050228	2.36263522
year	2011	235	3.22978723	2.29789154
year	2012	253	3.41897233	2.49411127
year	2013	266	3.48120301	2.31517228
year	2014	237	3.54430380	2.50658861
year	2015	237	3.60337553	2.11403432
year	2016	271	3.91881919	2.39305633
year	2017	342	3.90935673	2.50055129
year	2018	261	3.81609195	2.35435147
year	2019	104	4.11538462	2.55923112
year	2020	281	5.81138790	8.62160980
year	2021	294	4.27551020	3.87724775
year	2022	246	4.27235772	3.33855158
year	2023	284	3.86267606	2.55099535
year	2024	205	4.20000000	2.85670865
year	2025	4	2.25000000	2.06155281
