Effect	year	N	Mean fac6	SD fac6
year	1984	1	58.0000000	
year	1990	1	0.0000000	
year	1994	1	0.0000000	
year	1998	6	1.5000000	1.04880885
year	2001	4	1.2500000	1.25830574
year	2002	25	1.6400000	1.35030861
year	2003	31	1.3870968	1.14535058
year	2004	30	1.1666667	1.20582876
year	2005	61	1.6721311	1.23452165
year	2006	41	1.5853659	1.18270051
year	2007	101	1.4059406	1.30520663
year	2008	74	1.5135135	1.18487319
year	2009	200	1.1350000	1.22239365
year	2010	219	0.9497717	1.09721810
year	2011	235	1.0212766	1.07991298
year	2012	253	0.8735178	0.97580364
year	2013	266	0.9699248	1.18760803
year	2014	237	0.8143460	1.10819601
year	2015	237	0.8059072	0.92303784
year	2016	271	0.8302583	1.00035527
year	2017	342	0.7163743	0.88567668
year	2018	261	0.7049808	0.90359011
year	2019	104	0.7019231	0.96421212
year	2020	281	0.7615658	0.98384252
year	2021	294	0.5782313	0.85402216
year	2022	246	0.6951220	0.91279822
year	2023	284	0.6126761	0.80938481
year	2024	205	0.6000000	0.89442719
year	2025	4	0.7500000	0.95742711
