Effect	year	N	Mean fac3	SD fac3
year	1984	1	1.0000000	
year	1990	1	2.0000000	
year	1994	1	-29.0000000	
year	1998	6	-1.3333333	5.12510163
year	2001	4	5.7500000	7.54431353
year	2002	25	1.1200000	2.74347711
year	2003	31	1.2903226	3.25774511
year	2004	30	1.8666667	2.81294217
year	2005	61	2.7213115	3.02286369
year	2006	41	2.0000000	2.44948974
year	2007	101	2.8613861	2.66093857
year	2008	74	2.0945946	2.49475570
year	2009	200	2.4200000	2.48282543
year	2010	219	2.3881279	2.37340882
year	2011	235	2.2468085	2.18550499
year	2012	253	2.7470356	2.75004349
year	2013	266	2.4962406	2.47744256
year	2014	237	3.0632911	2.86123316
year	2015	237	3.1518987	2.99047332
year	2016	271	3.8265683	3.24827516
year	2017	342	3.7456140	3.31302788
year	2018	261	3.5057471	3.04658786
year	2019	104	4.3076923	3.99046661
year	2020	281	3.7188612	3.67461856
year	2021	294	3.2312925	2.99730944
year	2022	246	3.4512195	2.99449470
year	2023	284	3.0352113	2.71993549
year	2024	205	3.2536585	3.10818792
year	2025	4	3.2500000	1.89296945
