Effect	year	N	Mean fac1	SD fac1
year	1984	1	8.0000000	
year	1990	1	4.0000000	
year	1994	1	15.0000000	
year	1998	6	11.3333333	7.91622806
year	2001	4	-0.2500000	2.21735578
year	2002	25	11.0800000	6.71391590
year	2003	31	13.8064516	6.56972529
year	2004	30	9.9333333	4.45617227
year	2005	61	13.6393443	6.39800174
year	2006	41	11.4146341	4.82169892
year	2007	101	10.6732673	6.09771910
year	2008	74	11.5810811	6.53548115
year	2009	200	9.0750000	5.51283336
year	2010	219	9.4566210	6.33192649
year	2011	235	8.2170213	4.75912615
year	2012	253	7.4071146	4.34662211
year	2013	266	7.2969925	4.33395440
year	2014	237	6.8902954	4.53197102
year	2015	237	7.3417722	5.02928561
year	2016	271	6.0110701	4.02536715
year	2017	342	5.8684211	4.46461452
year	2018	261	5.3371648	3.96151171
year	2019	104	5.4423077	4.15670455
year	2020	281	5.0676157	4.43432847
year	2021	294	5.4251701	4.41987975
year	2022	246	5.2073171	4.26491468
year	2023	284	5.3732394	4.05720431
year	2024	205	6.1024390	4.28337460
year	2025	4	-1.0000000	3.46410162
