Alison	NP	Alison
Taylor	NP	Taylor
:	:	:
Talk	VB	talk
to	TO	to
us	PP	us
about	IN	about
what	WP	what
the	DT	the
key	JJ	key
elements	NNS	element
are	VBP	be
of	IN	of
success	NN	success
in	IN	in
this	DT	this
world	NN	world
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
research	NN	research
,	,	,
there	EX	there
'	''	'
s	NN	S
strategy	NN	strategy
.	SENT	.
It	PP	it
also	RB	also
seems	VBZ	seem
you	PP	you
need	VBP	need
to	TO	to
react	VB	react
very	RB	very
dynamically	RB	dynamically
to	TO	to
events	NNS	event
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
seizes	VBZ	seize
control	NN	control
of	IN	of
the	DT	the
narrative	NN	narrative
.	SENT	.
But	CC	but
talk	VB	talk
to	TO	to
us	PP	us
about	IN	about
how	WRB	how
you	PP	you
see	VBP	see
this	DT	this
.	SENT	.
Bill	NP	Bill
Ackman	NP	Ackman
:	:	:
So	RB	so
investing	VBG	invest
is	VBZ	be
about	RB	about
putting	VBG	put
out	RP	out
money	NN	money
today	NN	today
in	IN	in
the	DT	the
hope	NN	hope
or	CC	or
promise	NN	promise
of	IN	of
getting	VBG	get
back	RB	back
more	JJR	more
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
And	CC	and
so	IN	so
it	PP	it
'	POS	'
s	NN	S
about	IN	about
predicting	VBG	predict
the	DT	the
future	NN	future
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
do	VBP	do
is	VBZ	be
we	PP	we
find	VBP	find
businesses	NNS	business
where	WRB	where
we	PP	we
believe	VBP	believe
,	,	,
with	IN	with
a	DT	a
very	RB	very
high	JJ	high
degree	NN	degree
of	IN	of
confidence	NN	confidence
,	,	,
we	PP	we
know	VBP	know
what	WP	what
the	DT	the
business	NN	business
is	VBZ	be
going	VBG	go
to	TO	to
look	VB	look
like	IN	like
over	IN	over
decades	NNS	decade
.	SENT	.
Because	IN	because
decades	NNS	decade
matter	NN	matter
in	IN	in
valuing	VBG	value
something	NN	something
.	SENT	.
And	CC	and
so	IN	so
it	PP	it
'	POS	'
s	NN	S
really	RB	really
an	DT	an
analysis	NN	analysis
about	IN	about
disruption	NN	disruption
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
risk	NN	risk
of	IN	of
two	CD	two
former	JJ	former
Stanford	NP	Stanford
students	NNS	student
in	IN	in
a	DT	a
garage	NN	garage
coming	VBG	come
up	RP	up
with	IN	with
something	NN	something
that	WDT	that
disrupts	VBZ	disrupt
a	DT	a
business	NN	business
?	SENT	?
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
most	RBS	most
important	JJ	important
part	NN	part
of	IN	of
being	VBG	be
a	DT	a
long-term	JJ	long-term
investor	NN	investor
,	,	,
figuring	VBG	figure
out	RP	out
the	DT	the
durability	NN	durability
of	IN	of
the	DT	the
franchise	NN	franchise
,	,	,
the	DT	the
barriers	NNS	barrier
to	TO	to
entry	NN	entry
,	,	,
the	DT	the
moat	NN	moat
around	IN	around
the	DT	the
business	NN	business
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
rest	NN	rest
of	IN	of
it	PP	it
is	VBZ	be
just	RB	just
making	VBG	make
sure	JJ	sure
you	PP	you
'	''	'
re	IN	re
buying	VBG	buy
that	DT	that
business	NN	business
at	IN	at
a	DT	a
price	NN	price
where	WRB	where
you	PP	you
put	VBD	put
up	RP	up
money	NN	money
today	NN	today
and	CC	and
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
get	VB	get
a	DT	a
lot	NN	lot
more	RBR	more
back	RB	back
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
Very	RB	very
simple	JJ	simple
.	SENT	.
AT	NN	at
:	:	:
Alright	RB	alright
.	SENT	.
So	RB	so
more	RBR	more
recently	RB	recently
you	PP	you
'	POS	'
ve	NN	ve
taken	VBN	take
this	DT	this
approach	NN	approach
to	TO	to
other	JJ	other
realms	NNS	realm
,	,	,
to	TO	to
social	JJ	social
and	CC	and
political	JJ	political
realms	NNS	realm
.	SENT	.
So	RB	so
can	MD	can
you	PP	you
talk	VB	talk
to	TO	to
us	PP	us
about	IN	about
what	WP	what
is	VBZ	be
similar	JJ	similar
in	IN	in
these	DT	these
other	JJ	other
realms	NNS	realm
?	SENT	?
You	PP	you
have	VBP	have
said	VBN	say
,	,	,
for	IN	for
example	NN	example
,	,	,
that	DT	that
problem	NN	problem
at	IN	at
