Like	IN	like
many	JJ	many
of	IN	of
you	PP	you
,	,	,
I	PP	I
am	VBP	be
an	DT	an
introvert	NN	introvert
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
it	PP	it
sounds	VBZ	sound
ironic	JJ	ironic
because	IN	because
I	PP	I
'	POS	'
m	NN	m
the	DT	the
chief	JJ	chief
people	NNS	people
officer	NN	officer
of	IN	of
a	DT	a
large	JJ	large
tech	NN	tech
company	NN	company
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
ve	NN	ve
never	RB	never
been	VBN	be
the	DT	the
loudest	JJS	loud
in	IN	in
the	DT	the
room	NN	room
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
never	RB	never
been	VBN	be
the	DT	the
first	JJ	first
,	,	,
second	JJ	second
or	CC	or
even	RB	even
third	JJ	third
to	TO	to
offer	VB	offer
my	PP$	my
opinion	NN	opinion
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
always	RB	always
listened	VBD	listen
more	JJR	more
than	IN	than
I	PP	I
speak	VBP	speak
.	SENT	.
And	CC	and
in	IN	in
a	DT	a
world	NN	world
where	WRB	where
most	JJS	most
dominant	JJ	dominant
voices	NNS	voice
are	VBP	be
often	RB	often
seen	VBN	see
as	IN	as
leaders	NNS	leader
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
had	VBD	have
an	DT	an
uphill	JJ	uphill
battle	NN	battle
at	IN	at
work	NN	work
.	SENT	.
Until	IN	until
distributed	VBN	distribute
work	NN	work
changed	VBD	change
my	PP$	my
life	NN	life
and	CC	and
many	JJ	many
others	NNS	other
.	SENT	.
I	PP	I
have	VBP	have
always	RB	always
had	VBN	have
what	WP	what
I	PP	I
call	VBP	call
a	DT	a
grinder	NN	grinder
'	POS	'
s	NN	S
mentality	NN	mentality
,	,	,
and	CC	and
it	PP	it
was	VBD	be
shaped	VBN	shape
early	RB	early
on	IN	on
in	IN	in
my	PP$	my
life	NN	life
.	SENT	.
I	PP	I
was	VBD	be
born	VBN	bear
in	IN	in
a	DT	a
tier-two	NN	<unknown>
city	NN	city
called	VBN	call
Indore	NP	Indore
in	IN	in
India	NP	India
,	,	,
a	DT	a
country	NN	country
that	WDT	that
still	RB	still
favors	VBZ	favor
boys	NNS	boy
.	SENT	.
I	PP	I
was	VBD	be
the	DT	the
youngest	JJS	young
of	IN	of
three	CD	three
sisters	NNS	sister
.	SENT	.
But	CC	but
my	PP$	my
parents	NNS	parent
were	VBD	be
very	RB	very
progressive	JJ	progressive
and	CC	and
they	PP	they
expected	VBD	expect
me	PP	me
to	TO	to
excel	VB	excel
both	DT	both
at	IN	at
sports	NNS	sport
and	CC	and
academics	NNS	academic
.	SENT	.
Hindi	NN	Hindi
is	VBZ	be
my	PP$	my
first	JJ	first
language	NN	language
,	,	,
not	RB	not
English	JJ	English
.	SENT	.
And	CC	and
for	IN	for
those	NNS	those
where	WRB	where
English	NP	English
is	VBZ	be
not	RB	not
your	PP$	your
first	JJ	first
language	NN	language
,	,	,
you	PP	you
may	MD	may
understand	VB	understand
that	IN	that
it	PP	it
'	POS	'
s	NN	S
one	CD	one
thing	NN	thing
to	TO	to
be	VB	be
fluent	JJ	fluent
at	IN	at
English	NP	English
and	CC	and
