Hello	UH	hello
everybody	NN	everybody
,	,	,
I	PP	I
'	POS	'
m	NN	m
Helen	NP	Helen
Walters	NP	Walters
,	,	,
I	NP	I
'	POS	'
m	NN	m
head	NN	head
of	IN	of
media	NNS	medium
and	CC	and
curation	NN	curation
at	IN	at
TED	VB	ted
,	,	,
and	CC	and
I	PP	I
am	VBP	be
delighted	VBN	delight
to	TO	to
welcome	VB	welcome
you	PP	you
to	TO	to
another	DT	another
episode	NN	episode
of	IN	of
TED	VB	ted
Explains	VBZ	explain
the	DT	the
World	NP	World
with	IN	with
Ian	NP	Ian
Bremmer	NP	Bremmer
.	SENT	.
Ian	NP	Ian
,	,	,
of	IN	of
course	NN	course
,	,	,
is	VBZ	be
the	DT	the
president	NN	president
and	CC	and
founder	NN	founder
of	IN	of
Eurasia	NP	Eurasia
Group	NP	Group
.	SENT	.
He	PP	he
is	VBZ	be
the	DT	the
head	NN	head
of	IN	of
GZERO	NP	<unknown>
Media	NP	Media
,	,	,
and	CC	and
he	PP	he
is	VBZ	be
here	RB	here
to	TO	to
talk	VB	talk
to	TO	to
us	PP	us
about	IN	about
what	WP	what
just	RB	just
happened	VBD	happen
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
Today	NN	today
is	VBZ	be
November	NP	November
7	CD	@card@
,	,	,
the	DT	the
election	NN	election
was	VBD	be
on	IN	on
November	NP	November
5	CD	@card@
.	SENT	.
President	NP	President
Trump	NP	Trump
was	VBD	be
reelected	VBN	reelect
in	IN	in
handy	JJ	handy
terms	NNS	term
.	SENT	.
So	RB	so
,	,	,
Ian	NP	Ian
,	,	,
please	VBP	please
tell	VB	tell
us	PP	us
what	WP	what
you	PP	you
make	VBP	make
of	IN	of
what	WP	what
is	VBZ	be
happening	VBG	happen
right	RB	right
now	RB	now
.	SENT	.
Ian	NP	Ian
Bremmer	NP	Bremmer
:	:	:
You	PP	you
'	POS	'
re	NN	re
right	NN	right
,	,	,
it	PP	it
is	VBZ	be
not	RB	not
just	RB	just
the	DT	the
electoral	JJ	electoral
vote	NN	vote
but	CC	but
also	RB	also
the	DT	the
popular	JJ	popular
vote	NN	vote
that	IN	that
Trump	NP	Trump
was	VBD	be
able	JJ	able
to	TO	to
win	VB	win
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
'	POS	'
s	NN	S
close	NN	close
,	,	,
you	PP	you
know	VBP	know
,	,	,
51-49	CD	@card@
,	,	,
so	RB	so
half	NN	half
of	IN	of
the	DT	the
Americans	NPS	Americans
went	VBD	go
against	IN	against
him	PP	him
,	,	,
pretty	RB	pretty
much	RB	much
.	SENT	.
We	PP	we
always	RB	always
knew	VBD	know
that	WDT	that
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
the	DT	the
case	NN	case
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
