Thank	VB	thank
you	PP	you
,	,	,
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
.	SENT	.
Certainly	RB	certainly
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
pleasure	NN	pleasure
to	TO	to
be	VB	be
back	RB	back
here	RB	here
.	SENT	.
All	DT	all
of	IN	of
you	PP	you
guys	VBZ	guy
here	RB	here
?	SENT	?
Certainly	RB	certainly
a	DT	a
special	JJ	special
show	NN	show
here	RB	here
,	,	,
TED	VBP	ted
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
TED	VBP	ted
is	VBZ	be
one	CD	one
of	IN	of
those	DT	those
places	NNS	place
.	SENT	.
Makes	VBZ	make
me	PP	me
feel	VBP	feel
like	IN	like
I	PP	I
'	POS	'
m	NN	m
somewhere	RB	somewhere
.	SENT	.
And	CC	and
that	WDT	that
means	VBZ	mean
something	NN	something
these	DT	these
days	NNS	day
.	SENT	.
Now	RB	now
,	,	,
people	NNS	people
ask	VBP	ask
me	PP	me
,	,	,
why	WRB	why
start	NN	start
like	IN	like
that	DT	that
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
really	RB	really
have	VBP	have
an	DT	an
answer	NN	answer
,	,	,
but	CC	but
all	RB	all
I	PP	I
can	MD	can
say	VB	say
is	VBZ	be
that	IN	that
I	NP	I
'	POS	'
m	NN	m
really	RB	really
motivated	VBN	motivate
by	IN	by
something	NN	something
called	VBD	call
improvisation	NN	improvisation
.	SENT	.
Many	JJ	many
of	IN	of
you	PP	you
are	VBP	be
familiar	JJ	familiar
with	IN	with
improvisation	NN	improvisation
because	IN	because
you	PP	you
'	POS	'
ve	NN	ve
heard	VBD	hear
the	DT	the
word	NN	word
,	,	,
and	CC	and
sometimes	RB	sometimes
--	:	--
sometimes	RB	sometimes
,	,	,
that	IN	that
'	POS	'
s	NN	S
enough	RB	enough
.	SENT	.
But	CC	but
what	WP	what
is	VBZ	be
it	PP	it
,	,	,
really	RB	really
?	SENT	?
Improvisation	NN	improvisation
?	SENT	?
Why	WRB	why
am	VBP	be
I	PP	I
speaking	VBG	speak
like	IN	like
this	DT	this
?	SENT	?
How	WRB	how
do	VBP	do
I	PP	I
really	RB	really
sound	JJ	sound
?	SENT	?
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
But	CC	but
I	PP	I
try	VBP	try
,	,	,
as	RB	as
much	RB	much
as	IN	as
I	PP	I
can	MD	can
,	,	,
to	TO	to
be	VB	be
as	RB	as
truthful	JJ	truthful
about	IN	about
who	WP	who
I	PP	I
am	VBP	be
in	IN	in
the	DT	the
moment	NN	moment
,	,	,
even	RB	even
if	IN	if
I	PP	I
'	POS	'
m	NN	m
using	VBG	use
different	JJ	different
voices	NNS	voice
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
there	EX	there
are	VBP	be
times	NNS	time
when	WRB	when
some	DT	some
of	IN	of
us	PP	us
are	VBP	be
wondering	VBG	wonder
what	WP	what
is	VBZ	be
truth	NN	truth
and	CC	and
what	WP	what
isn	NN	isn
'	POS	'
t	NN	t
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
quick	JJ	quick
summary	NN	summary
.	SENT	.
Truth	NN	truth
is	VBZ	be
the	DT	the
intersection	NN	intersection
of	IN	of
two	CD	two
different	JJ	different
things	NNS	thing
that	WDT	that
are	VBP	be
constantly	RB	constantly
colliding	VBG	collide
for	IN	for
no	DT	no
other	JJ	other
reason	NN	reason
than	IN	than
the	DT	the
fact	NN	fact
that	IN	that
they	PP	they
need	VBP	need
to	TO	to
collide	VB	collide
in	IN	in
a	DT	a
moment	NN	moment
of	IN	of
perception	NN	perception
.	SENT	.
Why	WRB	why
does	VBZ	do
perception	NN	perception
come	VBN	come
into	IN	into
it	PP	it
?	SENT	?
Because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
super	JJ	super
cool	NN	cool
,	,	,
and	CC	and
no	DT	no
one	CD	one
loves	VBZ	love
perception	NN	perception
more	RBR	more
than	IN	than
people	NNS	people
who	WP	who
are	VBP	be
conscious	JJ	conscious
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
dealing	VBG	deal
with	IN	with
improvisation	NN	improvisation
all	DT	all
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
hard	RB	hard
for	IN	for
me	PP	me
to	TO	to
write	VB	write
things	NNS	thing
down	RB	down
.	SENT	.
TED	VBP	ted
was	VBD	be
so	RB	so
gracious	JJ	gracious
to	TO	to
allow	VB	allow
me	PP	me
to	TO	to
come	VB	come
up	RP	up
here	RB	here
on	IN	on
the	DT	the
stage	NN	stage
,	,	,
when	WRB	when
they	PP	they
keep	VBP	keep
asking	VBG	ask
,	,	,
"	``	"
Can	MD	can
we	PP	we
see	VB	see
that	DT	that
script	NN	script
?	SENT	?
"	``	"
And	CC	and
I	PP	I
