file	fac1	fac2	fac3	fac4	fac5	fac6
t000000	2	5	0	-3	1	3
t000001	0	0	2	0	0	0
t000002	0	1	71	-9	0	0
t000003	0	3	3	-1	2	-2
t000004	0	0	7	0	1	0
t000005	1	9	2	-1	3	-1
t000006	0	1	2	0	1	0
t000007	1	1	0	2	0	0
t000008	0	1	3	0	0	0
t000009	0	15	1	-1	1	0
t000010	5	4	6	-3	1	0
t000011	0	3	0	0	0	-1
t000012	1	4	0	0	0	0
t000013	1	11	1	-1	1	0
t000014	0	1	9	-12	0	0
t000015	0	9	2	-2	1	0
t000016	0	1	11	-1	1	0
t000017	1	3	0	0	0	0
t000018	0	1	9	0	0	0
t000019	2	12	6	-1	0	0
t000020	1	2	0	-1	2	17
t000021	1	6	1	-1	0	0
t000022	0	10	1	0	0	0
t000023	0	13	1	-1	0	-4
t000024	0	1	2	-1	0	0
t000025	2	4	1	-1	0	1
t000026	0	3	26	-1	0	0
t000027	0	6	0	0	0	0
t000028	0	7	3	2	0	0
t000029	0	2	0	0	0	0
t000030	0	20	0	0	0	4
t000031	0	1	11	-2	0	0
t000032	0	2	10	-4	1	-7
t000033	0	8	1	1	0	0
t000034	1	11	1	-1	0	-1
t000035	3	15	1	0	1	2
t000036	1	0	3	-5	0	2
t000037	1	7	3	0	0	0
t000038	1	5	3	-1	1	0
t000039	1	10	0	0	0	0
t000040	0	3	0	0	0	0
t000041	0	2	0	0	0	9
t000042	0	3	1	0	0	-1
t000043	0	8	7	-3	0	0
t000044	0	7	1	0	0	0
t000045	0	10	0	-2	2	6
t000046	0	3	0	0	0	1
t000047	0	1	1	0	1	0
t000048	0	0	4	0	1	0
t000049	0	4	0	0	2	0
t000050	0	4	0	0	0	-1
t000051	0	3	0	-1	0	0
t000052	0	5	1	-2	0	-3
t000053	0	0	0	0	4	0
t000054	0	1	1	0	11	0
t000055	0	5	10	-7	0	0
t000056	0	2	1	0	0	0
t000057	0	0	0	0	0	0
t000058	0	2	2	0	0	0
t000059	0	1	1	0	0	0
t000060	1	0	-1	0	0	0
t000061	0	0	2	0	0	0
t000062	0	5	1	-1	0	0
t000063	0	15	0	0	0	-2
t000064	0	2	4	-3	1	-2
t000065	3	9	5	-1	0	0
t000066	13	4	4	-1	0	0
t000067	1	0	1	0	0	0
t000068	1	1	0	0	0	0
t000069	0	18	1	-3	1	0
t000070	1	0	5	-10	0	0
t000071	0	2	5	-3	0	-3
t000072	0	0	3	0	2	0
t000073	0	1	0	0	0	0
t000074	-1	3	4	-8	0	-30
