_NAME_	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	load	secondary
v000016	1.0787646684	-0.464961067	-0.212186573	0.0029897944	-0.015966196	0.0330104813	fac2	1
v000017	-0.047438281	0.3330727484	0.1794450262	-0.291781656	0.4634796126	0.2250787988	fac2	1
v000019	0.0646227963	0.0436945732	0.4083947534	0.0204075399	-0.223068361	0.6106183328	fac3	1
v000024	-0.088332981	-0.508712487	-0.491314718	-0.157682811	-0.091479368	-0.094699151	fac3	1
v000028	-0.087523273	0.1470375282	0.168040952	-0.093701981	-0.472649464	0.3536764464	fac6	1
v000034	-0.236357335	0.2407521048	0.080141479	-0.051807294	-0.012980119	-0.066524222		
v000037	-0.344897607	-0.272602791	0.2809339674	-0.545442752	-0.006247189	-0.226742241	fac1	1
v000039	-0.128130974	-0.134296457	-0.311122468	0.180917531	-0.022647547	0.0549099948		
v000042	-0.244808613	-0.011073815	-0.11945551	-0.251672759	-0.057109173	-0.314433552		
v000046	0.2075624234	0.2517792697	0.0998700547	-0.330329255	-0.095195306	-0.404990814	fac4	1
v000048	-0.087848266	-0.356687732	-0.356322536	0.0254319349	-0.141692196	0.3303483351	fac3	1
v000049	-0.191281798	0.3341028123	0.0413423144	-0.370663435	-0.167663653	0.8004906712	fac4	1
v000050	-0.208234328	0.6609536789	-0.001198779	0.0227208135	-0.098615091	0.1683742603		
v000055	-0.147641567	0.0358626925	0.0901483609	0.2675593555	-0.005477907	0.2565091727		
v000063	-0.418170613	-0.326682519	0.6181556676	-0.464991248	0.171355424	-0.006701411	fac4	1
v000065	-0.123010555	-0.177781475	-0.492546589	0.1430221901	-0.050523973	0.0877851423		
v000069	-0.305716744	-0.337918632	0.1775791675	-0.23096185	-0.164037376	0.0485154829	fac1	1
v000072	-0.121213768	-0.066106607	-0.147755774	0.1091667612	-0.175390678	0.266097399		
v000074	-0.264487147	0.0456893458	0.5772146107	-0.258879493	-0.157203728	0.0058092178		
v000076	-0.155979467	-0.383021043	0.1466497417	-0.075385488	0.1116241574	0.229656848		
v000077	-0.317203606	-0.526448863	0.4813807163	-0.31310257	0.0056540806	-0.298107731	fac3	1
v000083	0.1959552698	-0.050536168	0.3650401587	-0.332158707	0.1927698242	-0.137864915	fac4	1
v000084	0.1414633842	0.3436807503	0.1860124972	-0.183433184	-0.049097066	0.0031453096		
v000090	-0.188283395	-0.262074704	0.2699142166	0.1640904201	-0.168455469	0.0066598936		
v000092	-0.097951344	-0.868733011	0.3409005539	-0.105592821	0.1487038795	0.3802991472	fac6	1
v000096	-0.158482867	0.4059241811	-0.202531666	-0.106041378	0.5380666226	-0.184580872	fac2	1
v000097	-0.103489828	-0.089455022	-0.49827627	-0.129120785	0.0252735412	-0.1440617		
v000098	-0.106252889	0.6971857801	-0.280907881	-0.133278027	-0.078462265	0.0492969776		
v000099	-0.217008945	0.4293297257	0.2560405289	0.1431147271	0.104161392	0.0058090309		
v000101	-0.060302112	-0.223813646	0.3259646039	0.2772590756	-0.216074118	-0.089456966		
v000106	-0.120161584	-0.009883666	-0.254021072	1.0805412941	0.0186477153	-0.002632217		
v000108	-0.162454517	0.4415291569	0.1062729576	-0.190345427	-0.025135787	-0.030327926		
v000111	-0.016835206	-0.501601041	-0.195064764	0.0198803214	0.0599713129	0.0154931244		
v000116	-0.056487015	-0.076392106	-0.509911808	0.0514878825	-0.091432892	0.0509176537		
v000117	-0.134888211	0.1252145864	-0.000634268	-0.141299834	0.1194577506	-0.222002031		
v000118	-0.157219368	0.211537841	0.1182040876	-0.035363164	0.0076100243	0.0711519219		
