Hello	UH	hello
,	,	,
my	PP$	my
name	NN	name
is	VBZ	be
Dessa	NP	<unknown>
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
a	DT	a
member	NN	member
of	IN	of
a	DT	a
hip-hop	NN	<unknown>
collective	NN	collective
called	VBN	call
Doomtree	NP	<unknown>
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
the	DT	the
one	CD	one
in	IN	in
the	DT	the
tank	NN	tank
top	NN	top
.	SENT	.
And	CC	and
I	PP	I
make	VBP	make
my	PP$	my
living	NN	living
as	IN	as
a	DT	a
performing	NN	performing
,	,	,
touring	VBG	tour
rapper	NN	rapper
and	CC	and
singer	NN	singer
.	SENT	.
When	WRB	when
we	PP	we
perform	VBP	perform
as	IN	as
a	DT	a
collective	JJ	collective
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
our	PP$	our
shows	NNS	show
look	VBP	look
like	IN	like
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
the	DT	the
one	CD	one
in	IN	in
the	DT	the
boots	NNS	boot
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
jumping	VBG	jump
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
sweating	VBG	sweat
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
loud	RB	loud
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
very	JJ	very
high-energy	NN	high-energy
.	SENT	.
Sometimes	RB	sometimes
there	EX	there
are	VBP	be
unintentional	JJ	unintentional
body	NN	body
checks	NNS	check
onstage	NN	onstage
.	SENT	.
Sometimes	RB	sometimes
there	EX	there
are	VBP	be
completely	RB	completely
intentional	JJ	intentional
body	NN	body
checks	NNS	check
onstage	NN	onstage
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
a	DT	a
hybrid	NN	hybrid
between	IN	between
an	DT	an
intramural	JJ	intramural
hockey	NN	hockey
game	NN	game
and	CC	and
a	DT	a
concert	NN	concert
.	SENT	.
However	RB	however
,	,	,
when	WRB	when
I	PP	I
perform	VBP	perform
my	PP$	my
own	JJ	own
music	NN	music
as	IN	as
a	DT	a
solo	JJ	solo
artist	NN	artist
,	,	,
I	PP	I
tend	VBP	tend
to	TO	to
gravitate	VB	gravitate
towards	IN	towards
more	JJR	more
melancholy	JJ	melancholy
sounds	NNS	sound
.	SENT	.
A	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
gave	VBD	give
my	PP$	my
mom	NN	mom
the	DT	the
rough	JJ	rough
mixes	NNS	mix
of	IN	of
a	DT	a
new	JJ	new
album	NN	album
,	,	,
and	CC	and
she	PP	she
said	VBD	say
,	,	,
"	``	"
Baby	NP	Baby
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
beautiful	JJ	beautiful
,	,	,
but	CC	but
why	WRB	why
is	VBZ	be
it	PP	it
always	RB	always
so	RB	so
sad	JJ	sad
?	SENT	?
"	''	"
"	``	"
You	PP	you
always	RB	always
make	VBP	make
music	NN	music
to	TO	to
bleed	VB	bleed
out	RP	out
to	TO	to
.	SENT	.
"	``	"
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Who	WP	who
are	VBP	be
you	PP	you
hanging	VBG	hang
out	RP	out
with	IN	with
that	WDT	that
you	PP	you
know	VBP	know
that	DT	that
phrase	NN	phrase
?	SENT	?
"	''	"
But	CC	but
over	IN	over
the	DT	the
course	NN	course
of	IN	of
my	PP$	my
career	NN	career
,	,	,
I	PP	I
'	POS	'
ve	NNS	<unknown>
written	VBN	write
so	IN	so
many	JJ	many
sad	JJ	sad
love	NN	love
songs	NNS	song
that	IN	that
I	PP	I
got	VBD	get
messages	NNS	message
like	IN	like
this	DT	this
from	IN	from
fans	NNS	fan
:	:	:
"	``	"
Release	VB	release
new	JJ	new
music	NN	music
or	CC	or
a	DT	a
book	NN	book
.	SENT	.
I	PP	I
need	MD	need
help	VB	help
with	IN	with
my	PP$	my
breakup	NN	breakup
.	SENT	.
"	''	"
And	CC	and
after	IN	after
performing	VBG	perform
and	CC	and
recording	VBG	record
and	CC	and
touring	VBG	tour
those	DT	those
songs	NNS	song
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
I	PP	I
found	VBD	find
myself	PP	myself
in	IN	in
a	DT	a
position	NN	position
in	IN	in
which	WDT	which
my	PP$	my
professional	JJ	professional
niche	NN	niche
was	VBD	be
essentially	RB	essentially
romantic	JJ	romantic
devastation	NN	devastation
.	SENT	.
What	WP	what
I	PP	I
hadn	NN	<unknown>
'	POS	'
t	NN	t
been	VBN	be
public	JJ	public
about	RB	about
,	,	,
however	RB	however
,	,	,
was	VBD	be
the	DT	the
fact	NN	fact
that	IN	that
most	JJS	most
of	IN	of
these	DT	these
songs	NNS	song
had	VBD	have
been	VBN	be
