Hey	UH	hey
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
question	NN	question
.	SENT	.
Can	MD	can
you	PP	you
come	VB	come
out	RP	out
and	CC	and
play	VB	play
?	SENT	?
Does	VBZ	do
that	DT	that
sound	NN	sound
like	IN	like
fun	NN	fun
,	,	,
like	IN	like
exciting	JJ	exciting
,	,	,
maybe	RB	maybe
there	RB	there
'	''	'
s	VBG	<unknown>
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
adventure	NN	adventure
.	SENT	.
Does	VBZ	do
that	RB	that
bring	VB	bring
back	RB	back
some	DT	some
memories	NNS	memory
for	IN	for
you	PP	you
?	SENT	?
I	PP	I
sure	RB	sure
hope	VBP	hope
it	PP	it
does	VBZ	do
.	SENT	.
I	PP	I
know	VBP	know
it	PP	it
does	VBZ	do
for	IN	for
me	PP	me
.	SENT	.
Now	RB	now
I	PP	I
am	VBP	be
a	DT	a
toy	JJ	toy
historian	NN	historian
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
probably	RB	probably
never	RB	never
met	VBN	meet
one	CD	one
before	IN	before
because	IN	because
there	RB	there
aren	NNS	<unknown>
'	POS	'
t	NN	t
that	IN	that
many	JJ	many
of	IN	of
us	PP	us
.	SENT	.
The	DT	the
toy	JJ	toy
industry	NN	industry
doesn	NN	<unknown>
'	POS	'
t	NN	t
pay	NN	pay
much	JJ	much
attention	NN	attention
to	TO	to
history	NN	history
,	,	,
and	CC	and
the	DT	the
industry	NN	industry
is	VBZ	be
all	DT	all
about	IN	about
what	WP	what
'	POS	'
s	JJ	<unknown>
selling	NN	selling
today	NN	today
.	SENT	.
So	RB	so
over	IN	over
the	DT	the
past	NN	past
nearly	RB	nearly
40	CD	@card@
years	NNS	year
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
had	VBD	have
the	DT	the
opportunity	NN	opportunity
to	TO	to
play	VB	play
with	IN	with
kids	NNS	kid
in	IN	in
many	JJ	many
different	JJ	different
ways	NNS	way
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
learned	VBD	learn
one	CD	one
thing	NN	thing
:	:	:
that	DT	that
toys	NNS	toy
don	NN	don
'	POS	'
t	NN	t
change	NN	change
.	SENT	.
But	CC	but
I	PP	I
love	VBP	love
toy	JJ	toy
history	NN	history
because	IN	because
I	PP	I
think	VBP	think
that	IN	that
when	WRB	when
we	PP	we
look	VBP	look
back	RB	back
,	,	,
we	PP	we
can	MD	can
see	VB	see
a	DT	a
clear	JJ	clear
view	NN	view
of	IN	of
our	PP$	our
culture	NN	culture
and	CC	and
our	PP$	our
values	NNS	value
at	IN	at
a	DT	a
specific	JJ	specific
point	NN	point
in	IN	in
time	NN	time
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
than	IN	than
just	RB	just
what	WP	what
was	VBD	be
fun	NN	fun
,	,	,
because	IN	because
toys	NNS	toy
really	RB	really
help	VBP	help
prepare	VB	prepare
kids	NNS	kid
to	TO	to
enter	VB	enter
a	DT	a
culture	NN	culture
as	IN	as
adults	NNS	adult
at	IN	at
a	DT	a
specific	JJ	specific
time	NN	time
.	SENT	.
And	CC	and
it	PP	it
all	RB	all
begins	VBZ	begin
with	IN	with
one	CD	one
question	NN	question
.	SENT	.
It	PP	it
starts	VBZ	start
in	IN	in
the	DT	the
imagination	NN	imagination
when	WRB	when
we	PP	we
say	VBP	say
,	,	,
"	``	"
What	WP	what
if	IN	if
?	SENT	?
"	''	"
Right	RB	right
?	SENT	?
So	RB	so
I	PP	I
mentioned	VBD	mention
that	IN	that
the	DT	the
role	NN	role
of	IN	of
play	NN	play
doesn	NN	<unknown>
'	POS	'
t	NN	t
change	NN	change
.	SENT	.
The	DT	the
toys	NNS	toy
,	,	,
however	RB	however
,	,	,
do	VBP	do
.	SENT	.
Widely	RB	widely
popular	JJ	popular
toys	NNS	toy
are	VBP	be
sometimes	RB	sometimes
the	DT	the
first	JJ	first
shared	JJ	shared
cultural	JJ	cultural
experience	NN	experience
many	JJ	many
children	NNS	child
ever	RB	ever
have	VBP	have
,	,	,
and	CC	and
they	PP	they
can	MD	can
become	VB	become
cultural	JJ	cultural
events	NNS	event
as	IN	as
well	RB	well
.	SENT	.
Think	VB	think
back	RB	back
of	IN	of
the	DT	the
fads	NNS	fad
of	IN	of
the	DT	the
past	JJ	past
decades	NNS	decade
.	SENT	.
We	PP	we
had	VBD	have
Rubik	NP	Rubik
'	POS	'
s	NN	S
Cube	NN	cube
,	,	,
we	PP	we
had	VBD	have
Cabbage	NP	Cabbage
Patch	NP	Patch
,	,	,
Zhu	NP	Zhu
Zhu	NP	Zhu
Pets	NNS	pet
,	,	,
Pet	NP	Pet
Rock	NP	Rock
,	,	,
right	RB	right
?	SENT	?
And	CC	and
now	RB	now
we	PP	we
'	POS	'
re	NN	re
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
Squishmallows	NP	<unknown>
.	SENT	.
But	CC	but
I	PP	I
truly	RB	truly
think	VBP	think
that	IN	that
when	WRB	when
we	PP	we
look	VBP	look
back	RB	back
at	IN	at
what	WP	what
we	PP	we
loved	VBD	love
,	,	,
we	PP	we
can	MD	can
see	VB	see
the	DT	the
seeds	NNS	seed
of	IN	of
who	WP	who
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
become	VB	become
,	,	,
personally	RB	personally
and	CC	and
professionally	RB	professionally
.	SENT	.
Now	RB	now
I	PP	I
grant	VBP	grant
you	PP	you
,	,	,
this	DT	this
is	VBZ	be
much	RB	much
more	RBR	more
an	DT	an
art	NN	art
than	IN	than
a	DT	a
science	NN	science
,	,	,
but	CC	but
I	PP	I
believe	VBP	believe
that	IN	that
each	DT	each
of	IN	of
us	PP	us
has	VBZ	have
an	DT	an
inherent	JJ	inherent
play	NN	play
style	NN	style
that	RB	that
'	POS	'
s	NN	S
as	IN	as
unique	JJ	unique
as	IN	as
our	PP$	our
