[	SYM	[
This	DT	this
talk	NN	talk
contains	VBZ	contain
mature	JJ	mature
content	NN	content
]	SYM	]
I	PP	I
have	VBP	have
a	DT	a
vagina	NN	vagina
.	SENT	.
Just	RB	just
thought	VBD	think
you	PP	you
should	MD	should
know	VB	know
.	SENT	.
That	DT	that
might	MD	might
not	RB	not
come	VB	come
as	IN	as
a	DT	a
surprise	NN	surprise
to	TO	to
some	DT	some
of	IN	of
you	PP	you
.	SENT	.
I	PP	I
look	VBP	look
like	IN	like
a	DT	a
woman	NN	woman
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
dressed	VBN	dress
like	IN	like
one	CD	one
,	,	,
I	PP	I
guess	VBP	guess
.	SENT	.
The	DT	the
thing	NN	thing
is	VBZ	be
,	,	,
I	PP	I
also	RB	also
have	VBP	have
balls	NNS	ball
.	SENT	.
And	CC	and
it	PP	it
does	VBZ	do
take	VB	take
a	DT	a
lot	NN	lot
of	IN	of
nerve	NN	nerve
to	TO	to
come	VB	come
up	RP	up
here	RB	here
and	CC	and
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
my	PP$	my
genitalia	NN	genitalia
.	SENT	.
Just	RB	just
a	DT	a
little	JJ	little
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
not	RB	not
talking	VBG	talk
about	IN	about
bravery	NN	bravery
or	CC	or
courage	NN	courage
.	SENT	.
I	PP	I
mean	VBP	mean
literally	RB	literally
—	:	-
I	PP	I
have	VBP	have
balls	NNS	ball
.	SENT	.
Right	RB	right
here	RB	here
,	,	,
right	RB	right
where	WRB	where
a	DT	a
lot	NN	lot
of	IN	of
you	PP	you
have	VBP	have
ovaries	NNS	ovary
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
male	JJ	male
or	CC	or
female	JJ	female
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
intersex	NN	intersex
.	SENT	.
Most	JJS	most
people	NNS	people
assume	VBP	assume
that	IN	that
you	PP	you
'	POS	'
re	NN	re
biologically	RB	biologically
either	CC	either
a	DT	a
man	NN	man
or	CC	or
a	DT	a
woman	NN	woman
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
lot	NN	lot
more	RBR	more
complex	JJ	complex
than	IN	than
that	DT	that
.	SENT	.
There	EX	there
are	VBP	be
so	RB	so
many	JJ	many
ways	NNS	way
somebody	NN	somebody
could	MD	could
be	VB	be
intersex	NN	intersex
.	SENT	.
In	IN	in
my	PP$	my
case	NN	case
,	,	,
it	PP	it
means	VBZ	mean
I	PP	I
was	VBD	be
born	VBN	bear
with	IN	with
XY	JJ	<unknown>
chromosomes	NNS	chromosome
,	,	,
which	WDT	which
you	PP	you
probably	RB	probably
know	VBP	know
as	IN	as
male	JJ	male
chromosomes	NNS	chromosome
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
born	VBN	bear
with	IN	with
a	DT	a
vagina	NN	vagina
and	CC	and
balls	NNS	ball
inside	IN	inside
my	PP$	my
body	NN	body
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
