Imagine	VB	imagine
that	IN	that
you	PP	you
are	VBP	be
a	DT	a
product	NN	product
designer	NN	designer
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
ve	NN	ve
designed	VBD	design
a	DT	a
product	NN	product
,	,	,
a	DT	a
new	JJ	new
type	NN	type
of	IN	of
product	NN	product
,	,	,
called	VBD	call
the	DT	the
human	JJ	human
immune	JJ	immune
system	NN	system
.	SENT	.
You	PP	you
'	''	'
re	IN	re
pitching	VBG	pitch
this	DT	this
product	NN	product
to	TO	to
a	DT	a
skeptical	JJ	skeptical
,	,	,
strictly	RB	strictly
no-nonsense	JJ	no-nonsense
manager	NN	manager
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
call	VB	call
him	PP	him
Bob	NP	Bob
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
all	DT	all
know	VBP	know
at	IN	at
least	JJS	least
one	CD	one
Bob	NP	Bob
,	,	,
right	RB	right
?	SENT	?
How	WRB	how
would	MD	would
that	RB	that
go	VB	go
?	SENT	?
Bob	NP	Bob
,	,	,
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
this	DT	this
incredible	JJ	incredible
idea	NN	idea
for	IN	for
a	DT	a
completely	RB	completely
new	JJ	new
type	NN	type
of	IN	of
personal	JJ	personal
health	NN	health
product	NN	product
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
the	DT	the
human	JJ	human
immune	JJ	immune
system	NN	system
.	SENT	.
I	PP	I
can	MD	can
see	VB	see
from	IN	from
your	PP$	your
face	NN	face
that	IN	that
you	PP	you
'	''	'
re	IN	re
having	VBG	have
some	DT	some
problems	NNS	problem
with	IN	with
this	DT	this
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
worry	NN	worry
.	SENT	.
I	PP	I
know	VBP	know
it	PP	it
'	''	'
s	NNS	<unknown>
very	RB	very
complicated	VBN	complicate
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
take	VB	take
you	PP	you
through	IN	through
the	DT	the
gory	JJ	gory
details	NNS	detail
,	,	,
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
some	DT	some
of	IN	of
the	DT	the
amazing	JJ	amazing
features	NNS	feature
of	IN	of
this	DT	this
product	NN	product
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
it	PP	it
cleverly	RB	cleverly
uses	VBZ	use
redundancy	NN	redundancy
by	IN	by
having	VBG	have
millions	NNS	million
of	IN	of
copies	NNS	copy
of	IN	of
