Whitney	NP	Whitney
Pennington	NP	Pennington
Rodgers	NP	Rodgers
:	:	:
Thank	VB	thank
you	PP	you
for	IN	for
being	VBG	be
here	RB	here
with	IN	with
us	PP	us
,	,	,
Raja	NP	Raja
.	SENT	.
Raja	NP	Raja
Rajamannar	NP	Rajamannar
:	:	:
Delighted	VBN	delight
to	TO	to
be	VB	be
here	RB	here
.	SENT	.
WPR	NN	WPR
:	:	:
You	PP	you
are	VBP	be
the	DT	the
chief	JJ	chief
marketing	NN	marketing
officer	NN	officer
for	IN	for
Mastercard	NP	Mastercard
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
fintech	NN	<unknown>
company	NN	company
,	,	,
as	IN	as
we	PP	we
all	RB	all
know	VBP	know
.	SENT	.
But	CC	but
the	DT	the
way	NN	way
that	IN	that
you	PP	you
and	CC	and
your	PP$	your
team	NN	team
positioned	VBN	position
Mastercard	NP	Mastercard
out	IN	out
in	IN	in
the	DT	the
world	NN	world
is	VBZ	be
far	RB	far
different	JJ	different
from	IN	from
what	WP	what
I	PP	I
think	VBP	think
anyone	NN	anyone
would	MD	would
expect	VB	expect
from	IN	from
a	DT	a
fintech	NN	<unknown>
company	NN	company
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
way	NN	way
it	PP	it
looks	VBZ	look
and	CC	and
the	DT	the
things	NNS	thing
you	PP	you
care	VBP	care
about	RB	about
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
a	DT	a
lot	NN	lot
of	IN	of
this	DT	this
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
your	PP$	your
philosophy	NN	philosophy
around	IN	around
marketing	NN	marketing
.	SENT	.
And	CC	and
so	RB	so
would	MD	would
you	PP	you
share	VB	share
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
to	TO	to
start	VB	start
,	,	,
about	IN	about
the	DT	the
way	NN	way
you	PP	you
approach	VBP	approach
marketing	NN	marketing
,	,	,
the	DT	the
way	NN	way
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
?	SENT	?
RR	NP	RR
:	:	:
So	RB	so
when	WRB	when
I	PP	I
look	VBP	look
at	IN	at
marketing	NN	marketing
,	,	,
why	WRB	why
does	VBZ	do
it	PP	it
even	RB	even
exist	VBP	exist
in	IN	in
companies	NNS	company
?	SENT	?
So	RB	so
there	EX	there
are	VBP	be
three	CD	three
reasons	NNS	reason
.	SENT	.
Number	NN	number
one	CD	one
,	,	,
it	PP	it
is	VBZ	be
the	DT	the
manifestation	NN	manifestation
of	IN	of
everything	NN	everything
that	IN	that
the	DT	the
company	NN	company
stands	VBZ	stand
for	IN	for
,	,	,
its	PP$	its
values	NNS	value
,	,	,
which	WDT	which
all	RB	all
get	VBP	get
embodied	VBN	embody
in	IN	in
the	DT	the
brand	NN	brand
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
about	IN	about
brand-building	NN	brand-building
,	,	,
nurturing	VBG	nurture
the	DT	the
brand	NN	brand
,	,	,
protecting	VBG	protect
the	DT	the
brand	NN	brand
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
one	CD	one
.	SENT	.
Second	RB	second
,	,	,
to	TO	to
advance	VB	advance
the	DT	the
business	NN	business
,	,	,
because	IN	because
we	PP	we
are	VBP	be
not	RB	not
,	,	,
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
,	,	,
just	RB	just
the	DT	the
creative	JJ	creative
function	NN	function
that	WDT	that
makes	VBZ	make
the	DT	the
brand	NN	brand
look	NN	look
good	JJ	good
.	SENT	.
It	PP	it
has	VBZ	have
to	TO	to
make	VB	make
a	DT	a
difference	NN	difference
to	TO	to
the	DT	the
business	NN	business
,	,	,
that	WDT	that
'	POS	'
s	NN	S
number	NN	number
two	CD	two
.	SENT	.
And	CC	and
third	JJ	third
,	,	,
with	IN	with
all	PDT	all
this	DT	this
intense	JJ	intense
competition	NN	competition
that	WDT	that
is	VBZ	be
so	RB	so
widely	RB	widely
prevailing	JJ	prevailing
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
establish	VB	establish
platforms	NNS	platform
that	WDT	that
will	MD	will
differentiate	VB	differentiate
your	PP$	your
brand	NN	brand
,	,	,
differentiate	VB	differentiate
your	PP$	your
company	NN	company
and	CC	and
keep	VB	keep
it	PP	it
ahead	RB	ahead
of	IN	of
the	DT	the
