Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Please	UH	please
excuse	VB	excuse
me	PP	me
for	IN	for
sitting	VBG	sit
;	:	;
I	PP	I
'	POS	'
m	NN	m
very	RB	very
old	JJ	old
.	SENT	.
Well	RB	well
,	,	,
the	DT	the
topic	NN	topic
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
discuss	VB	discuss
is	VBZ	be
one	CD	one
which	WDT	which
is	VBZ	be
,	,	,
in	IN	in
a	DT	a
certain	JJ	certain
sense	NN	sense
,	,	,
very	RB	very
peculiar	JJ	peculiar
because	IN	because
it	PP	it
'	POS	'
s	NN	S
very	RB	very
old	JJ	old
.	SENT	.
Roughness	NN	roughness
is	VBZ	be
part	NN	part
of	IN	of
human	JJ	human
life	NN	life
forever	RB	forever
and	CC	and
forever	RB	forever
,	,	,
and	CC	and
ancient	JJ	ancient
authors	NNS	author
have	VBP	have
written	VBN	write
about	IN	about
it	PP	it
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
much	RB	much
uncontrollable	JJ	uncontrollable
,	,	,
and	CC	and
in	IN	in
a	DT	a
certain	JJ	certain
sense	NN	sense
,	,	,
it	PP	it
seemed	VBD	seem
to	TO	to
be	VB	be
the	DT	the
extreme	NN	extreme
of	IN	of
complexity	NN	complexity
,	,	,
just	RB	just
a	DT	a
mess	NN	mess
,	,	,
a	DT	a
mess	NN	mess
and	CC	and
a	DT	a
mess	NN	mess
.	SENT	.
There	EX	there
are	VBP	be
many	JJ	many
different	JJ	different
kinds	NNS	kind
of	IN	of
mess	NN	mess
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
fact	NN	fact
,	,	,
by	IN	by
a	DT	a
complete	JJ	complete
fluke	NN	fluke
,	,	,
I	PP	I
got	VBD	get
involved	JJ	involved
many	JJ	many
years	NNS	year
ago	RB	ago
in	IN	in
a	DT	a
study	NN	study
of	IN	of
this	DT	this
form	NN	form
of	IN	of
complexity	NN	complexity
,	,	,
and	CC	and
to	TO	to
my	PP$	my
utter	JJ	utter
amazement	NN	amazement
,	,	,
I	PP	I
found	VBD	find
traces	NNS	trace
—	:	-
very	RB	very
strong	JJ	strong
traces	NNS	trace
,	,	,
I	PP	I
must	MD	must
say	VB	say
—	:	-
of	IN	of
order	NN	order
in	IN	in
that	DT	that
roughness	NN	roughness
.	SENT	.
And	CC	and
so	IN	so
today	NN	today
,	,	,
I	PP	I
would	MD	would
like	VB	like
to	TO	to
present	VB	present
to	TO	to
you	PP	you
a	DT	a
few	JJ	few
examples	NNS	example
of	IN	of
what	WP	what
this	DT	this
represents	VBZ	represent
.	SENT	.
I	PP	I
prefer	VBP	prefer
the	DT	the
word	NN	word
roughness	NN	roughness
to	TO	to
the	DT	the
word	NN	word
irregularity	NN	irregularity
because	IN	because
irregularity	NN	irregularity
—	:	-
to	TO	to
someone	NN	someone
who	WP	who
had	VBD	have
Latin	JJ	Latin
in	IN	in
my	PP$	my
long-past	JJ	long-past
youth	NN	youth
—	:	-
means	VBZ	mean
the	DT	the
contrary	NN	contrary
of	IN	of
regularity	NN	regularity
.	SENT	.
But	CC	but
it	PP	it
is	VBZ	be
not	RB	not
so	RB	so
.	SENT	.
Regularity	NN	regularity
is	VBZ	be
the	DT	the
contrary	NN	contrary
of	IN	of
roughness	NN	roughness
because	IN	because
the	DT	the
basic	JJ	basic
aspect	NN	aspect
of	IN	of
the	DT	the
world	NN	world
is	VBZ	be
very	RB	very
rough	JJ	rough
.	SENT	.
So	RB	so
let	VB	let
me	PP	me
show	VB	show
you	PP	you
a	DT	a
few	JJ	few
objects	NNS	object
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
are	VBP	be
artificial	JJ	artificial
.	SENT	.
Others	NNS	other
of	IN	of
them	PP	them
are	VBP	be
very	RB	very
real	JJ	real
,	,	,
in	IN	in
a	DT	a
certain	JJ	certain
sense	NN	sense
.	SENT	.
Now	RB	now
this	DT	this
is	VBZ	be
the	DT	the
real	JJ	real
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
cauliflower	NN	cauliflower
.	SENT	.
Now	RB	now
why	WRB	why
do	VBP	do
I	PP	I
show	VBP	show
a	DT	a
cauliflower	NN	cauliflower
,	,	,
a	DT	a
very	RB	very
ordinary	JJ	ordinary
and	CC	and
ancient	JJ	ancient
vegetable	NN	vegetable
?	SENT	?
Because	IN	because
old	JJ	old
and	CC	and
ancient	JJ	ancient
as	IN	as
it	PP	it
may	MD	may
be	VB	be
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
complicated	VBN	complicate
and	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
simple	JJ	simple
,	,	,
both	CC	both
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
If	IN	if
you	PP	you
try	VBP	try
to	TO	to
weigh	VB	weigh
it	PP	it
—	:	-
of	IN	of
course	NN	course
it	PP	it
'	POS	'
s	NN	S
very	RB	very
easy	JJ	easy
to	TO	to
weigh	VB	weigh
it	PP	it
,	,	,
and	CC	and
when	WRB	when
you	PP	you
eat	VBP	eat
it	PP	it
,	,	,
the	DT	the
weight	NN	weight
matters	NNS	matter
—	:	-
but	CC	but
suppose	VBP	suppose
you	PP	you
try	VBP	try
to	TO	to
measure	VB	measure
its	PP$	its
surface	NN	surface
.	SENT	.
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
interesting	JJ	interesting
.	SENT	.
If	IN	if
you	PP	you
cut	VBD	cut
,	,	,
with	IN	with
a	DT	a
sharp	JJ	sharp
knife	NN	knife
,	,	,
one	CD	one
of	IN	of
the	DT	the
florets	NNS	floret
of	IN	of
a	DT	a
cauliflower	NN	cauliflower
and	CC	and
look	VB	look
at	IN	at
it	PP	it
separately	RB	separately
,	,	,
you	PP	you
think	VBP	think
of	IN	of
a	DT	a
whole	JJ	whole
cauliflower	NN	cauliflower
,	,	,
but	CC	but
smaller	JJR	small
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
cut	VBD	cut
again	RB	again
,	,	,
again	RB	again
,	,	,
again	RB	again
,	,	,
again	RB	again
,	,	,
again	RB	again
,	,	,
again	RB	again
,	,	,
again	RB	again
,	,	,
again	RB	again
,	,	,
again	RB	again
,	,	,
and	CC	and
you	PP	you
still	RB	still
get	VBP	get
small	JJ	small
cauliflowers	NNS	cauliflower
.	SENT	.
So	IN	so
the	DT	the
experience	NN	experience
of	IN	of
humanity	NN	humanity
has	VBZ	have
always	RB	always
been	VBN	be
that	IN	that
there	EX	there
are	VBP	be
some	DT	some
shapes	NNS	shape
which	WDT	which
have	VBP	have
this	DT	this
peculiar	JJ	peculiar
property	NN	property
,	,	,
that	IN	that
each	DT	each
part	NN	part
is	VBZ	be
like	IN	like
the	DT	the
whole	NN	whole
,	,	,
but	CC	but
smaller	JJR	small
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
did	VBD	do
humanity	NN	humanity
do	VB	do
with	IN	with
that	DT	that
?	SENT	?
Very	RB	very
,	,	,
very	RB	very
little	JJ	little
.	SENT	.
So	RB	so
what	WP	what
I	PP	I
did	VBD	do
actually	RB	actually
is	VBZ	be
to	TO	to
study	VB	study
this	DT	this
problem	NN	problem
,	,	,
and	CC	and
I	PP	I
found	VBD	find
something	NN	something
quite	RB	quite
surprising	JJ	surprising
.	SENT	.
That	IN	that
one	PP	one
can	MD	can
measure	VB	measure
roughness	NN	roughness
by	IN	by
a	DT	a
number	NN	number
,	,	,
a	DT	a
number	NN	number
,	,	,
2	CD	@card@
.	SENT	.
3	CD	@card@
,	,	,
1	CD	@card@
.	SENT	.
2	CD	@card@
and	CC	and
sometimes	RB	sometimes
much	RB	much
more	RBR	more
.	SENT	.
One	CD	one
day	NN	day
,	,	,
a	DT	a
friend	NN	friend
of	IN	of
mine	NN	mine
,	,	,
to	TO	to
bug	VB	bug
me	PP	me
,	,	,
brought	VBD	bring
a	DT	a
picture	NN	picture
and	CC	and
said	VBD	say
,	,	,
"	``	"
What	WP	what
is	VBZ	be
the	DT	the
roughness	NN	roughness
of	IN	of
this	DT	this
curve	NN	curve
?	SENT	?
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
just	RB	just
short	JJ	short
of	IN	of
1	CD	@card@
.	SENT	.
5	LS	5
.	SENT	.
"	``	"
It	PP	it
was	VBD	be
1	CD	@card@
.	SENT	.
48	CD	@card@
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
didn	NNS	<unknown>
'	POS	'
t	NN	t
take	VB	take
me	PP	me
any	DT	any
time	NN	time
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
looking	VBG	look
at	IN	at
these	DT	these
things	NNS	thing
for	IN	for
so	RB	so
long	JJ	long
.	SENT	.
So	IN	so
these	DT	these
numbers	NNS	number
are	VBP	be
the	DT	the
numbers	NNS	number
which	WDT	which
denote	VBP	denote
the	DT	the
roughness	NN	roughness
of	IN	of
these	DT	these
