What	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
first	JJ	first
,	,	,
as	RB	as
quickly	RB	quickly
as	IN	as
I	PP	I
can	MD	can
,	,	,
is	VBZ	be
some	DT	some
foundational	JJ	foundational
work	NN	work
,	,	,
some	DT	some
new	JJ	new
technology	NN	technology
that	IN	that
we	PP	we
brought	VBD	bring
to	TO	to
Microsoft	NP	Microsoft
as	IN	as
part	NN	part
of	IN	of
an	DT	an
acquisition	NN	acquisition
almost	RB	almost
exactly	RB	exactly
a	DT	a
year	NN	year
ago	RB	ago
.	SENT	.
This	DT	this
is	VBZ	be
Seadragon	NP	Seadragon
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
an	DT	an
environment	NN	environment
in	IN	in
which	WDT	which
you	PP	you
can	MD	can
either	RB	either
locally	RB	locally
or	CC	or
remotely	RB	remotely
interact	VB	interact
with	IN	with
vast	JJ	vast
amounts	NNS	amount
of	IN	of
visual	JJ	visual
data	NNS	datum
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
many	JJ	many
,	,	,
many	JJ	many
gigabytes	NNS	gigabyte
of	IN	of
digital	JJ	digital
photos	NNS	photo
here	RB	here
and	CC	and
kind	RB	kind
of	IN	of
seamlessly	RB	seamlessly
and	CC	and
continuously	RB	continuously
zooming	VBG	zoom
in	IN	in
,	,	,
panning	VBG	pan
through	IN	through
it	PP	it
,	,	,
rearranging	VBG	rearrange
it	PP	it
in	IN	in
any	DT	any
way	NN	way
we	PP	we
want	VBP	want
.	SENT	.
And	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
how	WRB	how
much	JJ	much
information	NN	information
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
,	,	,
how	WRB	how
big	JJ	big
these	DT	these
collections	NNS	collection
are	VBP	be
or	CC	or
how	WRB	how
big	JJ	big
the	DT	the
images	NNS	image
are	VBP	be
.	SENT	.
Most	JJS	most
of	IN	of
them	PP	them
are	VBP	be
ordinary	JJ	ordinary
digital	JJ	digital
camera	NN	camera
photos	NNS	photo
,	,	,
but	CC	but
this	DT	this
one	CD	one
,	,	,
for	IN	for
example	NN	example
,	,	,
is	VBZ	be
a	DT	a
scan	NN	scan
from	IN	from
the	DT	the
Library	NP	Library
of	IN	of
Congress	NP	Congress
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
in	IN	in
the	DT	the
300	CD	@card@
megapixel	NN	<unknown>
range	NN	range
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
make	VB	make
any	DT	any
difference	NN	difference
because	IN	because
the	DT	the
only	JJ	only
thing	NN	thing
that	WDT	that
ought	MD	ought
to	TO	to
limit	VB	limit
the	DT	the
performance	NN	performance
of	IN	of
a	DT	a
system	NN	system
like	IN	like
this	DT	this
one	CD	one
is	VBZ	be
the	DT	the
number	NN	number
of	IN	of
pixels	NNS	pixel
on	IN	on
your	PP$	your
screen	NN	screen
at	IN	at
any	DT	any
given	VBN	give
moment	NN	moment
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
also	RB	also
very	RB	very
flexible	JJ	flexible
architecture	NN	architecture
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
entire	JJ	entire
book	NN	book
,	,	,
so	RB	so
this	DT	this
is	VBZ	be
an	DT	an
example	NN	example
of	IN	of
non-image	NN	non-image
data	NNS	datum
.	SENT	.
This	DT	this
is	VBZ	be
"	``	"
Bleak	NP	Bleak
House	NP	House
"	''	"
by	IN	by
Dickens	NP	Dickens
.	SENT	.
Every	DT	every
column	NN	column
is	VBZ	be
a	DT	a
chapter	NN	chapter
.	SENT	.
To	TO	to
prove	VB	prove
to	TO	to
you	PP	you
that	IN	that
it	PP	it
'	POS	'
s	NN	S
really	RB	really
text	NN	text
,	,	,
