Last	JJ	last
year	NN	year
,	,	,
I	PP	I
told	VBD	tell
you	PP	you
the	DT	the
story	NN	story
,	,	,
in	IN	in
seven	CD	seven
minutes	NNS	minute
,	,	,
of	IN	of
Project	NP	Project
Orion	NP	Orion
,	,	,
which	WDT	which
was	VBD	be
this	DT	this
very	RB	very
implausible	JJ	implausible
technology	NN	technology
that	WDT	that
technically	RB	technically
could	MD	could
have	VB	have
worked	VBN	work
,	,	,
but	CC	but
it	PP	it
had	VBD	have
this	DT	this
one-year	JJ	one-year
political	JJ	political
window	NN	window
where	WRB	where
it	PP	it
could	MD	could
have	VB	have
happened	VBN	happen
.	SENT	.
So	IN	so
it	PP	it
didn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
dream	NN	dream
that	WDT	that
did	VBD	do
not	RB	not
happen	VB	happen
.	SENT	.
This	DT	this
year	NN	year
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
the	DT	the
story	NN	story
of	IN	of
the	DT	the
birth	NN	birth
of	IN	of
digital	JJ	digital
computing	NN	computing
.	SENT	.
This	DT	this
was	VBD	be
a	DT	a
perfect	JJ	perfect
introduction	NN	introduction
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
story	NN	story
that	WDT	that
did	VBD	do
work	NN	work
.	SENT	.
It	PP	it
did	VBD	do
happen	VB	happen
,	,	,
and	CC	and
the	DT	the
machines	NNS	machine
are	VBP	be
all	RB	all
around	IN	around
us	PP	us
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
a	DT	a
technology	NN	technology
that	WDT	that
was	VBD	be
inevitable	JJ	inevitable
.	SENT	.
If	IN	if
the	DT	the
people	NNS	people
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
the	DT	the
story	NN	story
about	RB	about
,	,	,
if	IN	if
they	PP	they
hadn	NN	<unknown>
'	POS	'
t	NN	t
done	VBN	do
it	PP	it
,	,	,
somebody	NN	somebody
else	RB	else
would	MD	would
have	VB	have
.	SENT	.
So	RB	so
,	,	,
it	PP	it
was	VBD	be
sort	NN	sort
of	IN	of
the	DT	the
right	JJ	right
idea	NN	idea
at	IN	at
the	DT	the
right	JJ	right
time	NN	time
.	SENT	.
This	DT	this
is	VBZ	be
Barricelli	NP	Barricelli
'	POS	'
s	NN	S
universe	NN	universe
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
universe	NN	universe
we	PP	we
live	VBP	live
in	IN	in
now	RB	now
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
universe	NN	universe
in	IN	in
which	WDT	which
these	DT	these
machines	NNS	machine
are	VBP	be
now	RB	now
doing	VBG	do
all	PDT	all
these	DT	these
things	NNS	thing
,	,	,
including	VBG	include
changing	VBG	change
biology	NN	biology
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
starting	VBG	start
the	DT	the
story	NN	story
with	IN	with
the	DT	the
first	JJ	first
atomic	JJ	atomic
bomb	NN	bomb
at	IN	at
Trinity	NP	Trinity
,	,	,
which	WDT	which
was	VBD	be
the	DT	the
Manhattan	NP	Manhattan
Project	NP	Project
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
little	JJ	little
bit	NN	bit
like	IN	like
TED	VB	ted
:	:	:
it	PP	it
brought	VBD	bring
a	DT	a
whole	JJ	whole
lot	NN	lot
of	IN	of
very	RB	very
smart	JJ	smart
people	NNS	people
together	RB	together
.	SENT	.
And	CC	and
three	CD	three
of	IN	of
the	DT	the
smartest	JJS	smart
people	NNS	people
were	VBD	be
Stan	NP	Stan
Ulam	NP	Ulam
,	,	,
Richard	NP	Richard
Feynman	NP	Feynman
and	CC	and
John	NP	John
von	NP	von
Neumann	NP	Neumann
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
Von	NP	Von
Neumann	NP	Neumann
who	WP	who
said	VBD	say
,	,	,
after	IN	after
the	DT	the
bomb	NN	bomb
,	,	,
he	PP	he
was	VBD	be
working	VBG	work
on	IN	on
something	NN	something
much	RB	much
more	RBR	more
important	JJ	important
than	IN	than
bombs	NNS	bomb
:	:	:
he	PP	he
'	POS	'
s	JJ	<unknown>
thinking	NN	thinking
about	IN	about
computers	NNS	computer
.	SENT	.
So	RB	so
,	,	,
he	PP	he
wasn	NNS	<unknown>
'	POS	'
t	NN	t
only	RB	only
thinking	VBG	think
about	IN	about
them	PP	them
;	:	;
he	PP	he
built	VBD	build
one	CD	one
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
machine	NN	machine
he	PP	he
built	VBD	build
.	SENT	.
He	PP	he
built	VBD	build
this	DT	this
machine	NN	machine
,	,	,
and	CC	and
we	PP	we
had	VBD	have
a	DT	a
beautiful	JJ	beautiful
demonstration	NN	demonstration
of	IN	of
how	WRB	how
this	DT	this
thing	NN	thing
really	RB	really
works	VBZ	work
,	,	,
with	IN	with
these	DT	these
little	JJ	little
bits	NNS	bit
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
an	DT	an
idea	NN	idea
that	WDT	that
goes	VBZ	go
way	NN	way
back	RB	back
.	SENT	.
The	DT	the
first	JJ	first
person	NN	person
to	TO	to
really	RB	really
explain	VB	explain
that	WDT	that
was	VBD	be
Thomas	NP	Thomas
Hobbes	NP	Hobbes
,	,	,
who	WP	who
,	,	,
in	IN	in
1651	CD	@card@
,	,	,
explained	VBD	explain
how	WRB	how
arithmetic	NN	arithmetic
and	CC	and
logic	NN	logic
are	VBP	be
the	DT	the
same	JJ	same
thing	NN	thing
,	,	,
and	CC	and
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
artificial	JJ	artificial
thinking	NN	thinking
and	CC	and
artificial	JJ	artificial
logic	NN	logic
,	,	,
you	PP	you
can	MD	can
do	VB	do
it	PP	it
all	RB	all
with	IN	with
arithmetic	NN	arithmetic
.	SENT	.
He	PP	he
said	VBD	say
you	PP	you
needed	VBD	need
addition	NN	addition
and	CC	and
subtraction	NN	subtraction
.	SENT	.
Leibniz	NP	Leibniz
,	,	,
who	WP	who
came	VBD	come
a	DT	a
little	JJ	little
bit	NN	bit
later	RBR	later
—	:	-
this	DT	this
is	VBZ	be
1679	CD	@card@
—	:	-
showed	VBD	show
that	IN	that
you	PP	you
didn	NNS	<unknown>
'	POS	'
t	NN	t
even	RB	even
need	VBP	need
subtraction	NN	subtraction
.	SENT	.
You	PP	you
could	MD	could
do	VB	do
the	DT	the
whole	JJ	whole
thing	NN	thing
with	IN	with
addition	NN	addition
.	SENT	.
Here	RB	here
,	,	,
we	PP	we
have	VBP	have
all	PDT	all
the	DT	the
binary	JJ	binary
arithmetic	NN	arithmetic
and	CC	and
logic	NN	logic
that	WDT	that
drove	VBD	drive
the	DT	the
computer	NN	computer
revolution	NN	revolution
.	SENT	.
And	CC	and
Leibniz	NP	Leibniz
was	VBD	be
the	DT	the
first	JJ	first
person	NN	person
to	TO	to
really	RB	really
talk	VB	talk
about	IN	about
building	VBG	build
such	PDT	such
a	DT	a
machine	NN	machine
.	SENT	.
He	PP	he
talked	VBD	talk
about	IN	about
doing	VBG	do
it	PP	it
with	IN	with
marbles	NNS	marble
,	,	,
having	VBG	have
gates	NNS	gate
and	CC	and
what	WP	what
we	PP	we
now	RB	now
call	VBP	call
shift	NN	shift
registers	NNS	register
,	,	,
where	WRB	where
you	PP	you
shift	VBP	shift
the	DT	the
gates	NNS	gate
,	,	,
drop	VB	drop
the	DT	the
marbles	NNS	marble
down	IN	down
the	DT	the
tracks	NNS	track
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
all	PDT	all
these	DT	these
machines	NNS	machine
are	VBP	be
doing	VBG	do
,	,	,
except	VB	except
,	,	,
instead	RB	instead
of	IN	of
doing	VBG	do
it	PP	it
with	IN	with
marbles	NNS	marble
,	,	,
they	PP	they
'	POS	'
re	NN	re
doing	VBG	do
it	PP	it
with	IN	with
electrons	NNS	electron
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
jump	VBP	jump
to	TO	to
Von	NP	Von
Neumann	NP	Neumann
,	,	,
1945	CD	@card@
,	,	,
when	WRB	when
he	PP	he
sort	VBP	sort
of	IN	of
reinvents	VBZ	reinvent
the	DT	the
whole	JJ	whole
same	JJ	same
thing	NN	thing
.	SENT	.
And	CC	and
1945	CD	@card@
,	,	,
after	IN	after
the	DT	the
war	NN	war
,	,	,
the	DT	the
electronics	NNS	electronics
existed	VBD	exist
to	TO	to
actually	RB	actually
try	VB	try
and	CC	and
build	VB	build
such	PDT	such
a	DT	a
machine	NN	machine
.	SENT	.
So	IN	so
June	NP	June
1945	CD	@card@
—	:	-
actually	RB	actually
,	,	,
the	DT	the
bomb	NN	bomb
hasn	NN	<unknown>
'	POS	'
t	NN	t
even	RB	even
been	VBN	be
dropped	VBN	drop
yet	RB	yet
—	:	-
and	CC	and
Von	NP	Von
Neumann	NP	Neumann
is	VBZ	be
putting	VBG	put
together	RB	together
all	PDT	all
the	DT	the
theory	NN	theory
to	TO	to
actually	RB	actually
build	VB	build
this	DT	this
thing	NN	thing
,	,	,
which	WDT	which
also	RB	also
goes	VBZ	go
back	RB	back
to	TO	to
Turing	NP	Turing
,	,	,
who	WP	who
,	,	,
before	IN	before
that	IN	that
,	,	,
gave	VBD	give
the	DT	the
idea	NN	idea
that	IN	that
you	PP	you
could	MD	could
do	VB	do
all	PDT	all
this	DT	this
with	IN	with
a	DT	a
very	RB	very
brainless	JJ	brainless
,	,	,
little	JJ	little
,	,	,
finite	JJ	finite
state	NN	state
machine	NN	machine
,	,	,
just	RB	just
reading	VBG	read
a	DT	a
tape	NN	tape
in	IN	in
and	CC	and
reading	VBG	read
a	DT	a
tape	NN	tape
out	RP	out
.	SENT	.
The	DT	the
other	JJ	other
sort	NN	sort
of	IN	of
genesis	NN	genesis
of	IN	of
what	WP	what
Von	NP	Von
Neumann	NP	Neumann
did	VBD	do
was	VBD	be
the	DT	the
difficulty	NN	difficulty
of	IN	of
how	WRB	how
you	PP	you
would	MD	would
predict	VB	predict
the	DT	the
weather	NN	weather
.	SENT	.
Lewis	NP	Lewis
Richardson	NP	Richardson
saw	VBD	see
how	WRB	how
you	PP	you
could	MD	could
do	VB	do
this	DT	this
with	IN	with
a	DT	a
cellular	JJ	cellular
array	NN	array
of	IN	of
people	NNS	people
,	,	,
giving	VBG	give
them	PP	them
each	DT	each
a	DT	a
little	JJ	little
chunk	NN	chunk
,	,	,
and	CC	and
putting	VBG	put
it	PP	it
together	RB	together
.	SENT	.
Here	RB	here
,	,	,
we	PP	we
have	VBP	have
an	DT	an
electrical	JJ	electrical
model	NN	model
illustrating	VBG	illustrate
a	DT	a
mind	NN	mind
having	VBG	have
a	DT	a
will	NN	will
,	,	,
but	CC	but
capable	JJ	capable
of	IN	of
only	RB	only
two	CD	two
ideas	NNS	idea
.	SENT	.
And	CC	and
