Eric	NP	Eric
Berlow	NP	<unknown>
:	:	:
I	PP	I
'	POS	'
m	NN	m
an	DT	an
ecologist	NN	ecologist
,	,	,
and	CC	and
Sean	NP	Sean
'	POS	'
s	NNS	<unknown>
a	DT	a
physicist	NN	physicist
,	,	,
and	CC	and
we	PP	we
both	CC	both
study	VB	study
complex	JJ	complex
networks	NNS	network
.	SENT	.
And	CC	and
we	PP	we
met	VBD	meet
a	DT	a
couple	NN	couple
years	NNS	year
ago	RB	ago
when	WRB	when
we	PP	we
discovered	VBD	discover
that	IN	that
we	PP	we
had	VBD	have
both	DT	both
given	VBN	give
a	DT	a
short	JJ	short
TED	VB	ted
Talk	NN	talk
about	IN	about
the	DT	the
ecology	NN	ecology
of	IN	of
war	NN	war
,	,	,
and	CC	and
we	PP	we
realized	VBD	realize
that	IN	that
we	PP	we
were	VBD	be
connected	VBN	connect
by	IN	by
the	DT	the
ideas	NNS	idea
we	PP	we
shared	VBD	share
before	IN	before
we	PP	we
ever	RB	ever
met	VBD	meet
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
thought	VBD	think
,	,	,
you	PP	you
know	VBP	know
,	,	,
there	EX	there
are	VBP	be
thousands	NNS	thousand
of	IN	of
other	JJ	other
talks	NNS	talk
out	IN	out
there	RB	there
,	,	,
especially	RB	especially
TEDx	NP	<unknown>
Talks	NNS	talk
,	,	,
that	WDT	that
are	VBP	be
popping	VBG	pop
up	RP	up
all	DT	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
How	WRB	how
are	VBP	be
they	PP	they
connected	VBN	connect
,	,	,
and	CC	and
what	WP	what
does	VBZ	do
that	IN	that
global	JJ	global
conversation	NN	conversation
look	VBP	look
like	IN	like
?	SENT	?
So	RB	so
Sean	NP	Sean
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
how	WRB	how
we	PP	we
did	VBD	do
that	RB	that
.	SENT	.
Sean	NP	Sean
Gourley	NP	Gourley
:	:	:
Exactly	RB	exactly
.	SENT	.
So	RB	so
we	PP	we
took	VBD	take
24	CD	@card@
,	,	,
000	CD	@card@
TEDx	NP	<unknown>
Talks	NNS	talk
from	IN	from
around	IN	around
the	DT	the
world	NN	world
,	,	,
147	CD	@card@
different	JJ	different
countries	NNS	country
,	,	,
and	CC	and
we	PP	we
took	VBD	take
these	DT	these
talks	NNS	talk
and	CC	and
we	PP	we
wanted	VBD	want
to	TO	to
find	VB	find
the	DT	the
mathematical	JJ	mathematical
structures	NNS	structure
that	WDT	that
underly	RB	<unknown>
the	DT	the
