There	EX	there
are	VBP	be
200	CD	@card@
million	CD	million
clinical	JJ	clinical
cases	NNS	case
of	IN	of
falciparum	NN	<unknown>
malaria	NN	malaria
in	IN	in
Africa	NP	Africa
every	DT	every
year	NN	year
,	,	,
resulting	VBG	result
in	IN	in
half	PDT	half
a	DT	a
million	CD	million
deaths	NNS	death
.	SENT	.
I	PP	I
would	MD	would
like	VB	like
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
malaria	NN	malaria
vaccines	NNS	vaccine
.	SENT	.
The	DT	the
ones	NNS	one
that	IN	that
we	PP	we
have	VBP	have
made	VBN	make
to	TO	to
date	NN	date
are	VBP	be
simply	RB	simply
not	RB	not
good	JJ	good
enough	RB	enough
.	SENT	.
Why	WRB	why
?	SENT	?
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
at	IN	at
it	PP	it
for	IN	for
100	CD	@card@
plus	CC	plus
years	NNS	year
.	SENT	.
When	WRB	when
we	PP	we
started	VBD	start
,	,	,
technology	NN	technology
was	VBD	be
limited	VBN	limit
.	SENT	.
We	PP	we
could	MD	could
see	VB	see
just	RB	just
a	DT	a
tiny	JJ	tiny
fraction	NN	fraction
of	IN	of
what	WP	what
the	DT	the
parasite	NN	parasite
really	RB	really
looked	VBD	look
like	IN	like
.	SENT	.
Today	NN	today
,	,	,
we	PP	we
are	VBP	be
awash	RB	awash
with	IN	with
technology	NN	technology
,	,	,
advanced	JJ	advanced
imaging	NN	imaging
and	CC	and
omics	NN	<unknown>
platforms	NNS	platform
—	:	-
genomics	NNS	<unknown>
,	,	,
transcriptomics	NNS	<unknown>
,	,	,
proteomics	NNS	<unknown>
.	SENT	.
These	DT	these
tools	NNS	tool
have	VBP	have
given	VBN	give
us	PP	us
a	DT	a
clearer	JJR	clear
view	NN	view
of	IN	of
just	RB	just
how	WRB	how
complex	JJ	complex
the	DT	the
parasite	NN	parasite
really	RB	really
is	VBZ	be
.	SENT	.
However	RB	however
,	,	,
in	IN	in
spite	NN	spite
of	IN	of
this	DT	this
,	,	,
our	PP$	our
approach	NN	approach
to	TO	to
vaccine	NN	vaccine
design	NN	design
has	VBZ	have
remained	VBN	remain
pretty	RB	pretty
rudimentary	JJ	rudimentary
.	SENT	.
To	TO	to
make	VB	make
a	DT	a
good	JJ	good
vaccine	NN	vaccine
,	,	,
we	PP	we
must	MD	must
go	VB	go
back	RB	back
to	TO	to
basics	NNS	basic
to	TO	to
understand	VB	understand
how	WRB	how
our	PP$	our
bodies	NNS	body
handle	VB	handle
this	DT	this
complexity	NN	complexity
.	SENT	.
People	NNS	people
who	WP	who
are	VBP	be
frequently	RB	frequently
infected	VBN	infect
with	IN	with
malaria	NN	malaria
learn	VBP	learn
to	TO	to
