On	IN	on
the	DT	the
red	JJ	red
tiles	NNS	tile
in	IN	in
my	PP$	my
family	NN	family
'	POS	'
s	JJ	<unknown>
den	NN	den
I	PP	I
would	MD	would
dance	VB	dance
and	CC	and
sing	VB	sing
to	TO	to
the	DT	the
made-for-TV	JJ	made-for-TV
movie	NN	movie
"	''	"
Gypsy	NN	Gypsy
,	,	,
"	''	"
starring	VBG	star
Bette	NP	Bette
Midler	NP	Midler
.	SENT	.
"	``	"
I	PP	I
had	VBD	have
a	DT	a
dream	NN	dream
.	SENT	.
A	DT	a
wonderful	JJ	wonderful
dream	NN	dream
,	,	,
papa	NN	papa
.	SENT	.
"	``	"
I	PP	I
would	MD	would
sing	VB	sing
it	PP	it
with	IN	with
the	DT	the
urgency	NN	urgency
and	CC	and
the	DT	the
burning	VBG	burn
desire	NN	desire
of	IN	of
a	DT	a
nine-year-old	JJ	nine-year-old
who	WP	who
did	VBD	do
,	,	,
in	IN	in
fact	NN	fact
,	,	,
have	VBP	have
a	DT	a
dream	NN	dream
.	SENT	.
My	PP$	my
dream	NN	dream
was	VBD	be
to	TO	to
be	VB	be
an	DT	an
actress	NN	actress
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
true	JJ	true
that	IN	that
I	PP	I
never	RB	never
saw	VBD	see
anyone	NN	anyone
who	WP	who
looked	VBD	look
like	IN	like
me	PP	me
in	IN	in
television	NN	television
or	CC	or
in	IN	in
films	NNS	film
,	,	,
and	CC	and
sure	RB	sure
,	,	,
my	PP$	my
family	NN	family
and	CC	and
friends	NNS	friend
and	CC	and
teachers	NNS	teacher
all	RB	all
constantly	RB	constantly
warned	VBD	warn
me	PP	me
that	IN	that
people	NNS	people
like	VBP	like
me	PP	me
didn	NN	<unknown>
'	POS	'
t	NN	t
make	VB	make
it	PP	it
in	IN	in
Hollywood	NP	Hollywood
.	SENT	.
But	CC	but
I	PP	I
was	VBD	be
an	DT	an
American	NP	American
.	SENT	.
I	PP	I
had	VBD	have
been	VBN	be
taught	VBN	teach
to	TO	to
believe	VB	believe
that	DT	that
anyone	NN	anyone
could	MD	could
achieve	VB	achieve
anything	NN	anything
,	,	,
regardless	RB	regardless
of	IN	of
the	DT	the
color	NN	color
of	IN	of
their	PP$	their
skin	NN	skin
,	,	,
the	DT	the
fact	NN	fact
that	IN	that
my	PP$	my
parents	NNS	parent
immigrated	VBN	immigrate
from	IN	from
Honduras	NP	Honduras
,	,	,
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
had	VBD	have
no	DT	no
money	NN	money
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
need	VBP	need
my	PP$	my
dream	NN	dream
to	TO	to
be	VB	be
easy	JJ	easy
,	,	,
I	PP	I
just	RB	just
needed	VBD	need
it	PP	it
to	TO	to
be	VB	be
possible	JJ	possible
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
was	VBD	be
15	CD	@card@
,	,	,
I	PP	I
got	VBD	get
my	PP$	my
first	JJ	first
professional	JJ	professional
audition	NN	audition
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
commercial	NN	commercial
for	IN	for
cable	NN	cable
subscriptions	NNS	subscription
or	CC	or
bail	NN	bail
bonds	NNS	bond
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
really	RB	really
remember	VB	remember
