There	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
ancient	JJ	ancient
and	CC	and
universal	JJ	universal
concept	NN	concept
that	IN	that
words	NNS	word
have	VBP	have
power	NN	power
,	,	,
that	WDT	that
spells	VBZ	spell
exist	VB	exist
,	,	,
and	CC	and
that	IN	that
if	IN	if
we	PP	we
could	MD	could
only	RB	only
pronounce	VB	pronounce
the	DT	the
right	JJ	right
words	NNS	word
,	,	,
then	RB	then
â	NP	<unknown>
whoosh	NN	whoosh
!	SENT	!
â	NP	<unknown>
you	PP	you
know	VBP	know
,	,	,
an	DT	an
avalanche	NN	avalanche
would	MD	would
come	VB	come
and	CC	and
wipe	VB	wipe
out	RP	out
the	DT	the
hobbits	NNS	<unknown>
,	,	,
right	RB	right
?	SENT	?
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
attractive	JJ	attractive
idea	NN	idea
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
very	RB	very
lazy	JJ	lazy
,	,	,
like	IN	like
the	DT	the
Sorcerer	NN	sorcerer
'	POS	'
s	NN	S
Apprentice	NN	apprentice
,	,	,
or	CC	or
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
greatest	JJS	great
computer	NN	computer
programmer	NN	programmer
.	SENT	.
This	DT	this
idea	NN	idea
has	VBZ	have
a	DT	a
lot	NN	lot
of	IN	of
traction	NN	traction
with	IN	with
us	PP	us
.	SENT	.
We	PP	we
love	VBP	love
the	DT	the
idea	NN	idea
that	IN	that
words	NNS	word
,	,	,
when	WRB	when
pronounced	VBN	pronounce
,	,	,
are	VBP	be
little	RB	little
more	RBR	more
than	IN	than
pure	JJ	pure
information	NN	information
,	,	,
but	CC	but
they	PP	they
evoke	VBP	evoke
physical	JJ	physical
action	NN	action
in	IN	in
the	DT	the
real	JJ	real
world	NN	world
that	WDT	that
helps	VBZ	help
us	PP	us
do	VBP	do
work	NN	work
.	SENT	.
So	RB	so
,	,	,
of	IN	of
course	NN	course
,	,	,
with	IN	with
lots	NNS	lot
of	IN	of
programmable	JJ	programmable
computers	NNS	computer
and	CC	and
robots	NNS	robot
around	RB	around
,	,	,
this	DT	this
is	VBZ	be
an	DT	an
easy	JJ	easy
thing	NN	thing
to	TO	to
picture	NN	picture
.	SENT	.
How	WRB	how
many	JJ	many
of	IN	of
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	RB	about
?	SENT	?
Raise	VB	raise
your	PP$	your
right	JJ	right
hand	NN	hand
.	SENT	.
How	WRB	how
many	DT	many
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	RB	about
?	SENT	?
Raise	VB	raise
your	PP$	your
left	JJ	left
hand	NN	hand
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
So	RB	so
that	DT	that
was	VBD	be
too	RB	too
easy	JJ	easy
.	SENT	.
You	PP	you
guys	NNS	guy
have	VBP	have
very	RB	very
insecure	JJ	insecure
computers	NNS	computer
,	,	,
OK	UH	OK
?	SENT	?
So	RB	so
now	RB	now
the	DT	the
thing	NN	thing
is	VBZ	be
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
different	JJ	different
kind	NN	kind
of	IN	of
spell	NN	spell
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
computer	NN	computer
program	NN	program
made	VBN	make
of	IN	of
zeros	NNS	zero
and	CC	and
ones	NNS	one
.	SENT	.
It	PP	it
can	MD	can
be	VB	be
pronounced	VBN	pronounce
on	IN	on
a	DT	a
computer	NN	computer
,	,	,
does	VBZ	do
something	NN	something
like	IN	like
this	DT	this
.	SENT	.
The	DT	the
important	JJ	important
thing	NN	thing
is	VBZ	be
we	PP	we
can	MD	can
write	VB	write
it	PP	it
in	IN	in
a	DT	a
high-level	JJ	high-level
language	NN	language
.	SENT	.
A	DT	a
computer	NN	computer
magician	NN	magician
can	MD	can
write	VB	write
this	DT	this
thing	NN	thing
.	SENT	.
It	PP	it
can	MD	can
be	VB	be
compiled	VBN	compile
into	IN	into
zeros	NNS	zero
and	CC	and
ones	NNS	one
and	CC	and
pronounced	VBN	pronounce
by	IN	by
a	DT	a
computer	NN	computer
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
what	WP	what
makes	VBZ	make
computers	NNS	computer
powerful	JJ	powerful
,	,	,
these	DT	these
high-level	JJ	high-level
languages	NNS	language
that	WDT	that
can	MD	can
be	VB	be
compiled	VBN	compile
.	SENT	.
And	CC	and
so	RB	so
,	,	,
I	PP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
tell	VB	tell
you	PP	you
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
a	DT	a
computer	NN	computer
to	TO	to
actually	RB	actually
have	VB	have
a	DT	a
spell	NN	spell
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
what	WP	what
you	PP	you
can	MD	can
do	VB	do
at	IN	at
the	DT	the
molecular	JJ	molecular
level	NN	level
is	VBZ	be
that	IN	that
if	IN	if
you	PP	you
encode	VBP	encode
information	NN	information
â	NP	<unknown>
you	PP	you
encode	VBP	encode
a	DT	a
spell	NN	spell
or	CC	or
program	NN	program
as	IN	as
molecules	NNS	molecule
â	NP	<unknown>
then	RB	then
physics	VBZ	physic
can	MD	can
actually	RB	actually
directly	RB	directly
interpret	VB	interpret
that	DT	that
information	NN	information
and	CC	and
run	VB	run
a	DT	a
program	NN	program
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
what	WP	what
happens	VBZ	happen
in	IN	in
proteins	NNS	protein
.	SENT	.
When	WRB	when
this	DT	this
amino-acid	JJ	amino-acid
sequence	NN	sequence
gets	VBZ	get
pronounced	VBN	pronounce
as	IN	as
atoms	NNS	atom
,	,	,
these	DT	these
little	JJ	little
letters	NNS	letter
are	VBP	be
sticky	JJ	sticky
for	IN	for
each	DT	each
other	JJ	other
.	SENT	.
It	PP	it
collapses	VBZ	collapse
into	IN	into
a	DT	a
three-dimensional	JJ	three-dimensional
shape	NN	shape
that	WDT	that
turns	VBZ	turn
it	PP	it
into	IN	into
a	DT	a
nanomachine	NN	nanomachine
that	WDT	that
actually	RB	actually
cuts	VBZ	cut
DNA	NN	DNA
.	SENT	.
The	DT	the
interesting	JJ	interesting
thing	NN	thing
is	VBZ	be
that	IN	that
if	IN	if
you	PP	you
change	VBP	change
the	DT	the
sequence	NN	sequence
,	,	,
you	PP	you
change	VBP	change
the	DT	the
three-dimensional	JJ	three-dimensional
folding	NN	folding
.	SENT	.
You	PP	you
get	VBP	get
,	,	,
now	RB	now
,	,	,
a	DT	a
DNA	NP	DNA
stapler	NN	stapler
,	,	,
instead	RB	instead
.	SENT	.
These	DT	these
are	VBP	be
the	DT	the
kind	NN	kind
of	IN	of
molecular	JJ	molecular
programs	NNS	program
we	PP	we
want	VBP	want
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
write	VB	write
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
the	DT	the
machine	NN	machine
language	NN	language
of	IN	of
proteins	NNS	protein
or	CC	or
have	VBP	have
a	DT	a
compiler	NN	compiler
for	IN	for
proteins	NNS	protein
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ve	NN	ve
joined	VBD	join
a	DT	a
growing	VBG	grow
band	NN	band
of	IN	of
people	NNS	people
that	WDT	that
try	VBP	try
to	TO	to
make	VB	make
molecular	JJ	molecular
spells	NNS	spell
using	VBG	use
DNA	NP	DNA
.	SENT	.
We	PP	we
use	VBP	use
DNA	NN	DNA
because	IN	because
it	PP	it
'	POS	'
s	JJ	<unknown>
cheaper	JJR	cheap
,	,	,
it	PP	it
'	POS	'
s	NN	S
easier	RBR	easier
to	TO	to
handle	VB	handle
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
we	PP	we
understand	VBP	understand
really	RB	really
well	RB	well
