Over	IN	over
the	DT	the
past	JJ	past
six	CD	six
months	NNS	month
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
spent	VBD	spend
my	PP$	my
time	NN	time
traveling	VBG	travel
.	SENT	.
I	PP	I
think	VBP	think
I	PP	I
'	''	'
ve	NNS	<unknown>
done	VBN	do
60	CD	@card@
,	,	,
000	CD	@card@
miles	NNS	mile
,	,	,
but	CC	but
without	IN	without
leaving	VBG	leave
my	PP$	my
desk	NN	desk
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
I	PP	I
can	MD	can
do	VB	do
that	DT	that
is	VBZ	be
because	IN	because
I	PP	I
'	POS	'
m	NN	m
actually	RB	actually
two	CD	two
people	NNS	people
.	SENT	.
I	PP	I
look	VBP	look
like	IN	like
one	CD	one
person	NN	person
but	CC	but
I	PP	I
'	POS	'
m	NN	m
two	CD	two
people	NNS	people
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
Eddie	NP	Eddie
who	WP	who
is	VBZ	be
here	RB	here
,	,	,
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
my	PP$	my
alter	JJR	alt
ego	NN	ego
is	VBZ	be
a	DT	a
big	JJ	big
green	JJ	green
boxy	JJ	boxy
avatar	NN	avatar
nicknamed	VBN	nickname
Cyber	NP	Cyber
Frank	NP	Frank
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
spend	VBP	spend
my	PP$	my
time	NN	time
doing	VBG	do
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
start	VB	start
,	,	,
if	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
possible	JJ	possible
,	,	,
with	IN	with
a	DT	a
test	NN	test
,	,	,
because	IN	because
I	PP	I
do	VBP	do
business	NN	business
stuff	NN	stuff
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
that	IN	that
we	PP	we
focus	VBP	focus
on	IN	on
outcomes	NNS	outcome
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
struggled	VBD	struggle
,	,	,
because	IN	because
I	PP	I
was	VBD	be
thinking	VBG	think
to	TO	to
myself	PP	myself
,	,	,
"	``	"
What	WP	what
should	MD	should
I	PP	I
talk	VB	talk
?	SENT	?
What	WP	what
should	MD	should
I	PP	I
do	VB	do
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
TED	VBP	ted
audience	NN	audience
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
got	VBD	get
to	TO	to
be	VB	be
stretching	VBG	stretch
.	SENT	.
How	WRB	how
am	VBP	be
I	PP	I
going	VBG	go
to	TO	to
make	VB	make
—	:	-
?	SENT	?
"	``	"
So	IN	so
I	PP	I
just	RB	just
hope	VBP	hope
I	PP	I
'	''	'
ve	NNS	<unknown>
got	VBD	get
the	DT	the
level	NN	level
of	IN	of
difficulty	NN	difficulty
right	NN	right
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
just	RB	just
walk	VBP	walk
our	PP$	our
way	NN	way
through	IN	through
this	DT	this
.	SENT	.
Please	UH	please
could	MD	could
you	PP	you
work	VB	work
this	DT	this
through	IN	through
with	IN	with
me	PP	me
?	SENT	?
You	PP	you
can	MD	can
shout	VB	shout
out	RP	out
the	DT	the
answer	NN	answer
if	IN	if
you	PP	you
like	VBP	like
.	SENT	.
The	DT	the
question	NN	question
is	VBZ	be
,	,	,
which	WDT	which
of	IN	of
these	DT	these
horizontal	JJ	horizontal
lines	NNS	line
is	VBZ	be
longer	JJR	long
?	SENT	?
The	DT	the
answer	NN	answer
is	VBZ	be
?	SENT	?
Audience	NN	audience
:	:	:
The	DT	the
same	JJ	same
.	SENT	.
Eddie	NP	Eddie
Obeng	NP	Obeng
:	:	:
The	DT	the
same	JJ	same
.	SENT	.
No	UH	no
,	,	,
they	PP	they
'	POS	'
re	NN	re
not	RB	not
the	DT	the
same	JJ	same
.	SENT	.
They	PP	they
'	''	'
re	IN	re
not	RB	not
the	DT	the
same	JJ	same
.	SENT	.
The	DT	the
top	JJ	top
one	CD	one
is	VBZ	be
10	CD	@card@
percent	NN	percent
longer	JJR	long
than	IN	than
the	DT	the
bottom	JJ	bottom
one	CD	one
.	SENT	.
So	RB	so
why	WRB	why
did	VBD	do
you	PP	you
tell	VBP	tell
me	PP	me
they	PP	they
were	VBD	be
the	DT	the
same	JJ	same
?	SENT	?
Do	VB	do
you	PP	you
remember	VB	remember
