Today	NN	today
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
meaning	NN	meaning
of	IN	of
words	NNS	word
,	,	,
how	WRB	how
we	PP	we
define	VBP	define
them	PP	them
and	CC	and
how	WRB	how
they	PP	they
,	,	,
almost	RB	almost
as	IN	as
revenge	NN	revenge
,	,	,
define	VB	define
us	PP	us
.	SENT	.
The	DT	the
English	JJ	English
language	NN	language
is	VBZ	be
a	DT	a
magnificent	JJ	magnificent
sponge	NN	sponge
.	SENT	.
I	PP	I
love	VBP	love
the	DT	the
English	JJ	English
language	NN	language
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
glad	JJ	glad
that	IN	that
I	PP	I
speak	VBP	speak
it	PP	it
.	SENT	.
But	CC	but
for	IN	for
all	PDT	all
that	DT	that
,	,	,
it	PP	it
has	VBZ	have
a	DT	a
lot	NN	lot
of	IN	of
holes	NNS	hole
.	SENT	.
In	IN	in
Greek	JJ	Greek
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
word	NN	word
,	,	,
"	``	"
lachesism	NN	<unknown>
"	''	"
which	WDT	which
is	VBZ	be
the	DT	the
hunger	NN	hunger
for	IN	for
disaster	NN	disaster
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
when	WRB	when
you	PP	you
see	VBP	see
a	DT	a
thunderstorm	NN	thunderstorm
on	IN	on
the	DT	the
horizon	NN	horizon
and	CC	and
you	PP	you
just	RB	just
find	VBP	find
yourself	PP	yourself
rooting	VBG	root
for	IN	for
the	DT	the
storm	NN	storm
.	SENT	.
In	IN	in
Mandarin	NN	mandarin
,	,	,
they	PP	they
have	VBP	have
a	DT	a
word	NN	word
"	``	"
y��	JJ	<unknown>
y��	NN	<unknown>
"	''	"
—	:	-
I	PP	I
'	POS	'
m	NN	m
not	RB	not
pronouncing	VBG	pronounce
that	IN	that
correctly	RB	correctly
—	:	-
which	WDT	which
means	VBZ	mean
the	DT	the
longing	NN	longing
to	TO	to
feel	VB	feel
intensely	RB	intensely
again	RB	again
the	DT	the
way	NN	way
you	PP	you
did	VBD	do
when	WRB	when
you	PP	you
were	VBD	be
a	DT	a
kid	NN	kid
.	SENT	.
In	IN	in
Polish	JJ	Polish
,	,	,
they	PP	they
have	VBP	have
a	DT	a
word	NN	word
"	``	"
jouska	NN	<unknown>
"	''	"
which	WDT	which
is	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
hypothetical	JJ	hypothetical
conversation	NN	conversation
that	IN	that
you	PP	you
compulsively	RB	compulsively
play	VBP	play
out	RP	out
in	IN	in
your	PP$	your
head	NN	head
.	SENT	.
And	CC	and
finally	RB	finally
,	,	,
in	IN	in
German	JJ	German
,	,	,
of	IN	of
course	NN	course
in	IN	in
German	JJ	German
,	,	,
they	PP	they
have	VBP	have
a	DT	a
word	NN	word
called	VBN	call
"	``	"
zielschmerz	NN	<unknown>
"	''	"
which	WDT	which
is	VBZ	be
the	DT	the
dread	NN	dread
of	IN	of
getting	VBG	get
what	WP	what
you	PP	you
want	VBP	want
.	SENT	.
Finally	RB	finally
fulfilling	VBG	fulfill
a	DT	a
lifelong	JJ	lifelong
dream	NN	dream
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
German	NN	German
myself	PP	myself
,	,	,
so	RB	so
I	PP	I
know	VBP	know
exactly	RB	exactly
what	WP	what
that	DT	that
feels	NNS	feel
like	VBP	like
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
sure	JJ	sure
if	IN	if
I	PP	I
would	MD	would
use	VB	use
any	DT	any
of	IN	of
these	DT	these
words	NNS	word
as	IN	as
I	PP	I
go	VBP	go
about	IN	about
my	PP$	my
day	NN	day
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
really	RB	really
glad	JJ	glad
they	PP	they
exist	VBP	exist
.	SENT	.
But	CC	but
the	DT	the
only	JJ	only
reason	NN	reason
they	PP	they
exist	VBP	exist
is	VBZ	be
because	IN	because
I	PP	I
made	VBD	make
them	PP	them
up	RP	up
.	SENT	.
I	PP	I
am	VBP	be
the	DT	the
author	NN	author
of	IN	of
"	``	"
The	DT	the
Dictionary	NP	Dictionary
of	IN	of
Obscure	JJ	obscure
Sorrows	NNS	sorrow
,	,	,
"	''	"
which	WDT	which
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
writing	VBG	write
for	IN	for
the	DT	the
last	JJ	last
seven	CD	seven
years	NNS	year
.	SENT	.
And	CC	and
the	DT	the
whole	JJ	whole
mission	NN	mission
of	IN	of
the	DT	the
project	NN	project
is	VBZ	be
to	TO	to
find	VB	find
holes	NNS	hole
in	IN	in
the	DT	the
language	NN	language
of	IN	of
emotion	NN	emotion
and	CC	and
try	VB	try
to	TO	to
fill	VB	fill
them	PP	them
so	RB	so
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
way	NN	way
of	IN	of
talking	VBG	talk
about	IN	about
all	PDT	all
those	DT	those
human	JJ	human
peccadilloes	NNS	peccadillo
and	CC	and
quirks	NNS	quirk
of	IN	of
the	DT	the
human	JJ	human
condition	NN	condition
that	IN	that
we	PP	we
all	RB	all
feel	VB	feel
but	CC	but
may	MD	may
not	RB	not
think	VB	think
to	TO	to
talk	VB	talk
about	RB	about
because	IN	because
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
words	NNS	word
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
And	CC	and
about	RB	about
halfway	RB	halfway
through	IN	through
this	DT	this
project	NN	project
,	,	,
I	PP	I
defined	VBD	define
"	``	"
sonder	NN	<unknown>
,	,	,
"	''	"
the	DT	the
idea	NN	idea
that	IN	that
we	PP	we
all	RB	all
think	VBP	think
of	IN	of
ourselves	PP	ourselves
as	IN	as
the	DT	the
main	JJ	main
character	NN	character
and	CC	and
everyone	NN	everyone
else	RB	else
is	VBZ	be
just	RB	just
extras	NNS	extra
.	SENT	.
But	CC	but
in	IN	in
reality	NN	reality
,	,	,
we	PP	we
'	POS	'
re	IN	re
all	PDT	all
the	DT	the
main	JJ	main
character	NN	character
,	,	,
and	CC	and
you	PP	you
yourself	PP	yourself
are	VBP	be
an	DT	an
extra	JJ	extra
in	IN	in
someone	NN	someone
else	RB	else
'	POS	'
s	NN	S
story	NN	story
.	SENT	.
And	CC	and
so	RB	so
as	RB	as
soon	RB	soon
as	IN	as
I	PP	I
published	VBD	publish
that	IN	that
,	,	,
I	PP	I
got	VBD	get
a	DT	a
lot	NN	lot
of	IN	of
response	NN	response
from	IN	from
people	NNS	people
saying	VBG	say
,	,	,
"	``	"
Thank	VB	thank
you	PP	you
for	IN	for
giving	VBG	give
voice	NN	voice
to	TO	to
something	NN	something
I	PP	I
had	VBD	have
felt	VBN	feel
all	PDT	all
my	PP$	my
life	NN	life
but	CC	but
there	EX	there
was	VBD	be
no	DT	no
word	NN	word
for	IN	for
that	DT	that
.	SENT	.
"	``	"
So	RB	so
it	PP	it
made	VBD	make
them	PP	them
feel	VBP	feel
less	RBR	less
alone	RB	alone
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
power	NN	power
of	IN	of
words	NNS	word
,	,	,
to	TO	to
make	VB	make
us	PP	us
feel	VB	feel
less	RBR	less
alone	RB	alone
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
not	RB	not
long	RB	long
after	IN	after
that	IN	that
that	WDT	that
I	PP	I
started	VBD	start
to	TO	to
notice	NN	notice
sonder	NN	<unknown>
being	VBG	be
used	VBN	use
earnestly	RB	earnestly
in	IN	in
conversations	NNS	conversation
online	JJ	online
,	,	,
and	CC	and
not	RB	not
long	RB	long
after	IN	after
I	PP	I
actually	RB	actually
noticed	VBD	notice
it	PP	it
,	,	,
I	PP	I
caught	VBD	catch
it	PP	it
next	JJ	next
to	TO	to
me	PP	me
in	IN	in
an	DT	an
actual	JJ	actual
conversation	NN	conversation
in	IN	in
person	NN	person
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
stranger	NN	stranger
feeling	NN	feeling
than	IN	than
making	VBG	make
up	RP	up
a	DT	a
word	NN	word
and	CC	and
then	RB	then
seeing	VBG	see
it	PP	it
take	VB	take
on	IN	on
a	DT	a
mind	NN	mind
of	IN	of
its	PP$	its
own	JJ	own
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
word	NN	word
for	IN	for
that	IN	that
yet	RB	yet
,	,	,
but	CC	but
I	PP	I
will	MD	will
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
working	VBG	work
on	IN	on
it	PP	it
.	SENT	.
I	PP	I
started	VBD	start
to	TO	to
think	VB	think
about	RB	about
what	WP	what
makes	VBZ	make
words	NNS	word
real	JJ	real
,	,	,
because	IN	because
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
ask	VBP	ask
me	PP	me
,	,	,
the	DT	the
most	RBS	most
common	JJ	common
thing	NN	thing
I	PP	I
got	VBD	get
from	IN	from
people	NNS	people
is	VBZ	be
,	,	,
"	``	"
Well	UH	well
,	,	,
are	VBP	be
these	DT	these
words	NNS	word
made	VBN	make
up	RP	up
?	SENT	?
I	PP	I
don	VBP	don
'	''	'
t	NN	t
really	RB	really
understand	VB	understand
.	SENT	.
"	``	"
And	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
know	VBP	know
what	WP	what
to	TO	to
tell	VB	tell
them	PP	them
because	IN	because
once	RB	once
sonder	NN	<unknown>
started	VBD	start
to	TO	to
take	VB	take
off	RP	off
,	,	,
who	WP	who
am	VBP	be
I	PP	I
to	TO	to
say	VB	say
what	WP	what
words	NNS	word
are	VBP	be
real	JJ	real
and	CC	and
what	WP	what
aren	NNS	<unknown>
'	POS	'
t	NN	t
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
sort	VB	sort
of	IN	of
felt	VBN	feel
like	IN	like
Steve	NP	Steve
Jobs	NP	Jobs
,	,	,
who	WP	who
described	VBD	describe
his	PP$	his
epiphany	NN	epiphany
as	IN	as
when	WRB	when
he	PP	he
realized	VBD	realize
that	IN	that
most	JJS	most
of	IN	of
us	PP	us
,	,	,
as	IN	as
we	PP	we
go	VBP	go
through	IN	through
the	DT	the
day	NN	day
,	,	,
we	PP	we
just	RB	just
try	VBP	try
to	TO	to
avoid	VB	avoid
bouncing	VBG	bounce
against	IN	against
the	DT	the
walls	NNS	wall
too	RB	too
much	RB	much
and	CC	and
just	RB	just
sort	RB	sort
of	IN	of
get	VB	get
on	IN	on
with	IN	with
things	NNS	thing
.	SENT	.
But	CC	but
once	RB	once
you	PP	you
realize	VBP	realize
that	IN	that
people	NNS	people
—	:	-
that	IN	that
this	DT	this
world	NN	world
was	VBD	be
built	VBN	build
by	IN	by
people	NNS	people
no	RB	no
smarter	RBR	smarter
than	IN	than
you	PP	you
,	,	,
then	RB	then
you	PP	you
can	MD	can
reach	VB	reach
out	RP	out
and	CC	and
touch	VB	touch
those	DT	those
walls	NNS	wall
and	CC	and
even	RB	even
put	VB	put
your	PP$	your
hand	NN	hand
through	IN	through
them	PP	them
and	CC	and
realize	VBP	realize
that	IN	that
you	PP	you
have	VBP	have
the	DT	the
power	NN	power
to	TO	to
change	VB	change
it	PP	it
.	SENT	.
And	CC	and
when	WRB	when
people	NNS	people
ask	VBP	ask
me	PP	me
,	,	,
"	``	"
Are	VBP	be
these	DT	these
words	NNS	word
real	JJ	real
?	SENT	?
"	``	"
I	PP	I
had	VBD	have
a	DT	a
variety	NN	variety
of	IN	of
answers	NNS	answer
that	IN	that
I	PP	I
tried	VBD	try
out	RP	out
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
made	VBD	make
sense	NN	sense
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
didn	NN	<unknown>
'	POS	'
t	NN	t
.	SENT	.
But	CC	but
one	CD	one
of	IN	of
them	PP	them
I	PP	I
tried	VBD	try
out	RP	out
was	VBD	be
,	,	,
"	``	"
Well	UH	well
,	,	,
a	DT	a
word	NN	word
is	VBZ	be
real	JJ	real
if	IN	if
you	PP	you
want	VBP	want
it	PP	it
to	TO	to
be	VB	be
real	JJ	real
.	SENT	.
"	''	"
The	DT	the
way	NN	way
that	IN	that
this	DT	this
path	NN	path
is	VBZ	be
real	JJ	real
because	IN	because
people	NNS	people
wanted	VBD	want
it	PP	it
to	TO	to
be	VB	be
there	RB	there
.	SENT	.
It	PP	it
happens	VBZ	happen
on	IN	on
college	NN	college
campuses	NNS	campus
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
a	DT	a
"	``	"
desire	NN	desire
path	NN	path
.	SENT	.
"	''	"
But	CC	but
then	RB	then
I	PP	I
decided	VBD	decide
,	,	,
what	WP	what
people	NNS	people
are	VBP	be
really	RB	really
asking	VBG	ask
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
asking	VBG	ask
if	IN	if
a	DT	a
word	NN	word
is	VBZ	be
real	JJ	real
,	,	,
they	PP	they
'	POS	'
re	NN	re
really	RB	really
asking	VBG	ask
,	,	,
"	``	"
Well	UH	well
,	,	,
how	WRB	how
many	JJ	many
brains	NNS	brain
will	MD	will
this	RB	this
give	VB	give
me	PP	me
access	VB	access
to	TO	to
?	SENT	?
"	``	"
Because	IN	because
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
how	WRB	how
we	PP	we
look	VBP	look
at	IN	at
language	NN	language
.	SENT	.
A	DT	a
word	NN	word
is	VBZ	be
essentially	RB	essentially
a	DT	a
key	NN	key
that	WDT	that
gets	VBZ	get
us	PP	us
into	IN	into
certain	JJ	certain
people	NNS	people
'	POS	'
s	NN	S
heads	NNS	head
.	SENT	.
And	CC	and
if	IN	if
it	PP	it
gets	VBZ	get
us	PP	us
into	IN	into
one	CD	one
brain	NN	brain
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
really	RB	really
worth	JJ	worth
it	PP	it
,	,	,
not	RB	not
really	RB	really
worth	JJ	worth
knowing	VBG	know
.	SENT	.
Two	CD	two
brains	NNS	brain
,	,	,
eh	NP	eh
,	,	,
it	PP	it
depends	VBZ	depend
on	IN	on
who	WP	who
it	PP	it
is	VBZ	be
.	SENT	.
A	DT	a
million	CD	million
brains	NNS	brain
,	,	,
OK	UH	OK
,	,	,
now	RB	now
we	PP	we
'	POS	'
re	NN	re
talking	NN	talking
.	SENT	.
And	CC	and
so	RB	so
a	DT	a
real	JJ	real
word	NN	word
is	VBZ	be
one	CD	one
that	WDT	that
gets	VBZ	get
you	PP	you
access	NN	access
to	TO	to
as	RB	as
many	JJ	many
brains	NNS	brain
as	IN	as
you	PP	you
can	MD	can
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
what	WP	what
makes	VBZ	make
it	PP	it
worth	NN	worth
knowing	VBG	know
.	SENT	.
Incidentally	RB	incidentally
,	,	,
the	DT	the
realest	JJS	real
word	NN	word
of	IN	of
all	DT	all
by	IN	by
this	DT	this
measure	NN	measure
is	VBZ	be
this	DT	this
.	SENT	.
[	SYM	[
O	NP	O
.	SENT	.
K	NP	K
.	SENT	.
]	SYM	]
That	DT	that
'	''	'
s	VBG	<unknown>
it	PP	it
.	SENT	.
The	DT	the
realest	JJS	real
word	NN	word
we	PP	we
have	VBP	have
.	SENT	.
That	DT	that
is	VBZ	be
the	DT	the
closest	JJS	close
thing	NN	thing
we	PP	we
have	VBP	have
to	TO	to
a	DT	a
master	NN	master
key	NN	key
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
most	RBS	most
commonly	RB	commonly
understood	VBN	understand
word	NN	word
in	IN	in
the	DT	the
world	NN	world
,	,	,
no	DT	no
matter	NN	matter
where	WRB	where
you	PP	you
are	VBP	be
.	SENT	.
The	DT	the
problem	NN	problem
with	IN	with
that	WDT	that
is	VBZ	be
,	,	,
no	DT	no
one	CD	one
seems	VBZ	seem
to	TO	to
know	VB	know
what	WP	what
those	DT	those
two	CD	two
letters	NNS	letter
stand	VBP	stand
for	IN	for
.	SENT	.
Which	WDT	which
is	VBZ	be
kind	NN	kind
of	IN	of
weird	JJ	weird
,	,	,
right	RB	right
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
could	MD	could
be	VB	be
a	DT	a
misspelling	NN	misspelling
of	IN	of
"	``	"
all	DT	all
correct	JJ	correct
,	,	,
"	''	"
I	PP	I
guess	VBP	guess
,	,	,
or	CC	or
"	``	"
old	JJ	old
kinderhook	NN	<unknown>
.	SENT	.
"	''	"
No	DT	no
one	CD	one
really	RB	really
seems	VBZ	seem
to	TO	to
know	VB	know
,	,	,
but	CC	but
the	DT	the
fact	NN	fact
that	IN	that
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
says	VBZ	say
something	NN	something
about	IN	about
how	WRB	how
we	PP	we
add	VBP	add
meaning	VBG	mean
to	TO	to
words	NNS	word
.	SENT	.
The	DT	the
meaning	NN	meaning
is	VBZ	be
not	RB	not
in	IN	in
the	DT	the
words	NNS	word
themselves	PP	themselves
.	SENT	.
We	PP	we
'	''	'
re	IN	re
the	DT	the
ones	NNS	one
that	WDT	that
pour	VBP	pour
ourselves	PP	ourselves
into	IN	into
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
,	,	,
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
all	RB	all
searching	VBG	search
for	IN	for
meaning	VBG	mean
in	IN	in
our	PP$	our
lives	NNS	life
,	,	,
and	CC	and
searching	VBG	search
for	IN	for
the	DT	the
meaning	NN	meaning
of	IN	of
life	NN	life
,	,	,
I	PP	I
think	VBP	think
words	NNS	word
have	VBP	have
something	NN	something
to	TO	to
