There	EX	there
are	VBP	be
two	CD	two
powerful	JJ	powerful
phenomena	NNS	phenomenon
unfolding	VBG	unfold
on	IN	on
earth	NN	earth
:	:	:
the	DT	the
rise	NN	rise
of	IN	of
global	JJ	global
warming	NN	warming
and	CC	and
the	DT	the
rise	NN	rise
of	IN	of
women	NNS	woman
and	CC	and
girls	NNS	girl
.	SENT	.
The	DT	the
link	NN	link
between	IN	between
them	PP	them
is	VBZ	be
often	RB	often
overlooked	VBN	overlook
,	,	,
but	CC	but
gender	NN	gender
equity	NN	equity
is	VBZ	be
a	DT	a
key	JJ	key
answer	NN	answer
to	TO	to
our	PP$	our
planetary	JJ	planetary
challenge	NN	challenge
.	SENT	.
Let	VB	let
me	PP	me
explain	VB	explain
.	SENT	.
For	IN	for
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
,	,	,
I	PP	I
have	VBP	have
been	VBN	be
working	VBG	work
on	IN	on
an	DT	an
effort	NN	effort
called	VBN	call
"	``	"
Project	NN	project
Drawdown	NN	drawdown
.	SENT	.
"	``	"
Our	PP$	our
team	NN	team
has	VBZ	have
scoured	VBN	scour
humanity	NN	humanity
'	POS	'
s	JJ	<unknown>
wisdom	NN	wisdom
for	IN	for
solutions	NNS	solution
to	TO	to
draw	VB	draw
down	RP	down
heat-trapping	NN	<unknown>
,	,	,
climate-changing	VBG	climate-change
emissions	NNS	emission
in	IN	in
the	DT	the
atmosphere	NN	atmosphere
—	:	-
not	RB	not
"	``	"
someday	RB	someday
,	,	,
maybe	RB	maybe
,	,	,
if	IN	if
we	PP	we
'	POS	'
re	NN	re
lucky	JJ	lucky
"	''	"
solutions	NNS	solution
,	,	,
the	DT	the
80	CD	@card@
best	JJS	good
practices	NNS	practice
and	CC	and
technologies	NNS	technology
already	RB	already
in	IN	in
hand	NN	hand
:	:	:
clean	JJ	clean
,	,	,
renewable	JJ	renewable
energy	NN	energy
,	,	,
including	VBG	include
solar	JJ	solar
and	CC	and
wind	NN	wind
;	:	;
green	JJ	green
buildings	NNS	building
,	,	,
both	CC	both
new	JJ	new
and	CC	and
retrofitted	VBN	retrofit
;	:	;
efficient	JJ	efficient
transportation	NN	transportation
from	IN	from
Brazil	NP	Brazil
to	TO	to
China	NP	China
;	:	;
thriving	JJ	thriving
