Why	WRB	why
do	VBP	do
so	RB	so
many	JJ	many
people	NNS	people
reach	VBP	reach
success	NN	success
and	CC	and
then	RB	then
fail	VB	fail
?	SENT	?
One	CD	one
of	IN	of
the	DT	the
big	JJ	big
reasons	NNS	reason
is	VBZ	be
,	,	,
we	PP	we
think	VBP	think
success	NN	success
is	VBZ	be
a	DT	a
one-way	JJ	one-way
street	NN	street
.	SENT	.
So	RB	so
we	PP	we
do	VBP	do
everything	NN	everything
that	WDT	that
leads	VBZ	lead
up	RP	up
to	TO	to
success	NN	success
,	,	,
but	CC	but
then	RB	then
we	PP	we
get	VBP	get
there	RB	there
.	SENT	.
We	PP	we
figure	VBP	figure
we	PP	we
'	''	'
ve	NNS	<unknown>
made	VBD	make
it	PP	it
,	,	,
we	PP	we
sit	VBP	sit
back	RB	back
in	IN	in
our	PP$	our
comfort	NN	comfort
zone	NN	zone
,	,	,
and	CC	and
we	PP	we
actually	RB	actually
stop	VB	stop
doing	VBG	do
everything	NN	everything
that	WDT	that
made	VBD	make
us	PP	us
successful	JJ	successful
.	SENT	.
And	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
take	VB	take
long	RB	long
to	TO	to
go	VB	go
downhill	RB	downhill
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
this	DT	this
happens	VBZ	happen
,	,	,
because	IN	because
it	PP	it
happened	VBD	happen
to	TO	to
me	PP	me
.	SENT	.
Reaching	VBG	reach
success	NN	success
,	,	,
I	PP	I
worked	VBD	work
hard	RB	hard
,	,	,
I	PP	I
pushed	VBD	push
myself	PP	myself
.	SENT	.
But	CC	but
then	RB	then
I	PP	I
stopped	VBD	stop
,	,	,
because	IN	because
I	PP	I
figured	VBD	figure
,	,	,
"	``	"
Oh	UH	oh
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
made	VBD	make
it	PP	it
.	SENT	.
I	PP	I
can	MD	can
just	RB	just
sit	VB	sit
back	RB	back
and	CC	and
relax	VB	relax
.	SENT	.
"	''	"
Reaching	VBG	reach
success	NN	success
,	,	,
I	PP	I
always	RB	always
tried	VBD	try
to	TO	to
improve	VB	improve
and	CC	and
do	VB	do
good	JJ	good
work	NN	work
.	SENT	.
But	CC	but
then	RB	then
I	PP	I
stopped	VBD	stop
because	IN	because
I	PP	I
figured	VBD	figure
,	,	,
"	``	"
Hey	NP	Hey
,	,	,
I	NP	I
'	POS	'
m	NN	m
good	JJ	good
enough	NN	enough
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
improve	VB	improve
any	DT	any
more	RBR	more
.	SENT	.
"	''	"
Reaching	VBG	reach
success	NN	success
,	,	,
I	PP	I
was	VBD	be
pretty	RB	pretty
good	JJ	good
at	IN	at
coming	VBG	come
up	RP	up
with	IN	with
good	JJ	good
ideas	NNS	idea
.	SENT	.
Because	IN	because
I	PP	I
did	VBD	do
all	PDT	all
these	DT	these
simple	JJ	simple
things	NNS	thing
that	WDT	that
led	VBD	lead
to	TO	to
ideas	NNS	idea
.	SENT	.
But	CC	but
then	RB	then
I	PP	I
stopped	VBD	stop
,	,	,
because	IN	because
I	PP	I
figured	VBD	figure
I	PP	I
was	VBD	be
this	DT	this
hot-shot	NN	hot-shot
guy	NN	guy
and	CC	and
I	PP	I
shouldn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
work	VB	work
at	IN	at
ideas	NNS	idea
,	,	,
they	PP	they
should	MD	should
just	RB	just
come	VB	come
like	IN	like
magic	NN	magic
.	SENT	.
And	CC	and
the	DT	the
only	JJ	only
thing	NN	thing
that	WDT	that
came	VBD	come
was	VBD	be
creative	JJ	creative
block	NN	block
.	SENT	.
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
come	VBN	come
up	RP	up
with	IN	with
any	DT	any
ideas	NNS	idea
.	SENT	.
Reaching	VBG	reach
success	NN	success
,	,	,
I	PP	I
always	RB	always
focused	VBD	focus
on	IN	on
clients	NNS	client
and	CC	and
projects	NNS	project
,	,	,
and	CC	and
ignored	VBD	ignore
the	DT	the
money	NN	money
.	SENT	.
Then	RB	then
all	PDT	all
this	DT	this
money	NN	money
started	VBD	start
pouring	VBG	pour
in	IN	in
.	SENT	.
And	CC	and
I	PP	I
got	VBD	get
distracted	VBN	distract
by	IN	by
it	PP	it
.	SENT	.
And	CC	and
suddenly	RB	suddenly
I	PP	I
was	VBD	be
on	IN	on
the	DT	the
phone	NN	phone
to	TO	to
my	PP$	my
stockbroker	NN	stockbroker
and	CC	and
my	PP$	my
real	JJ	real
estate	NN	estate
agent	NN	agent
,	,	,
when	WRB	when
I	PP	I
should	MD	should
have	VB	have
been	VBN	be
talking	VBG	talk
to	TO	to
my	PP$	my
clients	NNS	client
.	SENT	.
And	CC	and
reaching	VBG	reach
success	NN	success
,	,	,
I	PP	I
always	RB	always
did	VBD	do
what	WP	what
I	PP	I
loved	VBD	love
.	SENT	.
But	CC	but
then	RB	then
I	PP	I
got	VBD	get
into	IN	into
stuff	NN	stuff
that	IN	that
I	PP	I
didn	NNS	<unknown>
'	POS	'
t	NN	t
love	NN	love
,	,	,
like	IN	like
management	NN	management
.	SENT	.
I	PP	I
am	VBP	be
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
worst	JJS	bad
manager	NN	manager
,	,	,
but	CC	but
I	PP	I
figured	VBD	figure
I	PP	I
should	MD	should
be	VB	be
doing	VBG	do
it	PP	it
,	,	,
because	IN	because
I	PP	I
