Welcome	JJ	welcome
to	TO	to
Africa	NP	Africa
.	SENT	.
We	PP	we
are	VBP	be
a	DT	a
continent	NN	continent
that	WDT	that
is	VBZ	be
rich	JJ	rich
in	IN	in
diversity	NN	diversity
.	SENT	.
We	PP	we
have	VBP	have
diverse	JJ	diverse
resources	NNS	resource
.	SENT	.
In	IN	in
Botswana	NP	Botswana
,	,	,
you	PP	you
can	MD	can
find	VB	find
diamonds	NNS	diamond
.	SENT	.
In	IN	in
DR	NP	DR
Congo	NP	Congo
,	,	,
there	EX	there
'	''	'
s	NN	S
cobalt	NN	cobalt
.	SENT	.
And	CC	and
in	IN	in
Ghana	NP	Ghana
,	,	,
you	PP	you
find	VBP	find
gold	NN	gold
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
food	NN	food
.	SENT	.
Africans	NNS	African
have	VBP	have
found	VBN	find
countless	JJ	countless
ways	NNS	way
to	TO	to
prepare	VB	prepare
rice	NN	rice
,	,	,
from	IN	from
the	DT	the
jollof	NP	<unknown>
in	IN	in
the	DT	the
west	NN	west
to	TO	to
the	DT	the
pilau	NN	pilau
in	IN	in
the	DT	the
east	JJ	east
.	SENT	.
But	CC	but
for	IN	for
me	PP	me
,	,	,
our	PP$	our
most	RBS	most
fascinating	JJ	fascinating
diversity	NN	diversity
is	VBZ	be
our	PP$	our
dance	NN	dance
.	SENT	.
I	PP	I
am	VBP	be
passionate	JJ	passionate
about	IN	about
African	JJ	African
dance	NN	dance
because	IN	because
I	PP	I
'	POS	'
m	NN	m
a	DT	a
dancer	NN	dancer
and	CC	and
I	PP	I
'	POS	'
m	NN	m
African	JJ	African
.	SENT	.
But	CC	but
I	PP	I
also	RB	also
believe	VBP	believe
that	IN	that
dance	NN	dance
is	VBZ	be
important	JJ	important
,	,	,
and	CC	and
through	IN	through
it	PP	it
we	PP	we
can	MD	can
learn	VB	learn
so	RB	so
much	RB	much
about	IN	about
our	PP$	our
history	NN	history
and	CC	and
where	WRB	where
we	PP	we
come	VBP	come
from	IN	from
.	SENT	.
If	IN	if
the	DT	the
African	JJ	African
culture	NN	culture
was	VBD	be
a	DT	a
tree	NN	tree
,	,	,
then	RB	then
I	PP	I
think	VBP	think
dance	NN	dance
would	MD	would
be	VB	be
its	PP$	its
flowers	NNS	flower
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
African	JJ	African
dance	NN	dance
of	IN	of
today	NN	today
,	,	,
you	PP	you
find	VBP	find
that	IN	that
its	PP$	its
core	NN	core
foundation	NN	foundation
is	VBZ	be
traditional	JJ	traditional
dance	NN	dance
,	,	,
and	CC	and
these	DT	these
are	VBP	be
dances	NNS	dance
that	WDT	that
were	VBD	be
created	VBN	create
with	IN	with
a	DT	a
specific	JJ	specific
purpose	NN	purpose
,	,	,
for	IN	for
a	DT	a
ceremony	NN	ceremony
or	CC	or
a	DT	a
celebration	NN	celebration
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
for	IN	for
war	NN	war
,	,	,
for	IN	for
coming	VBG	come
of	IN	of
age	NN	age
or	CC	or
even	RB	even
to	TO	to
bring	VB	bring
rain	NN	rain
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
really	RB	really
interesting	JJ	interesting
with	IN	with
traditional	JJ	traditional
dance	NN	dance
is	VBZ	be
that	IN	that
through	IN	through
it	PP	it
you	PP	you
can	MD	can
almost	RB	almost
paint	VB	paint
this	DT	this
visual	JJ	visual
map	NN	map
of	IN	of
migration	NN	migration
.	SENT	.
And	CC	and
so	RB	so
through	IN	through
the	DT	the
movement	NN	movement
of	IN	of
a	DT	a
dance	NN	dance
,	,	,
you	PP	you
can	MD	can
trace	VB	trace
the	DT	the
movement	NN	movement
of	IN	of
people	NNS	people
.	SENT	.
And	CC	and
so	RB	so
even	RB	even
though	IN	though
Africa	NP	Africa
is	VBZ	be
the	DT	the
most	RBS	most
diverse	JJ	diverse
continent	NN	continent
in	IN	in
the	DT	the
world	NN	world
,	,	,
we	PP	we
'	POS	'
re	NN	re
also	RB	also
much	RB	much
more	RBR	more
connected	JJ	connected
than	IN	than
we	PP	we
think	VBP	think
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
take	VBP	take
the	DT	the
Zulu	NP	Zulu
Kingdom	NP	Kingdom
.	SENT	.
In	IN	in
the	DT	the
1800s	NP	<unknown>
,	,	,
the	DT	the
Zulus	NN	Zulus
were	VBD	be
mighty	JJ	mighty
warriors	NNS	warrior
,	,	,
ruled	VBN	rule
by	IN	by
a	DT	a
fierce	JJ	fierce
and	CC	and
brutal	JJ	brutal
king	NN	king
known	VBN	know
as	IN	as
Shaka	NP	<unknown>
Zulu	NP	Zulu
.	SENT	.
A	DT	a
wave	NN	wave
of	IN	of
Zulu	NP	Zulu
people	NNS	people
proceeded	VBD	proceed
outward	RB	outward
into	IN	into
the	DT	the
eastern	JJ	eastern
and	CC	and
central	JJ	central
region	NN	region
of	IN	of
Africa	NP	Africa
,	,	,
where	WRB	where
they	PP	they
became	VBD	become
known	VBN	know
by	IN	by
new	JJ	new
names	NNS	name
,	,	,
like	IN	like
the	DT	the
Ngoni	NP	<unknown>
and	CC	and
the	DT	the
Ndebele	NP	Ndebele
of	IN	of
Zimbabwe	NP	Zimbabwe
.	SENT	.
Three	CD	three
dances	NNS	dance
from	IN	from
these	DT	these
regions	NNS	region
are	VBP	be
known	VBN	know
as	IN	as
indlamu	NP	<unknown>
,	,	,
isitshikitsha	NN	<unknown>
and	CC	and
ngoma	NN	ngoma
.	SENT	.
These	DT	these
dances	NNS	dance
are	VBP	be
essentially	RB	essentially
cousins	NNS	cousin
.	SENT	.
They	PP	they
come	VBP	come
from	IN	from
their	PP$	their
own	JJ	own
families	NNS	family
,	,	,
but	CC	but
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
them	PP	them
,	,	,
you	PP	you
see	VBP	see
the	DT	the
power	NN	power
of	IN	of
Shaka	NP	<unknown>
Zulu	NP	Zulu
'	POS	'
s	JJ	<unknown>
Kingdom	NP	Kingdom
.	SENT	.
[	SYM	[
Ndebele	NP	Ndebele
isitshkitsha	JJ	<unknown>
dance	NN	dance
]	SYM	]
[	SYM	[
Ngoni	NP	<unknown>
ngoma	NN	ngoma
dance	NN	dance
]	SYM	]
[	SYM	[
Zulu	NP	Zulu
indlamu	JJ	<unknown>
dance	NN	dance
]	SYM	]
In	IN	in
the	DT	the
DRC	NP	DRC
,	,	,
we	PP	we
find	VBP	find
the	DT	the
Luba	NP	Luba
ethnic	JJ	ethnic
group	NN	group
,	,	,
and	CC	and
they	PP	they
have	VBP	have
a	DT	a
traditional	JJ	traditional
dance	NN	dance
called	VBN	call
mutuashi	NP	<unknown>
.	SENT	.
This	DT	this
dance	NN	dance
was	VBD	be
used	VBN	use
to	TO	to
celebrate	VB	celebrate
fertility	NN	fertility
and	CC	and
visually	RB	visually
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
liberation	NN	liberation
of	IN	of
a	DT	a
woman	NN	woman
'	POS	'
s	NN	S
waist	NN	waist
.	SENT	.
But	CC	but
a	DT	a
mutuashi	NN	<unknown>
dancer	NN	dancer
,	,	,
someone	NN	someone
performing	VBG	perform
a	DT	a
traditional	JJ	traditional
dance	NN	dance
,	,	,
could	MD	could
cause	VB	cause
a	DT	a
lot	NN	lot
of	IN	of
controversy	NN	controversy
to	TO	to
those	DT	those
who	WP	who
had	VBD	have
adopted	VBN	adopt
a	DT	a
more	RBR	more
conservative	JJ	conservative
mindset	NN	mindset
from	IN	from
the	DT	the
West	NP	West
.	SENT	.
In	IN	in
Zambia	NP	Zambia
,	,	,
we	PP	we
find	VBP	find
the	DT	the
Bemba	NP	<unknown>
ethnic	JJ	ethnic
group	NN	group
who	WP	who
are	VBP	be
descendants	NNS	descendant
of	IN	of
the	DT	the
Luba	NP	Luba
people	NNS	people
,	,	,
and	CC	and
so	RB	so
they	PP	they
share	VBP	share
similar	JJ	similar
dances	NNS	dance
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
Bemba	NP	<unknown>
dances	NNS	dance
is	VBZ	be
called	VBN	call
infunkutu	NN	<unknown>
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
normally	RB	normally
seen	VBN	see
at	IN	at
a	DT	a
lady	NN	lady
'	POS	'
s	JJ	<unknown>
pre-marriage	NN	pre-marriage
ceremony	NN	ceremony
.	SENT	.
Just	RB	just
like	IN	like
the	DT	the
Luba	NP	Luba
people	NNS	people
,	,	,
this	DT	this
dance	NN	dance
is	VBZ	be
a	DT	a
celebration	NN	celebration
of	IN	of
a	DT	a
woman	NN	woman
.	SENT	.
[	SYM	[
Baluba	NP	<unknown>
mutuashi	JJ	<unknown>
dance	NN	dance
]	SYM	]
[	SYM	[
Bemba	NP	<unknown>
infunkutu	JJ	<unknown>
dance	NN	dance
]	SYM	]
If	IN	if
we	PP	we
move	VBP	move
into	IN	into
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
Africa	NP	Africa
,	,	,
we	PP	we
find	VBP	find
a	DT	a
showcase	NN	showcase
of	IN	of
the	DT	the
shoulders	NNS	shoulder
.	SENT	.
The	DT	the
eskista	NN	<unknown>
from	IN	from
Ethiopia	NP	Ethiopia
supposedly	RB	supposedly
imitates	VBZ	imitate
the	DT	the
shaking	VBG	shake
of	IN	of
a	DT	a
rattlesnake	NN	rattlesnake
,	,	,
and	CC	and
it	PP	it
closely	RB	closely
resembles	VBZ	resemble
two	CD	two
other	JJ	other
dances	NNS	dance
from	IN	from
its	PP$	its
neighboring	JJ	neighboring
countries	NNS	country
:	:	:
the	DT	the
quda	NN	<unknown>
in	IN	in
Eritrea	NP	Eritrea
and	CC	and
the	DT	the
kamabeka	NN	<unknown>
from	IN	from
Kenya	NP	Kenya
.	SENT	.
These	DT	these
dances	NNS	dance
are	VBP	be
performed	VBN	perform
to	TO	to
different	JJ	different
rhythms	NNS	rhythm
,	,	,
but	CC	but
their	PP$	their
core	NN	core
movement	NN	movement
remains	VBZ	remain
the	DT	the
same	JJ	same
.	SENT	.
[	SYM	[
Bukusu	NP	<unknown>
kamabeka	JJ	<unknown>
dance	NN	dance
]	SYM	]
[	SYM	[
Ethiopia	NN	Ethiopia
eskista	JJ	<unknown>
dance	NN	dance
]	SYM	]
[	SYM	[
Tigrinya	NP	<unknown>
quda	JJ	<unknown>
dance	NN	dance
]	SYM	]
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
only	JJ	only
migration	NN	migration
that	IN	that
separated	JJ	separated
ethnic	JJ	ethnic
groups	NNS	group
but	CC	but
also	RB	also
the	DT	the
artificial	JJ	artificial
borders	NNS	border
that	WDT	that
were	VBD	be
drawn	VBN	draw
by	IN	by
some	DT	some
guys	NNS	guy
from	IN	from
overseas	RB	overseas
.	SENT	.
In	IN	in
Ghana	NP	Ghana
,	,	,
Togo	NP	Togo
,	,	,
Benin	NP	Benin
and	CC	and
Nigeria	NP	Nigeria
,	,	,
there	EX	there
were	VBD	be
once	RB	once
no	DT	no
border	NN	border
distinctions	NNS	distinction
and	CC	and
no	DT	no
movement	NN	movement
restrictions	NNS	restriction
.	SENT	.
The	DT	the
Ewe	NN	ewe
people	NNS	people
