Meg	NP	Meg
Jay	NP	Jay
:	:	:
We	PP	we
need	VBP	need
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
empathy	NN	empathy
gap	NN	gap
.	SENT	.
So	IN	so
the	DT	the
empathy	NN	empathy
gap	NN	gap
is	VBZ	be
why	WRB	why
we	PP	we
sometimes	RB	sometimes
hate	VBP	hate
on	IN	on
people	NNS	people
on	IN	on
the	DT	the
other	JJ	other
end	NN	end
of	IN	of
the	DT	the
political	JJ	political
spectrum	NN	spectrum
.	SENT	.
Or	CC	or
it	PP	it
'	POS	'
s	NN	S
why	WRB	why
maybe	RB	maybe
we	PP	we
shrug	VB	shrug
their	PP$	their
shoulders	NNS	shoulder
at	IN	at
the	DT	the
problems	NNS	problem
of	IN	of
those	DT	those
who	WP	who
look	VBP	look
different	JJ	different
or	CC	or
live	JJ	live
different	JJ	different
or	CC	or
love	VB	love
different	JJ	different
than	IN	than
we	PP	we
do	VBP	do
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
almost	RB	almost
certainly	RB	certainly
aren	NNS	<unknown>
'	POS	'
t	NN	t
doing	VBG	do
enough	RB	enough
to	TO	to
protect	VB	protect
our	PP$	our
kids	NNS	kid
and	CC	and
grandkids	NNS	grandkid
from	IN	from
climate	NN	climate
change	NN	change
.	SENT	.
It	PP	it
can	MD	can
just	RB	just
be	VB	be
difficult	JJ	difficult
sometimes	RB	sometimes
to	TO	to
care	VB	care
about	IN	about
people	NNS	people
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
know	VB	know
or	CC	or
to	TO	to
do	VB	do
right	NN	right
by	IN	by
people	NNS	people
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
even	RB	even
exist	VBP	exist
yet	RB	yet
.	SENT	.
But	CC	but
what	WP	what
if	IN	if
I	PP	I
told	VBD	tell
you	PP	you
that	IN	that
that	DT	that
same	JJ	same
empathy	NN	empathy
gap	NN	gap
can	MD	can
also	RB	also
get	VB	get
in	IN	in
the	DT	the
way	NN	way
of	IN	of
us	PP	us
doing	VBG	do
right	RB	right
by	IN	by
ourselves	PP	ourselves
in	IN	in
our	PP$	our
20s	NNS	20s
and	CC	and
beyond	IN	beyond
?	SENT	?
And	CC	and
before	IN	before
I	PP	I
go	VBP	go
on	RP	on
,	,	,
let	VB	let
me	PP	me
say	VBP	say
that	IN	that
everything	NN	everything
I	NP	I
'	POS	'
m	NN	m
about	RB	about
to	TO	to
talk	VB	talk
about	RB	about
also	RB	also
applies	VBZ	apply
to	TO	to
all	DT	all
of	IN	of
us	PP	us
out	IN	out
there	EX	there
who	WP	who
are	VBP	be
well	RB	well
beyond	IN	beyond
our	PP$	our
20s	NNS	20s
.	SENT	.
But	CC	but
for	IN	for
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
background	NN	background
,	,	,
in	IN	in
2013	CD	@card@
,	,	,
I	PP	I
gave	VBD	give
a	DT	a
talk	NN	talk
about	IN	about
why	WRB	why
our	PP$	our
twenties	NNS	twenty
matter	NN	matter
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
about	IN	about
almost	RB	almost
10	CD	@card@
years	NNS	year
later	RBR	later
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
still	RB	still
a	DT	a
clinical	JJ	clinical
psychologist	NN	psychologist
who	WP	who
specializes	VBZ	specialize
in	IN	in
20-somethings	NNS	20-something
.	SENT	.
But	CC	but
these	DT	these
days	NNS	day
,	,	,
the	DT	the
20-somethings	NNS	20-something
I	PP	I
see	VBP	see
,	,	,
they	PP	they
know	VBP	know
their	PP$	their
20s	NNS	20s
matter	NN	matter
.	SENT	.
So	RB	so
they	PP	they
want	VBP	want
to	TO	to
get	VB	get
them	PP	them
right	RB	right
.	SENT	.
They	PP	they
want	VBP	want
to	TO	to
move	VB	move
to	TO	to
the	DT	the
right	JJ	right
city	NN	city
.	SENT	.
They	PP	they
want	VBP	want
to	TO	to
take	VB	take
the	DT	the
right	JJ	right
job	NN	job
.	SENT	.
They	PP	they
want	VBP	want
to	TO	to
find	VB	find
the	DT	the
right	JJ	right
partner	NN	partner
.	SENT	.
They	PP	they
want	VBP	want
to	TO	to
have	VB	have
the	DT	the
right	JJ	right
answers	NNS	answer
.	SENT	.
Well	RB	well
,	,	,
the	DT	the
bad	JJ	bad
news	NN	news
is	VBZ	be
there	EX	there
are	VBP	be
no	DT	no
right	JJ	right
answers	NNS	answer
.	SENT	.
There	EX	there
are	VBP	be
no	DT	no
right	JJ	right
answers	NNS	answer
for	IN	for
where	WRB	where
you	PP	you
should	MD	should
live	VB	live
or	CC	or
where	WRB	where
you	PP	you
should	MD	should
work	VB	work
or	CC	or
how	WRB	how
you	PP	you
should	MD	should
settle	VB	settle
down	RP	down
.	SENT	.
These	DT	these
are	VBP	be
what	WP	what
are	VBP	be
called	VBN	call
"	``	"
large	JJ	large
world	NN	world
problems	NNS	problem
"	``	"
because	IN	because
there	EX	there
are	VBP	be
just	RB	just
too	RB	too
many	JJ	many
unknowns	NNS	unknown
.	SENT	.
No	DT	no
app	NP	App
,	,	,
no	DT	no
algorithm	NN	algorithm
,	,	,
no	DT	no
enneagram	NN	<unknown>
can	MD	can
ever	RB	ever
solve	VB	solve
these	DT	these
problems	NNS	problem
or	CC	or
answer	VB	answer
these	DT	these
questions	NNS	question
for	IN	for
you	PP	you
.	SENT	.
But	CC	but
the	DT	the
good	JJ	good
news	NN	news
is	VBZ	be
,	,	,
because	IN	because
there	EX	there
are	VBP	be
no	DT	no
right	JJ	right
answers	NNS	answer
,	,	,
there	EX	there
are	VBP	be
no	DT	no
wrong	JJ	wrong
answers	NNS	answer
.	SENT	.
There	EX	there
are	VBP	be
only	RB	only
your	PP$	your
answers	NNS	answer
.	SENT	.
So	IN	so
your	PP$	your
20s	NNS	20s
are	VBP	be
a	DT	a
great	JJ	great
time	NN	time
to	TO	to
listen	VB	listen
to	TO	to
and	CC	and
be	VB	be
honest	JJ	honest
with	IN	with
yourself	PP	yourself
.	SENT	.
They	PP	they
'	''	'
re	IN	re
a	DT	a
great	JJ	great
time	NN	time
to	TO	to
have	VB	have
a	DT	a
conversation	NN	conversation
with	IN	with
your	PP$	your
future	JJ	future
self	NN	self
.	SENT	.
So	IN	so
philosopher	NN	philosopher
Derek	NP	Derek
Parfit	NP	<unknown>
said	VBD	say
we	PP	we
neglect	VB	neglect
our	PP$	our
future	JJ	future
selves	NNS	self
because	IN	because
of	IN	of
some	DT	some
sort	NN	sort
of	IN	of
failure	NN	failure
of	IN	of
belief	NN	belief
or	CC	or
imagination	NN	imagination
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
say	VB	say
that	IN	that
again	RB	again
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
:	:	:
we	PP	we
neglect	VBP	neglect
our	PP$	our
future	JJ	future
selves	NNS	self
because	IN	because
of	IN	of
some	DT	some
sort	NN	sort
of	IN	of
failure	NN	failure
of	IN	of
belief	NN	belief
or	CC	or
imagination	NN	imagination
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
young	JJ	young
,	,	,
it	PP	it
can	MD	can
be	VB	be
difficult	JJ	difficult
to	TO	to
imagine	VB	imagine
or	CC	or
believe	VBP	believe
that	IN	that
you	PP	you
could	MD	could
ever	RB	ever
really	RB	really
be	VB	be
35	CD	@card@
,	,	,
especially	RB	especially
when	WRB	when
most	JJS	most
of	IN	of
the	DT	the
influencers	NNS	influencer
you	PP	you
see	VBP	see
on	IN	on
Instagram	NP	<unknown>
or	CC	or
TikTok	NP	<unknown>
are	VBP	be
younger	JJR	young
than	IN	than
that	DT	that
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
problem	NN	problem
because	IN	because
research	NN	research
shows	VBZ	show
that	IN	that
our	PP$	our
brains	NNS	brain
think	VBP	think
about	IN	about
our	PP$	our
future	JJ	future
selves	NNS	self
similarly	RB	similarly
to	TO	to
how	WRB	how
they	PP	they
think	VBP	think
about	IN	about
strangers	NNS	stranger
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
empathy	NN	empathy
gap	NN	gap
comes	VBZ	come
in	IN	in
.	SENT	.
It	PP	it
can	MD	can
be	VB	be
difficult	JJ	difficult
for	IN	for
us	PP	us
to	TO	to
care	VB	care
about	IN	about
a	DT	a
version	NN	version
of	IN	of
ourselves	PP	ourselves
that	IN	that
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
met	VBD	meet
yet	RB	yet
.	SENT	.
Yet	RB	yet
research	NN	research
also	RB	also
shows	VBZ	show
that	IN	that
if	IN	if
we	PP	we
find	VBP	find
a	DT	a
way	NN	way
to	TO	to
close	VB	close
that	DT	that
empathy	NN	empathy
gap	NN	gap
between	IN	between
our	PP$	our
present	JJ	present
selves	NNS	self
and	CC	and
our	PP$	our
future	JJ	future
selves	NNS	self
,	,	,
we	PP	we
start	VBP	start
to	TO	to
think	VB	think
more	JJR	more
about	IN	about
what	WP	what
we	PP	we
could	MD	could
do	VB	do
now	RB	now
to	TO	to
be	VB	be
kind	JJ	kind
to	TO	to
ourselves	PP	ourselves
down	IN	down
the	DT	the
line	NN	line
.	SENT	.
So	RB	so
in	IN	in
one	CD	one
of	IN	of
my	PP$	my
favorite	JJ	favorite
studies	NNS	study
on	IN	on
this	DT	this
,	,	,
researchers	NNS	researcher
used	VBD	use
virtual	JJ	virtual
reality	NN	reality
to	TO	to
show	VB	show
20-somethings	NNS	20-something
what	WP	what
they	PP	they
would	MD	would
look	VB	look
like	IN	like
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
old	JJ	old
.	SENT	.
Scary	JJ	scary
,	,	,
I	PP	I
know	VBP	know
,	,	,
but	CC	but
the	DT	the
20-somethings	NNS	20-something
who	WP	who
saw	VBD	see
their	PP$	their
age-morphed	JJ	<unknown>
selves	NNS	self
,	,	,
set	VBD	set
aside	RB	aside
more	JJR	more
money	NN	money
towards	IN	towards
retirement	NN	retirement
than	IN	than
those	DT	those
who	WP	who
didn	NN	<unknown>
'	POS	'
t	NN	t
.	SENT	.
So	RB	so
I	PP	I
don	VB	don
'	''	'
t	NN	t
have	VBP	have
virtual	JJ	virtual
reality	NN	reality
in	IN	in
my	PP$	my
office	NN	office
and	CC	and
saving	VBG	save
for	IN	for
retirement	NN	retirement
isn	NN	isn
'	POS	'
t	NN	t
something	NN	something
that	WDT	that
comes	VBZ	come
up	RP	up
a	DT	a
whole	JJ	whole
lot	NN	lot
.	SENT	.
But	CC	but
what	WP	what
does	VBZ	do
come	VB	come
up	RP	up
a	DT	a
whole	JJ	whole
lot	NN	lot
is	VBZ	be
that	IN	that
about	RB	about
85	CD	@card@
percent	NN	percent
of	IN	of
life	NN	life
'	POS	'
s	JJ	<unknown>
most	JJS	most
defining	VBG	define
moments	NNS	moment
take	VB	take
place	NN	place
by	IN	by
around	IN	around
age	NN	age
35	CD	@card@
.	SENT	.
So	RB	so
I	PP	I
ask	VBP	ask
my	PP$	my
clients	NNS	client
to	TO	to
imagine	VB	imagine
themselves	PP	themselves
at	IN	at
age	NN	age
35	CD	@card@
and	CC	and
I	PP	I
ask	VBP	ask
them	PP	them
to	TO	to
believe	VB	believe
in	IN	in
their	PP$	their
ability	NN	ability
to	TO	to
have	VB	have
created	VBN	create
those	DT	those
defining	VBG	define
moments	NNS	moment
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
ask	VBP	ask
them	PP	them
to	TO	to
get	VB	get
really	RB	really
specific	JJ	specific
about	IN	about
what	WP	what
they	PP	they
see	VBP	see
.	SENT	.
What	WP	what
do	VBP	do
I	PP	I
look	VBP	look
like	IN	like
,	,	,
where	WRB	where
do	VBP	do
I	PP	I
live	VBP	live
,	,	,
what	WP	what
do	VBP	do
I	PP	I
do	VBP	do
for	IN	for
work	NN	work
?	SENT	?
Do	VB	do
I	PP	I
enjoy	VB	enjoy
the	DT	the
work	NN	work
?	SENT	?
Is	VBZ	be
it	PP	it
meaningful	JJ	meaningful
?	SENT	?
Is	VBZ	be
it	PP	it
important	JJ	important
?	SENT	?
Does	VBZ	do
it	PP	it
pay	VB	pay
well	RB	well
?	SENT	?
Might	MD	might
these	DT	these
things	NNS	thing
be	VB	be
true	JJ	true
one	CD	one
day	NN	day
?	SENT	?
Which	WDT	which
of	IN	of
these	DT	these
things	NNS	thing
do	VBP	do
I	PP	I
really	RB	really
care	VBP	care
about	RB	about
?	SENT	?
What	WP	what
about	RB	about
after	IN	after
work	NN	work
?	SENT	?
Who	WP	who
do	VBP	do
I	PP	I
come	VBP	come
home	RB	home
to	TO	to
?	SENT	?
Do	VB	do
I	PP	I
have	VBP	have
a	DT	a
partner	NN	partner
?	SENT	?
What	WP	what
does	VBZ	do
that	IN	that
relationship	NN	relationship
look	NN	look
like	IN	like
?	SENT	?
How	WRB	how
does	VBZ	do
it	PP	it
look	VB	look
different	JJ	different
or	CC	or
