How	WRB	how
do	VBP	do
you	PP	you
feed	VBP	feed
a	DT	a
city	NN	city
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
great	JJ	great
questions	NNS	question
of	IN	of
our	PP$	our
time	NN	time
.	SENT	.
Yet	CC	yet
it	PP	it
'	POS	'
s	NN	S
one	CD	one
that	WDT	that
'	POS	'
s	NN	S
rarely	RB	rarely
asked	VBD	ask
.	SENT	.
We	PP	we
take	VBP	take
it	PP	it
for	IN	for
granted	VBD	grant
that	IN	that
if	IN	if
we	PP	we
go	VBP	go
into	IN	into
a	DT	a
shop	NN	shop
or	CC	or
restaurant	NN	restaurant
,	,	,
or	CC	or
indeed	RB	indeed
into	IN	into
this	DT	this
theater	NN	theater
'	POS	'
s	JJ	<unknown>
foyer	NN	foyer
in	IN	in
about	RB	about
an	DT	an
hour	NN	hour
'	POS	'
s	NN	S
time	NN	time
,	,	,
there	EX	there
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
food	NN	food
there	RB	there
waiting	VBG	wait
for	IN	for
us	PP	us
,	,	,
having	VBG	have
magically	RB	magically
come	VBN	come
from	IN	from
somewhere	RB	somewhere
.	SENT	.
But	CC	but
when	WRB	when
you	PP	you
think	VBP	think
that	IN	that
every	DT	every
day	NN	day
for	IN	for
a	DT	a
city	NN	city
the	DT	the
size	NN	size
of	IN	of
London	NP	London
,	,	,
enough	JJ	enough
food	NN	food
has	VBZ	have
to	TO	to
be	VB	be
produced	VBN	produce
,	,	,
transported	VBN	transport
,	,	,
bought	VBN	buy
and	CC	and
sold	VBN	sell
,	,	,
cooked	VBN	cook
,	,	,
eaten	VBN	eat
,	,	,
disposed	VBN	dispose
of	IN	of
,	,	,
and	CC	and
that	IN	that
something	NN	something
similar	JJ	similar
has	VBZ	have
to	TO	to
happen	VB	happen
every	DT	every
day	NN	day
for	IN	for
every	DT	every
city	NN	city
on	IN	on
earth	NN	earth
,	,	,
it	PP	it
'	POS	'
s	NN	S
remarkable	JJ	remarkable
that	IN	that
cities	NNS	city
get	VBP	get
fed	VBN	feed
at	IN	at
all	DT	all
.	SENT	.
We	PP	we
live	VBP	live
in	IN	in
places	NNS	place
like	IN	like
this	DT	this
as	RB	as
if	IN	if
they	PP	they
'	''	'
re	IN	re
the	DT	the
most	RBS	most
natural	JJ	natural
things	NNS	thing
in	IN	in
the	DT	the
world	NN	world
,	,	,
forgetting	VBG	forget
that	IN	that
because	IN	because
we	PP	we
'	POS	'
re	NN	re
animals	NNS	animal
and	CC	and
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
eat	VB	eat
,	,	,
we	PP	we
'	POS	'
re	NN	re
actually	RB	actually
as	RB	as
dependent	JJ	dependent
on	IN	on
the	DT	the
natural	JJ	natural
world	NN	world
as	IN	as
our	PP$	our
ancient	JJ	ancient
ancestors	NNS	ancestor
were	VBD	be
.	SENT	.
And	CC	and
as	IN	as
more	JJR	more
of	IN	of
us	PP	us
move	VBP	move
into	IN	into
cities	NNS	city
,	,	,
more	JJR	more
of	IN	of
that	DT	that
natural	JJ	natural
world	NN	world
is	VBZ	be
being	VBG	be
transformed	VBN	transform
into	IN	into
extraordinary	JJ	extraordinary
landscapes	NNS	landscape
like	IN	like
the	DT	the
one	CD	one
behind	IN	behind
me	PP	me
—	:	-
it	PP	it
'	POS	'
s	JJ	<unknown>
soybean	NN	soybean
fields	NNS	field
in	IN	in
Mato	NP	Mato
Grosso	NP	Grosso
in	IN	in
Brazil	NP	Brazil
—	:	-
in	IN	in
order	NN	order
to	TO	to
feed	VB	feed
us	PP	us
.	SENT	.
These	DT	these
are	VBP	be
extraordinary	JJ	extraordinary
landscapes	NNS	landscape
,	,	,
but	CC	but
few	JJ	few
of	IN	of
us	PP	us
ever	RB	ever
get	VBP	get
to	TO	to
see	VB	see
them	PP	them
.	SENT	.
And	CC	and
increasingly	RB	increasingly
these	DT	these
landscapes	NNS	landscape
are	VBP	be
not	RB	not
just	RB	just
feeding	VBG	feed
us	PP	us
either	RB	either
.	SENT	.
As	IN	as
more	JJR	more
of	IN	of
us	PP	us
move	VBP	move
into	IN	into
cities	NNS	city
,	,	,
more	JJR	more
of	IN	of
us	PP	us
are	VBP	be
eating	VBG	eat
meat	NN	meat
,	,	,
so	RB	so
that	IN	that
a	DT	a
third	JJ	third
of	IN	of
the	DT	the
annual	JJ	annual
grain	NN	grain
crop	NN	crop
globally	RB	globally
now	RB	now
gets	VBZ	get
fed	VBN	feed
to	TO	to
animals	NNS	animal
rather	RB	rather
than	IN	than
to	TO	to
us	PP	us
human	JJ	human
animals	NNS	animal
.	SENT	.
And	CC	and
given	VBN	give
that	IN	that
it	PP	it
takes	VBZ	take
three	CD	three
times	NNS	time
as	IN	as
much	JJ	much
grain	NN	grain
—	:	-
actually	RB	actually
ten	CD	ten
times	NNS	time
as	IN	as
much	JJ	much
grain	NN	grain
—	:	-
to	TO	to
feed	VB	feed
a	DT	a
human	JJ	human
if	IN	if
it	PP	it
'	POS	'
s	NN	S
passed	VBD	pass
through	IN	through
an	DT	an
animal	NN	animal
first	RB	first
,	,	,
that	IN	that
'	POS	'
s	NN	S
not	RB	not
a	DT	a
very	RB	very
efficient	JJ	efficient
way	NN	way
of	IN	of
feeding	VBG	feed
us	PP	us
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
an	DT	an
escalating	VBG	escalate
problem	NN	problem
too	RB	too
.	SENT	.
By	IN	by
2050	CD	@card@
,	,	,
it	PP	it
'	POS	'
s	NN	S
estimated	VBD	estimate
that	IN	that
twice	RB	twice
the	DT	the
number	NN	number
of	IN	of
us	PP	us
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
living	VBG	live
in	IN	in
cities	NNS	city
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
also	RB	also
estimated	VBD	estimate
that	IN	that
there	EX	there
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
twice	RB	twice
as	IN	as
much	JJ	much
meat	NN	meat
and	CC	and
dairy	NN	dairy
consumed	VBN	consume
.	SENT	.
So	IN	so
meat	NN	meat
and	CC	and
urbanism	NN	urbanism
are	VBP	be
rising	VBG	rise
hand	NN	hand
in	IN	in
hand	NN	hand
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
