June	NP	June
29	CD	@card@
,	,	,
2016	CD	@card@
.	SENT	.
My	PP$	my
dear	JJ	dear
fellow	JJ	fellow
citizen	NN	citizen
:	:	:
I	PP	I
write	VBP	write
to	TO	to
you	PP	you
today	NN	today
,	,	,
to	TO	to
you	PP	you
who	WP	who
have	VBP	have
lost	VBN	lose
in	IN	in
this	DT	this
era	NN	era
.	SENT	.
At	IN	at
this	DT	this
moment	NN	moment
in	IN	in
our	PP$	our
common	JJ	common
life	NN	life
,	,	,
when	WRB	when
the	DT	the
world	NN	world
is	VBZ	be
full	JJ	full
of	IN	of
breaking	NN	breaking
and	CC	and
spite	NN	spite
and	CC	and
fear	NN	fear
,	,	,
I	PP	I
address	VBP	address
this	DT	this
letter	NN	letter
simply	RB	simply
to	TO	to
you	PP	you
,	,	,
even	RB	even
though	IN	though
we	PP	we
both	CC	both
know	VBP	know
there	EX	there
are	VBP	be
many	JJ	many
of	IN	of
you	PP	you
behind	IN	behind
this	DT	this
"	``	"
you	PP	you
,	,	,
"	''	"
and	CC	and
many	JJ	many
of	IN	of
me	PP	me
behind	IN	behind
this	DT	this
"	``	"
I	NP	I
.	SENT	.
"	``	"
I	PP	I
write	VBP	write
to	TO	to
you	PP	you
because	IN	because
at	IN	at
present	NN	present
,	,	,
this	DT	this
quaking	VBG	quak
world	NN	world
we	PP	we
share	VBP	share
scares	VBZ	scare
me	PP	me
.	SENT	.
I	PP	I
gather	VBP	gather
it	PP	it
scares	VBZ	scare
you	PP	you
,	,	,
too	RB	too
.	SENT	.
Some	DT	some
of	IN	of
what	WP	what
we	PP	we
fear	VBP	fear
,	,	,
I	PP	I
suspect	VBP	suspect
,	,	,
we	PP	we
fear	VBP	fear
in	IN	in
common	JJ	common
.	SENT	.
But	CC	but
much	RB	much
of	IN	of
what	WP	what
we	PP	we
fear	VBP	fear
seems	VBZ	seem
to	TO	to
be	VB	be
each	DT	each
other	JJ	other
.	SENT	.
You	PP	you
fear	VBP	fear
the	DT	the
world	NN	world
I	PP	I
want	VBP	want
to	TO	to
live	VB	live
in	IN	in
,	,	,
and	CC	and
I	PP	I
fear	VBP	fear
your	PP$	your
visions	NNS	vision
in	IN	in
turn	NN	turn
.	SENT	.
Do	VB	do
you	PP	you
know	VB	know
that	WDT	that
feeling	NN	feeling
you	PP	you
get	VBP	get
when	WRB	when
you	PP	you
know	VBP	know
it	PP	it
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
storm	VB	storm
before	IN	before
it	PP	it
storms	VBZ	storm
?	SENT	?
Do	VB	do
you	PP	you
also	RB	also
feel	VBP	feel
that	IN	that
now	RB	now
,	,	,
fellow	JJ	fellow
citizen	NN	citizen
?	SENT	?
That	DT	that
malaise	NN	malaise
and	CC	and
worry	VBP	worry
that	IN	that
some	DT	some
who	WP	who
know	VBP	know
feel	NN	feel
reminds	VBZ	remind
them	PP	them
of	IN	of
the	DT	the
1930s	NNS	1930s
?	SENT	?
Perhaps	RB	perhaps
you	PP	you
don	VB	don
'	''	'
t	NN	t
,	,	,
because	IN	because
our	PP$	our
fears	NNS	fear
of	IN	of
each	DT	each
other	JJ	other
are	VBP	be
not	RB	not
in	IN	in
sync	NN	sync
.	SENT	.
In	IN	in
this	DT	this
round	NN	round
,	,	,
I	PP	I
sense	VBP	sense
that	IN	that
your	PP$	your
fears	NNS	fear
of	IN	of
me	PP	me
,	,	,
of	IN	of
the	DT	the
world	NN	world
that	IN	that
I	PP	I
have	VBP	have
insisted	VBN	insist
is	VBZ	be
right	RB	right
for	IN	for
us	PP	us
both	DT	both
,	,	,
has	VBZ	have
gathered	VBN	gather
over	IN	over
a	DT	a
generation	NN	generation
.	SENT	.
It	PP	it
took	VBD	take
time	NN	time
for	IN	for
your	PP$	your
fears	NNS	fear
to	TO	to
trigger	VB	trigger
my	PP$	my
fears	NNS	fear
,	,	,
not	RB	not
least	RBS	least
because	IN	because
at	IN	at
first	JJ	first
,	,	,
I	PP	I
never	RB	never
thought	VBD	think
I	PP	I
needed	VBD	need
to	TO	to
fear	VB	fear
you	PP	you
.	SENT	.
I	PP	I
heard	VBD	hear
you	PP	you
but	CC	but
did	VBD	do
not	RB	not
listen	VB	listen
,	,	,
all	RB	all
these	DT	these
years	NNS	year
when	WRB	when
you	PP	you
said	VBD	say
that	IN	that
this	DT	this
amazing	JJ	amazing
new	JJ	new
world	NN	world
wasn	NN	<unknown>
'	POS	'
t	NN	t
amazing	JJ	amazing
for	IN	for
you	PP	you
,	,	,
for	IN	for
many	JJ	many
of	IN	of
you	PP	you
,	,	,
across	IN	across
the	DT	the
industrialized	JJ	industrialized
world	NN	world
;	:	;
that	IN	that
the	DT	the
open	JJ	open
,	,	,
liquid	JJ	liquid
world	NN	world
I	PP	I
relished	VBD	relish
,	,	,
of	IN	of
people	NNS	people
and	CC	and
goods	NNS	good
and	CC	and
technologies	NNS	technology
flowing	VBG	flow
freely	RB	freely
,	,	,
going	VBG	go
where	WRB	where
they	PP	they
pleased	VBD	please
,	,	,
globally	RB	globally
,	,	,
was	VBD	be
not	RB	not
,	,	,
for	IN	for
you	PP	you
,	,	,
an	DT	an
emancipation	NN	emancipation
.	SENT	.
I	PP	I
have	VBP	have
walked	VBN	walk
through	IN	through
your	PP$	your
towns	NNS	town
and	CC	and
,	,	,
while	IN	while
looking	VBG	look
,	,	,
failed	VBD	fail
to	TO	to
see	VB	see
.	SENT	.
I	PP	I
did	VBD	do
notice	NN	notice
in	IN	in
Stephenville	NP	Stephenville
,	,	,
Texas	NP	Texas
,	,	,
that	IN	that
the	DT	the
town	NN	town
square	NN	square
was	VBD	be
dominated	VBN	dominate
by	IN	by
one	CD	one
lawyer	NN	lawyer
'	POS	'
s	JJ	<unknown>
office	NN	office
after	IN	after
another	DT	another
,	,	,
because	IN	because
of	IN	of
all	PDT	all
the	DT	the
people	NNS	people
rotating	VBG	rotate
in	RP	in
and	CC	and
out	RP	out
of	IN	of
the	DT	the
prison	NN	prison
.	SENT	.
I	PP	I
did	VBD	do
notice	VB	notice
the	DT	the
