When	WRB	when
we	PP	we
talk	VBP	talk
about	IN	about
corruption	NN	corruption
,	,	,
there	EX	there
are	VBP	be
typical	JJ	typical
types	NNS	type
of	IN	of
individuals	NNS	individual
that	WDT	that
spring	VBP	spring
to	TO	to
mind	VB	mind
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
former	JJ	former
Soviet	JJ	Soviet
megalomaniacs	NNS	megalomaniac
.	SENT	.
Saparmurat	NP	Saparmurat
Niyazov	NP	Niyazov
,	,	,
he	PP	he
was	VBD	be
one	CD	one
of	IN	of
them	PP	them
.	SENT	.
Until	IN	until
his	PP$	his
death	NN	death
in	IN	in
2006	CD	@card@
,	,	,
he	PP	he
was	VBD	be
the	DT	the
all-powerful	JJ	all-powerful
leader	NN	leader
of	IN	of
Turkmenistan	NP	Turkmenistan
,	,	,
a	DT	a
Central	JJ	central
Asian	JJ	Asian
country	NN	country
rich	JJ	rich
in	IN	in
natural	JJ	natural
gas	NN	gas
.	SENT	.
Now	RB	now
,	,	,
he	PP	he
really	RB	really
loved	VBD	love
to	TO	to
issue	VB	issue
presidential	JJ	presidential
decrees	NNS	decree
.	SENT	.
And	CC	and
one	PP	one
renamed	VBD	rename
the	DT	the
months	NNS	month
of	IN	of
the	DT	the
year	NN	year
including	VBG	include
after	IN	after
himself	PP	himself
and	CC	and
his	PP$	his
mother	NN	mother
.	SENT	.
He	PP	he
spent	VBD	spend
millions	NNS	million
of	IN	of
dollars	NNS	dollar
creating	VBG	create
a	DT	a
bizarre	JJ	bizarre
personality	NN	personality
cult	NN	cult
,	,	,
and	CC	and
his	PP$	his
crowning	VBG	crown
glory	NN	glory
was	VBD	be
the	DT	the
building	NN	building
of	IN	of
a	DT	a
40-foot-high	JJ	40-foot-high
gold-plated	VBN	gold-plate
statue	NN	statue
of	IN	of
himself	PP	himself
which	WDT	which
stood	VBD	stand
proudly	RB	proudly
in	IN	in
the	DT	the
capital	NN	capital
'	POS	'
s	JJ	<unknown>
central	JJ	central
square	NN	square
and	CC	and
rotated	VBD	rotate
to	TO	to
follow	VB	follow
the	DT	the
sun	NN	sun
.	SENT	.
He	PP	he
was	VBD	be
a	DT	a
slightly	RB	slightly
unusual	JJ	unusual
guy	NN	guy
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
that	DT	that
clich��	NN	<unknown>
,	,	,
the	DT	the
African	JJ	African
dictator	NN	dictator
or	CC	or
minister	NN	minister
or	CC	or
official	NN	official
.	SENT	.
There	EX	there
'	''	'
s	VBZ	<unknown>
Teodor��n	NP	<unknown>
Obiang	NP	<unknown>
.	SENT	.
So	IN	so
his	PP$	his
daddy	NN	daddy
is	VBZ	be
president	NN	president
for	IN	for
life	NN	life
of	IN	of
Equatorial	NP	Equatorial
Guinea	NP	Guinea
,	,	,
a	DT	a
West	JJ	West
African	JJ	African
nation	NN	nation
that	WDT	that
has	VBZ	have
exported	VBN	export
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
of	IN	of
oil	NN	oil
since	IN	since
the	DT	the
1990s	NNS	1990s
and	CC	and
yet	RB	yet
has	VBZ	have
a	DT	a
truly	RB	truly
appalling	JJ	appalling
human	JJ	human
rights	NNS	right
record	NN	record
.	SENT	.
The	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
its	PP$	its
people	NNS	people
are	VBP	be
living	VBG	live
in	IN	in
really	RB	really
miserable	JJ	miserable
poverty	NN	poverty
despite	IN	despite
an	DT	an
income	NN	income
per	IN	per
capita	NN	capita
that	RB	that
'	POS	'
s	NN	S
on	IN	on
a	DT	a
par	NN	par
with	IN	with
that	DT	that
of	IN	of
Portugal	NP	Portugal
.	SENT	.
So	RB	so
Obiang	NP	<unknown>
junior	NN	junior
,	,	,
well	RB	well
,	,	,
he	PP	he
buys	VBZ	buy
himself	PP	himself
a	DT	a
$30	JJ	$@card@
million	CD	million
mansion	NN	mansion
in	IN	in
Malibu	NP	Malibu
,	,	,
California	NP	California
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
up	RP	up
to	TO	to
its	PP$	its
front	JJ	front
gates	NNS	gate
.	SENT	.
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
it	PP	it
'	POS	'
s	NN	S
a	DT	a
magnificent	JJ	magnificent
spread	NN	spread
.	SENT	.
He	PP	he
bought	VBD	buy
an	DT	an
—	:	-
18	CD	@card@
million	CD	million
art	NN	art
collection	NN	collection
that	WDT	that
used	VBD	use
to	TO	to
belong	VB	belong
to	TO	to
fashion	NN	fashion
designer	NN	designer
Yves	NP	Yves
Saint	NP	Saint
Laurent	NP	Laurent
,	,	,
a	DT	a
stack	NN	stack
of	IN	of
fabulous	JJ	fabulous
sports	NNS	sport
cars	NNS	car
,	,	,
some	DT	some
costing	VBG	cost
a	DT	a
million	CD	million
dollars	NNS	dollar
apiece	RB	apiece
—	:	-
oh	UH	oh
,	,	,
and	CC	and
a	DT	a
Gulfstream	NP	Gulfstream
jet	NN	jet
,	,	,
too	RB	too
.	SENT	.
Now	RB	now
get	VB	get
this	DT	this
:	:	:
Until	IN	until
recently	RB	recently
,	,	,
he	PP	he
was	VBD	be
earning	VBG	earn
an	DT	an
official	JJ	official
monthly	JJ	monthly
salary	NN	salary
of	IN	of
less	JJR	less
than	IN	than
7	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBZ	<unknown>
Dan	NP	Dan
Etete	NP	<unknown>
.	SENT	.
Well	RB	well
,	,	,
he	PP	he
was	VBD	be
the	DT	the
former	JJ	former
oil	NN	oil
minister	NN	minister
of	IN	of
Nigeria	NP	Nigeria
under	IN	under
President	NP	President
Abacha	NP	Abacha
,	,	,
and	CC	and
it	PP	it
just	RB	just
so	RB	so
