Let	NP	Let
'	POS	'
s	NNS	<unknown>
talk	VBP	talk
dirty	JJ	dirty
.	SENT	.
A	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
,	,	,
oddly	RB	oddly
enough	RB	enough
,	,	,
I	PP	I
needed	VBD	need
the	DT	the
bathroom	NN	bathroom
,	,	,
and	CC	and
I	PP	I
found	VBD	find
one	CD	one
,	,	,
a	DT	a
public	JJ	public
bathroom	NN	bathroom
,	,	,
and	CC	and
I	PP	I
went	VBD	go
into	IN	into
the	DT	the
stall	NN	stall
,	,	,
and	CC	and
I	PP	I
prepared	VBD	prepare
to	TO	to
do	VB	do
what	WP	what
I	PP	I
'	POS	'
d	NN	d
done	VBN	do
most	JJS	most
of	IN	of
my	PP$	my
life	NN	life
:	:	:
use	VB	use
the	DT	the
toilet	NN	toilet
,	,	,
flush	VBP	flush
the	DT	the
toilet	NN	toilet
,	,	,
forget	VB	forget
about	IN	about
the	DT	the
toilet	NN	toilet
.	SENT	.
And	CC	and
for	IN	for
some	DT	some
reason	NN	reason
that	IN	that
day	NN	day
,	,	,
instead	RB	instead
,	,	,
I	PP	I
asked	VBD	ask
myself	PP	myself
a	DT	a
question	NN	question
,	,	,
and	CC	and
it	PP	it
was	VBD	be
,	,	,
where	WRB	where
does	VBZ	do
this	DT	this
stuff	NN	stuff
go	VB	go
?	SENT	?
And	CC	and
with	IN	with
that	DT	that
question	NN	question
,	,	,
I	PP	I
found	VBD	find
myself	PP	myself
plunged	VBD	plunge
into	IN	into
the	DT	the
world	NN	world
of	IN	of
sanitation	NN	sanitation
—	:	-
there	EX	there
'	''	'
s	RB	<unknown>
more	RBR	more
coming	VBG	come
—	:	-
—	:	-
sanitation	NN	sanitation
,	,	,
toilets	NNS	toilet
and	CC	and
poop	NN	poop
,	,	,
and	CC	and
I	PP	I
have	VBP	have
yet	RB	yet
to	TO	to
emerge	VB	emerge
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
because	IN	because
it	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
an	DT	an
enraging	VBG	enrage
,	,	,
yet	RB	yet
engaging	VBG	engage
place	NN	place
to	TO	to
be	VB	be
.	SENT	.
To	TO	to
go	VB	go
back	RB	back
to	TO	to
that	DT	that
toilet	NN	toilet
,	,	,
it	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
a	DT	a
particularly	RB	particularly
fancy	JJ	fancy
toilet	NN	toilet
,	,	,
it	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
as	IN	as
nice	JJ	nice
as	IN	as
this	DT	this
one	CD	one
from	IN	from
the	DT	the
World	NP	World
Toilet	NN	toilet
Organization	NP	Organization
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
other	JJ	other
WTO	NP	WTO
.	SENT	.
But	CC	but
it	PP	it
had	VBD	have
a	DT	a
lockable	JJ	lockable
door	NN	door
,	,	,
it	PP	it
had	VBD	have
privacy	NN	privacy
,	,	,
it	PP	it
had	VBD	have
water	NN	water
,	,	,
it	PP	it
had	VBD	have
soap	NN	soap
so	IN	so
I	PP	I
could	MD	could
wash	VB	wash
my	PP$	my
hands	NNS	hand
,	,	,
and	CC	and
I	PP	I
did	VBD	do
because	IN	because
I	PP	I
'	POS	'
m	NN	m
a	DT	a
woman	NN	woman
,	,	,
and	CC	and
we	PP	we
do	VBP	do
that	RB	that
.	SENT	.
But	CC	but
that	DT	that
day	NN	day
,	,	,
when	WRB	when
I	PP	I
asked	VBD	ask
that	DT	that
question	NN	question
,	,	,
I	PP	I
learned	VBD	learn
something	NN	something
,	,	,
and	CC	and
that	WDT	that
was	VBD	be
that	IN	that
I	NP	I
'	POS	'
d	NN	d
grown	VBN	grow
up	IN	up
thinking	VBG	think
that	IN	that
a	DT	a
toilet	NN	toilet
like	IN	like
that	WDT	that
was	VBD	be
my	PP$	my
right	NN	right
,	,	,
when	WRB	when
in	IN	in
fact	NN	fact
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
privilege	NN	privilege
.	SENT	.
2	LS	2
.	SENT	.
5	CD	@card@
billion	NN	billion
people	NNS	people
worldwide	RB	worldwide
have	VBP	have
no	DT	no
adequate	JJ	adequate
toilet	NN	toilet
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
bucket	NN	bucket
or	CC	or
a	DT	a
box	NN	box
.	SENT	.
Forty	NN	forty
percent	NN	percent
of	IN	of
the	DT	the
world	NN	world
with	IN	with
no	DT	no
adequate	JJ	adequate
toilet	NN	toilet
.	SENT	.
And	CC	and
they	PP	they
have	VBP	have
to	TO	to
do	VB	do
what	WP	what
this	DT	this
little	JJ	little
boy	NN	boy
is	VBZ	be
doing	VBG	do
by	IN	by
the	DT	the
side	NN	side
of	IN	of
the	DT	the
Mumbai	NP	Mumbai
Airport	NP	Airport
expressway	NN	expressway
,	,	,
which	WDT	which
is	VBZ	be
called	VBN	call
open	JJ	open
defecation	NN	defecation
,	,	,
or	CC	or
poo-pooing	VBG	<unknown>
in	IN	in
the	DT	the
open	JJ	open
.	SENT	.
And	CC	and
he	PP	he
does	VBZ	do
that	IN	that
every	DT	every
day	NN	day
,	,	,
and	CC	and
every	DT	every
day	NN	day
,	,	,
probably	RB	probably
,	,	,
that	DT	that
guy	NN	guy
in	IN	in
the	DT	the
picture	NN	picture
walks	VBZ	walk
on	IN	on
by	IN	by
,	,	,
because	IN	because
he	PP	he
sees	VBZ	see
that	IN	that
little	JJ	little
boy	NN	boy
,	,	,
but	CC	but
he	PP	he
doesn	NP	<unknown>
'	POS	'
t	NN	t
see	VB	see
him	PP	him
.	SENT	.
But	CC	but
he	PP	he
should	MD	should
,	,	,
because	IN	because
the	DT	the
problem	NN	problem
with	IN	with
all	PDT	all
that	DT	that
poop	NN	poop
lying	VBG	lie
around	RB	around
is	VBZ	be
that	IN	that
poop	NN	poop
carries	VBZ	carry
passengers	NNS	passenger
.	SENT	.
Fifty	CD	fifty
communicable	JJ	communicable
diseases	NNS	disease
like	VBP	like
to	TO	to
travel	VB	travel
in	IN	in
human	JJ	human
shit	NN	shit
.	SENT	.
All	PDT	all
those	DT	those
things	NNS	thing
,	,	,
the	DT	the
eggs	NNS	egg
,	,	,
the	DT	the
cysts	NNS	cyst
,	,	,
the	DT	the
bacteria	NNS	bacterium
,	,	,
the	DT	the
viruses	NNS	virus
,	,	,
all	PDT	all
those	DT	those
can	MD	can
travel	VB	travel
in	IN	in
one	CD	one
gram	NN	gram
of	IN	of
human	JJ	human
feces	NN	feces
.	SENT	.
How	WRB	how
?	SENT	?
Well	RB	well
,	,	,
that	DT	that
little	JJ	little
boy	NN	boy
will	MD	will
not	RB	not
have	VB	have
washed	VBN	wash
his	PP$	his
hands	NNS	hand
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
barefoot	RB	barefoot
.	SENT	.
He	PP	he
'	POS	'
ll	NNS	<unknown>
run	VBP	run
back	RB	back
into	IN	into
his	PP$	his
house	NN	house
,	,	,
and	CC	and
he	PP	he
will	MD	will
contaminate	VB	contaminate
his	PP$	his
drinking	NN	drinking
water	NN	water
and	CC	and
his	PP$	his
food	NN	food
and	CC	and
his	PP$	his
environment	NN	environment
with	IN	with
whatever	WDT	whatever
diseases	NNS	disease
he	PP	he
may	MD	may
be	VB	be
carrying	VBG	carry
by	IN	by
fecal	JJ	fecal
particles	NNS	particle
that	WDT	that
are	VBP	be
on	IN	on
his	PP$	his
fingers	NNS	finger
and	CC	and
feet	NNS	foot
.	SENT	.
In	IN	in
what	WP	what
I	PP	I
call	VBP	call
the	DT	the
flushed-and-plumbed	JJ	<unknown>
world	NN	world
that	IN	that
most	JJS	most
of	IN	of
us	PP	us
in	IN	in
this	DT	this
room	NN	room
are	VBP	be
lucky	JJ	lucky
to	TO	to
live	VB	live
in	IN	in
,	,	,
the	DT	the
most	RBS	most
common	JJ	common
symptoms	NNS	symptom
associated	VBN	associate
with	IN	with
those	DT	those
diseases	NNS	disease
,	,	,
diarrhea	NN	diarrhea
,	,	,
is	VBZ	be
now	RB	now
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
joke	NN	joke
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
runs	NNS	run
,	,	,
the	DT	the
Hershey	NP	Hershey
squirts	NNS	squirt
,	,	,
the	DT	the
squits	NNS	squit
.	SENT	.
Where	WRB	where
I	PP	I
come	VBP	come
from	IN	from
,	,	,
we	PP	we
call	VBP	call
it	PP	it
Delhi	NP	Delhi
belly	NN	belly
,	,	,
as	IN	as
a	DT	a
legacy	NN	legacy
of	IN	of
empire	NN	empire
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
search	VBP	search
for	IN	for
a	DT	a
stock	NN	stock
photo	NN	photo
of	IN	of
diarrhea	NN	diarrhea
in	IN	in
a	DT	a
leading	VBG	lead
photo	NN	photo
image	NN	image
agency	NN	agency
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
picture	NN	picture
that	IN	that
you	PP	you
come	VBP	come
up	RP	up
with	IN	with
.	SENT	.
Still	RB	still
not	RB	not
sure	JJ	sure
about	IN	about
the	DT	the
bikini	NN	bikini
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
another	DT	another
image	NN	image
of	IN	of
diarrhea	NN	diarrhea
.	SENT	.
This	DT	this
is	VBZ	be
Marie	NP	Marie
Saylee	NP	Saylee
,	,	,
nine	CD	nine
months	NNS	month
old	JJ	old
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
see	VB	see
her	PP	her
,	,	,
because	IN	because
she	PP	she
'	POS	'
s	NNS	<unknown>
buried	VBN	bury
under	IN	under
that	DT	that
green	JJ	green
grass	NN	grass
in	IN	in
a	DT	a
little	JJ	little
village	NN	village
in	IN	in
Liberia	NP	Liberia
,	,	,
because	IN	because
she	PP	she
died	VBD	die
in	IN	in
three	CD	three
days	NNS	day
from	IN	from
diarrhea	NN	diarrhea
—	:	-
the	DT	the
Hershey	NP	Hershey
squirts	NNS	squirt
,	,	,
the	DT	the
runs	NNS	run
,	,	,
a	DT	a
joke	NN	joke
.	SENT	.
And	CC	and
that	DT	that
'	''	'
s	VBG	<unknown>
her	PP$	her
dad	NN	dad
.	SENT	.
But	CC	but
she	PP	she
wasn	NP	<unknown>
'	POS	'
t	NN	t
alone	RB	alone
that	DT	that
day	NN	day
,	,	,
because	IN	because
4	CD	@card@
,	,	,
000	CD	@card@
other	JJ	other
children	NNS	child
died	VBN	die
of	IN	of
diarrhea	NN	diarrhea
,	,	,
and	CC	and
they	PP	they
do	VBP	do
every	DT	every
day	NN	day
.	SENT	.
Diarrhea	NN	diarrhea
is	VBZ	be
the	DT	the
second	JJ	second
biggest	JJS	big
killer	NN	killer
of	IN	of
children	NNS	child
worldwide	JJ	worldwide
,	,	,
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
probably	RB	probably
been	VBN	be
asked	VBN	ask
to	TO	to
care	VB	care
about	IN	about
things	NNS	thing
like	IN	like
HIV	NP	HIV
/	SYM	/
AIDS	NP	AIDS
or	CC	or
T	NN	T
.	SENT	.
B	LS	b
.	SENT	.
or	CC	or
measles	NN	measles
,	,	,
but	CC	but
diarrhea	NN	diarrhea
kills	VBZ	kill
more	JJR	more
children	NNS	child
than	IN	than
all	PDT	all
those	DT	those
three	CD	three
things	NNS	thing
put	VBN	put
together	RB	together
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
potent	JJ	potent
weapon	NN	weapon
of	IN	of
mass	JJ	mass
destruction	NN	destruction
.	SENT	.
And	CC	and
the	DT	the
cost	NN	cost
to	TO	to
the	DT	the
world	NN	world
is	VBZ	be
immense	JJ	immense
:	:	:
260	CD	@card@
billion	NN	billion
dollars	NNS	dollar
lost	VBD	lose
every	DT	every
year	NN	year
on	IN	on
the	DT	the
losses	NNS	loss
to	TO	to
poor	JJ	poor
sanitation	NN	sanitation
.	SENT	.
These	DT	these
are	VBP	be
cholera	NN	cholera
beds	NNS	bed
in	IN	in
Haiti	NP	Haiti
.	SENT	.
You	PP	you
'	POS	'
ll	NNS	<unknown>
have	VBP	have
heard	VBN	hear
of	IN	of
cholera	NN	cholera
,	,	,
but	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
hear	VBP	hear
about	IN	about
diarrhea	NN	diarrhea
.	SENT	.
It	PP	it
gets	VBZ	get
a	DT	a
fraction	NN	fraction
of	IN	of
the	DT	the
attention	NN	attention
and	CC	and
funding	NN	funding
given	VBN	give
to	TO	to
any	DT	any
of	IN	of
those	DT	those
other	JJ	other
diseases	NNS	disease
.	SENT	.
But	CC	but
we	PP	we
know	VBP	know
how	WRB	how
to	TO	to
fix	VB	fix
this	DT	this
.	SENT	.
We	PP	we
know	VBP	know
,	,	,
because	IN	because
in	IN	in
the	DT	the
mid-19th	NN	<unknown>
century	NN	century
,	,	,
