There	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
quote	NN	quote
by	IN	by
activist	NN	activist
and	CC	and
punk	NN	punk
rock	NN	rock
musician	NN	musician
Jello	NN	jello
Biafra	NP	Biafra
that	IN	that
I	PP	I
love	VBP	love
.	SENT	.
He	PP	he
says	VBZ	say
,	,	,
"	``	"
Don	NP	Don
'	POS	'
t	NN	t
hate	VBP	hate
the	DT	the
media	NNS	medium
.	SENT	.
Be	VB	be
the	DT	the
media	NNS	medium
.	SENT	.
"	''	"
I	NP	I
'	POS	'
m	NN	m
an	DT	an
artist	NN	artist
.	SENT	.
I	PP	I
like	VBP	like
working	VBG	work
with	IN	with
media	NNS	medium
and	CC	and
technology	NN	technology
because	IN	because
A	DT	a
,	,	,
I	PP	I
'	POS	'
m	NN	m
familiar	JJ	familiar
with	IN	with
them	PP	them
and	CC	and
I	PP	I
like	VBP	like
the	DT	the
power	NN	power
they	PP	they
hold	VBP	hold
.	SENT	.
And	CC	and
B	NP	B
,	,	,
I	PP	I
hate	VBP	hate
them	PP	them
and	CC	and
I	PP	I
'	POS	'
m	NN	m
terrified	VBN	terrify
of	IN	of
the	DT	the
power	NN	power
they	PP	they
hold	VBP	hold
.	SENT	.
I	PP	I
remember	VBP	remember
watching	VBG	watch
,	,	,
in	IN	in
2003	CD	@card@
,	,	,
an	DT	an
interview	NN	interview
between	IN	between
Fox	NP	Fox
News	NP	News
host	NN	host
Tony	NP	Tony
Snow	NP	Snow
and	CC	and
then-US	NP	<unknown>
Defense	NP	Defense
Secretary	NP	Secretary
,	,	,
Donald	NP	Donald
Rumsfeld	NP	Rumsfeld
.	SENT	.
They	PP	they
were	VBD	be
talking	VBG	talk
about	IN	about
the	DT	the
recent	JJ	recent
invasion	NN	invasion
of	IN	of
Iraq	NP	Iraq
,	,	,
and	CC	and
Rumsfeld	NP	Rumsfeld
is	VBZ	be
asked	VBN	ask
the	DT	the
question	NN	question
,	,	,
"	``	"
Well	UH	well
,	,	,
we	PP	we
'	POS	'
re	NN	re
hear	VBP	hear
about	IN	about
our	PP$	our
body	NN	body
counts	NNS	count
,	,	,
but	CC	but
we	PP	we
never	RB	never
hear	VBP	hear
about	IN	about
theirs	PP	theirs
,	,	,
why	WRB	why
?	SENT	?
"	''	"
And	CC	and
Rumsfeld	NP	Rumsfeld
'	POS	'
s	NN	S
answer	NN	answer
is	VBZ	be
,	,	,
"	``	"
Well	UH	well
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
do	VBP	do
body	NN	body
counts	NNS	count
on	IN	on
other	JJ	other
people	NNS	people
.	SENT	.
"	''	"
Right	RB	right
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
estimated	VBD	estimate
that	IN	that
between	IN	between
150	CD	@card@
,	,	,
000	CD	@card@
to	TO	to
one	CD	one
million	CD	million
Iraqis	NNS	Iraqi
,	,	,
civilians	NNS	civilian
,	,	,
have	VBP	have
died	VBN	die
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
US-led	JJ	<unknown>
invasion	NN	invasion
in	IN	in
2003	CD	@card@
.	SENT	.
That	DT	that
number	NN	number
is	VBZ	be
in	IN	in
stark	JJ	stark
contrast	NN	contrast
with	IN	with
the	DT	the
4	CD	@card@
,	,	,
486	CD	@card@
US	NP	US
service	NN	service
members	NNS	member
who	WP	who
died	VBD	die
during	IN	during
that	DT	that
same	JJ	same
window	NN	window
of	IN	of
time	NN	time
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
do	VB	do
more	RBR	more
than	IN	than
just	RB	just
bring	VB	bring
awareness	NN	awareness
to	TO	to
this	DT	this
terrifying	JJ	terrifying
number	NN	number
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
create	VB	create
a	DT	a
monument	NN	monument
for	IN	for
the	DT	the
individual	JJ	individual
civilians	NNS	civilian
who	WP	who
died	VBD	die
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
invasion	NN	invasion
.	SENT	.
Monuments	NNS	monument
to	TO	to
war	NN	war
,	,	,
such	JJ	such
as	IN	as
Maya	NP	Maya
Lin	NP	Lin
'	POS	'
s	NN	S
Vietnam	NP	Vietnam
Memorial	NP	Memorial
,	,	,
are	VBP	be
often	RB	often
enormous	JJ	enormous
in	IN	in
scale	NN	scale
.	SENT	.
Very	RB	very
powerful	JJ	powerful
and	CC	and
very	RB	very
one-sided	JJ	one-sided
.	SENT	.
I	PP	I
wanted	VBD	want
my	PP$	my
monument	NN	monument
to	TO	to
live	VB	live
in	IN	in
the	DT	the
world	NN	world
,	,	,
and	CC	and
to	TO	to
circulate	VB	circulate
.	SENT	.
I	PP	I
remember	VBP	remember
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
boy	NN	boy
in	IN	in
school	NN	school
,	,	,
my	PP$	my
teacher	NN	teacher
assigned	VBD	assign
us	PP	us
this	DT	this
classic	JJ	classic
civics	NN	civics
assignment	NN	assignment
where	WRB	where
you	PP	you
take	VBP	take
a	DT	a
sheet	NN	sheet
of	IN	of
paper	NN	paper
and	CC	and
you	PP	you
write	VBP	write
a	DT	a
member	NN	member
of	IN	of
your	PP$	your
government	NN	government
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
told	VBN	tell
,	,	,
if	IN	if
we	PP	we
wrote	VBD	write
a	DT	a
really	RB	really
good	JJ	good
letter	NN	letter
,	,	,
if	IN	if
we	PP	we
really	RB	really
thought	VBD	think
about	IN	about
it	PP	it
,	,	,
we	PP	we
would	MD	would
get	VB	get
back	RB	back
more	RBR	more
than	IN	than
just	RB	just
a	DT	a
simple	JJ	simple
formed	JJ	formed
letter	NN	letter
as	IN	as
a	DT	a
reply	NN	reply
.	SENT	.
This	DT	this
is	VBZ	be
my	PP$	my
"	``	"
Notepad	NN	notepad
.	SENT	.
"	``	"
What	WP	what
looks	VBZ	look
like	IN	like
an	DT	an
everyday	JJ	everyday
,	,	,
yellow	JJ	yellow
legal	JJ	legal
tablet	NN	tablet
of	IN	of
paper	NN	paper
is	VBZ	be
actually	RB	actually
a	DT	a
monument	NN	monument
to	TO	to
the	DT	the
individual	JJ	individual
Iraqi	JJ	Iraqi
civilians	NNS	civilian
that	WDT	that
died	VBD	die
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
US	NP	US
invasion	NN	invasion
.	SENT	.
"	``	"
Notepad	NN	notepad
"	''	"
is	VBZ	be
an	DT	an
act	NN	act
of	IN	of
protest	NN	protest
and	CC	and
an	DT	an
act	NN	act
of	IN	of
commemoration	NN	commemoration
disguised	VBN	disguise
as	IN	as
an	DT	an
everyday	JJ	everyday
tablet	NN	tablet
of	IN	of
paper	NN	paper
.	SENT	.
The	DT	the
lines	NNS	line
of	IN	of
the	DT	the
paper	NN	paper
,	,	,
when	WRB	when
magnified	VBN	magnify
,	,	,
are	VBP	be
revealed	VBN	reveal
to	TO	to
be	VB	be
micro-printed	JJ	micro-printed
text	NN	text
that	WDT	that
contains	VBZ	contain
the	DT	the
details	NNS	detail
,	,	,
the	DT	the
names	NNS	name
,	,	,
the	DT	the
dates	NNS	date
and	CC	and
locations	NNS	location
of	IN	of
individual	JJ	individual
Iraqi	JJ	Iraqi
civilians	NNS	civilian
that	WDT	that
died	VBD	die
.	SENT	.
So	RB	so
,	,	,
for	IN	for
the	DT	the
last	JJ	last
5	CD	@card@
years	NNS	year
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
taking	VBG	take
pads	NNS	pad
of	IN	of
this	DT	this
paper	NN	paper
,	,	,
tons	NNS	ton
of	IN	of
this	DT	this
stuff	NN	stuff
,	,	,
and	CC	and
smuggling	VBG	smuggle
it	PP	it
into	IN	into
the	DT	the
stationery	NN	stationery
supplies	VBZ	supply
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
the	DT	the
Coalition	NP	Coalition
governments	NNS	government
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
tell	VB	tell
you	PP	you
guys	VBZ	guy
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
