There	EX	there
have	VBP	have
been	VBN	be
many	JJ	many
revolutions	NNS	revolution
over	IN	over
the	DT	the
last	JJ	last
century	NN	century
,	,	,
but	CC	but
perhaps	RB	perhaps
none	NN	none
as	IN	as
significant	JJ	significant
as	IN	as
the	DT	the
longevity	NN	longevity
revolution	NN	revolution
.	SENT	.
We	PP	we
are	VBP	be
living	VBG	live
on	IN	on
average	JJ	average
today	NN	today
34	CD	@card@
years	NNS	year
longer	RBR	longer
than	IN	than
our	PP$	our
great-grandparents	NNS	great-grandparent
did	VBD	do
â	NP	<unknown>
think	VBP	think
about	RB	about
that	RB	that
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
an	DT	an
entire	JJ	entire
second	JJ	second
adult	NN	adult
lifetime	NN	lifetime
that	RB	that
'	POS	'
s	RB	<unknown>
been	VBN	be
added	VBN	add
to	TO	to
our	PP$	our
lifespan	NN	lifespan
.	SENT	.
And	CC	and
yet	RB	yet
,	,	,
for	IN	for
the	DT	the
most	JJS	most
part	NN	part
,	,	,
our	PP$	our
culture	NN	culture
has	VBZ	have
not	RB	not
come	VBN	come
to	TO	to
terms	NNS	term
with	IN	with
what	WP	what
this	DT	this
means	NNS	mean
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
still	RB	still
living	VBG	live
with	IN	with
the	DT	the
old	JJ	old
paradigm	NN	paradigm
of	IN	of
age	NN	age
as	IN	as
an	DT	an
arch	NN	arch
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
metaphor	NN	metaphor
,	,	,
the	DT	the
old	JJ	old
metaphor	NN	metaphor
.	SENT	.
You	PP	you
'	''	'
re	IN	re
born	VBN	bear
,	,	,
you	PP	you
peak	VBP	peak
at	IN	at
midlife	NN	midlife
and	CC	and
decline	NN	decline
into	IN	into
decrepitude	NN	decrepitude
.	SENT	.
Age	NN	age
as	IN	as
pathology	NN	pathology
.	SENT	.
But	CC	but
many	JJ	many
people	NNS	people
today	NN	today
â	NP	<unknown>
philosophers	NNS	philosopher
,	,	,
artists	NNS	artist
,	,	,
doctors	NNS	doctor
,	,	,
scientists	NNS	scientist
â	NP	<unknown>
are	VBP	be
taking	VBG	take
a	DT	a
new	JJ	new
look	NN	look
