So	RB	so
I	PP	I
really	RB	really
consider	VBP	consider
myself	PP	myself
a	DT	a
storyteller	NN	storyteller
.	SENT	.
But	CC	but
I	PP	I
don	NN	don
'	POS	'
t	NN	t
really	RB	really
tell	VB	tell
stories	NNS	story
in	IN	in
the	DT	the
usual	JJ	usual
way	NN	way
,	,	,
in	IN	in
the	DT	the
sense	NN	sense
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
usually	RB	usually
tell	VB	tell
my	PP$	my
own	JJ	own
stories	NNS	story
.	SENT	.
Instead	RB	instead
,	,	,
I	PP	I
'	POS	'
m	NN	m
really	RB	really
interested	JJ	interested
in	IN	in
building	VBG	build
tools	NNS	tool
that	WDT	that
allow	VBP	allow
large	JJ	large
numbers	NNS	number
of	IN	of
other	JJ	other
people	NNS	people
to	TO	to
tell	VB	tell
their	PP$	their
stories	NNS	story
,	,	,
people	NNS	people
all	RB	all
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
I	PP	I
do	VBP	do
this	DT	this
because	IN	because
I	PP	I
think	VBP	think
that	IN	that
people	NNS	people
actually	RB	actually
have	VBP	have
a	DT	a
lot	NN	lot
in	IN	in
common	JJ	common
.	SENT	.
I	PP	I
think	VBP	think
people	NNS	people
are	VBP	be
very	RB	very
similar	JJ	similar
,	,	,
but	CC	but
I	PP	I
also	RB	also
think	VBP	think
that	IN	that
we	PP	we
have	VBP	have
trouble	NN	trouble
seeing	VBG	see
that	DT	that
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
as	IN	as
I	PP	I
look	VBP	look
around	IN	around
the	DT	the
world	NN	world
I	PP	I
see	VBP	see
a	DT	a
lot	NN	lot
of	IN	of
gaps	NNS	gap
,	,	,
and	CC	and
I	PP	I
think	VBP	think
we	PP	we
all	DT	all
see	VBP	see
a	DT	a
lot	NN	lot
of	IN	of
gaps	NNS	gap
.	SENT	.
And	CC	and
we	PP	we
define	VBP	define
ourselves	PP	ourselves
by	IN	by
our	PP$	our
gaps	NNS	gap
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
language	NN	language
gaps	NNS	gap
,	,	,
there	EX	there
'	''	'
s	NN	S
ethnicity	NN	ethnicity
and	CC	and
racial	JJ	racial
gaps	NNS	gap
,	,	,
there	EX	there
'	''	'
s	NN	S
age	NN	age
gaps	NNS	gap
,	,	,
there	EX	there
'	''	'
s	NN	S
gender	NN	gender
gaps	NNS	gap
,	,	,
there	EX	there
'	''	'
s	NN	S
sexuality	NN	sexuality
gaps	NNS	gap
,	,	,
there	EX	there
'	''	'
s	NN	S
wealth	NN	wealth
and	CC	and
money	NN	money
gaps	NNS	gap
,	,	,
there	EX	there
'	''	'
s	NN	S
education	NN	education
gaps	NNS	gap
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
also	RB	also
religious	JJ	religious
gaps	NNS	gap
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
we	PP	we
have	VBP	have
all	PDT	all
these	DT	these
gaps	NNS	gap
and	CC	and
I	PP	I
think	VBP	think
we	PP	we
like	IN	like
our	PP$	our
gaps	NNS	gap
because	IN	because
they	PP	they
make	VBP	make
us	PP	us
feel	VBP	feel
like	IN	like
we	PP	we
identify	VBP	identify
with	IN	with
something	NN	something
,	,	,
some	DT	some
smaller	JJR	small
community	NN	community
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
that	IN	that
actually	RB	actually
,	,	,
despite	IN	despite
our	PP$	our
gaps	NNS	gap
,	,	,
we	PP	we
really	RB	really
have	VBP	have
a	DT	a
lot	NN	lot
in	IN	in
common	JJ	common
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
one	CD	one
thing	NN	thing
we	PP	we
have	VBP	have
in	IN	in
common	JJ	common
is	VBZ	be
a	DT	a
very	RB	very
deep	JJ	deep
need	NN	need
to	TO	to
express	VB	express
ourselves	PP	ourselves
.	SENT	.
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
old	JJ	old
human	JJ	human
desire	NN	desire
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
nothing	NN	nothing
new	JJ	new
.	SENT	.
But	CC	but
the	DT	the
thing	NN	thing
about	IN	about
self-expression	NN	self-expression
is	VBZ	be
that	IN	that
there	EX	there
'	''	'
s	RB	<unknown>
traditionally	RB	traditionally
been	VBN	be
this	DT	this
imbalance	NN	imbalance
between	IN	between
the	DT	the
desire	NN	desire
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
express	VB	express
ourselves	PP	ourselves
and	CC	and
the	DT	the
number	NN	number
of	IN	of
sympathetic	JJ	sympathetic
friends	NNS	friend
who	WP	who
are	VBP	be
willing	JJ	willing
to	TO	to
stand	VB	stand
around	RP	around
and	CC	and
listen	VB	listen
.	SENT	.
This	DT	this
,	,	,
also	RB	also
,	,	,
is	VBZ	be
nothing	NN	nothing
new	JJ	new
.	SENT	.
Since	IN	since
the	DT	the
dawn	NN	dawn
of	IN	of
human	JJ	human
history	NN	history
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
tried	VBD	try
to	TO	to
rectify	VB	rectify
this	DT	this
imbalance	NN	imbalance
by	IN	by
making	VBG	make
art	NN	art
,	,	,
writing	VBG	write
poems	NNS	poem
,	,	,
singing	VBG	sing
songs	NNS	song
,	,	,
scripting	VBG	script
editorials	NNS	editorial
and	CC	and
sending	VBG	send
them	PP	them
in	IN	in
to	TO	to
a	DT	a
newspaper	NN	newspaper
,	,	,
gossiping	VBG	gossip
with	IN	with
friends	NNS	friend
.	SENT	.
This	DT	this
is	VBZ	be
nothing	NN	nothing
new	JJ	new
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
new	JJ	new
is	VBZ	be
that	IN	that
in	IN	in
the	DT	the
last	JJ	last
several	JJ	several
years	NNS	year
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
very	RB	very
traditional	JJ	traditional
physical	JJ	physical
human	JJ	human
activities	NNS	activity
,	,	,
these	DT	these
acts	NNS	act
of	IN	of
self-expression	NN	self-expression
,	,	,
have	VBP	have
been	VBN	be
moving	VBG	move
onto	IN	onto
the	DT	the
Internet	NN	Internet
.	SENT	.
And	CC	and
as	IN	as
that	DT	that
'	''	'
s	NNS	<unknown>
happened	VBD	happen
,	,	,
people	NNS	people
have	VBP	have
been	VBN	be
leaving	VBG	leave
behind	IN	behind
footprints	NNS	footprint
,	,	,
footprints	NNS	footprint
that	WDT	that
tell	VBP	tell
stories	NNS	story
of	IN	of
their	PP$	their
moments	NNS	moment
of	IN	of
self-expression	NN	self-expression
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
I	PP	I
do	VBP	do
is	VBZ	be
,	,	,
I	PP	I
write	VBP	write
computer	NN	computer
programs	NNS	program
that	WDT	that
study	VBP	study
very	RB	very
large	JJ	large
sets	NNS	set
of	IN	of
these	DT	these
footprints	NNS	footprint
,	,	,
and	CC	and
then	RB	then
try	VB	try
to	TO	to
draw	VB	draw
conclusions	NNS	conclusion
about	IN	about
the	DT	the
people	NNS	people
who	WP	who
left	VBD	leave
them	PP	them
—	:	-
what	WP	what
they	PP	they
feel	VBP	feel
,	,	,
what	WP	what
they	PP	they
think	VBP	think
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
different	JJ	different
in	IN	in
the	DT	the
world	NN	world
today	NN	today
