Now	RB	now
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
give	VB	give
you	PP	you
a	DT	a
story	NN	story
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
Indian	JJ	Indian
story	NN	story
about	IN	about
an	DT	an
Indian	JJ	Indian
woman	NN	woman
and	CC	and
her	PP$	her
journey	NN	journey
.	SENT	.
Let	VB	let
me	PP	me
begin	VB	begin
with	IN	with
my	PP$	my
parents	NNS	parent
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
product	NN	product
of	IN	of
this	DT	this
visionary	JJ	visionary
mother	NN	mother
and	CC	and
father	NN	father
.	SENT	.
Many	JJ	many
years	NNS	year
ago	RB	ago
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
born	VBN	bear
in	IN	in
the	NP	the
'	POS	'
50s	NP	50s
â	NP	<unknown>
'	POS	'
50s	NP	50s
and	NP	and
'	POS	'
60s	JJ	<unknown>
didn	NN	<unknown>
'	POS	'
t	NN	t
belong	VBP	belong
to	TO	to
girls	NNS	girl
in	IN	in
India	NP	India
.	SENT	.
They	PP	they
belonged	VBD	belong
to	TO	to
boys	NNS	boy
.	SENT	.
They	PP	they
belonged	VBD	belong
to	TO	to
boys	NNS	boy
who	WP	who
would	MD	would
join	VB	join
business	NN	business
and	CC	and
inherit	VB	inherit
business	NN	business
from	IN	from
parents	NNS	parent
,	,	,
and	CC	and
girls	NNS	girl
would	MD	would
be	VB	be
dolled	VBN	<unknown>
up	RP	up
to	TO	to
get	VB	get
married	JJ	married
.	SENT	.
My	PP$	my
family	NN	family
,	,	,
in	IN	in
my	PP$	my
city	NN	city
,	,	,
and	CC	and
almost	RB	almost
in	IN	in
the	DT	the
country	NN	country
,	,	,
was	VBD	be
unique	JJ	unique
.	SENT	.
We	PP	we
were	VBD	be
four	CD	four
of	IN	of
us	PP	us
,	,	,
not	RB	not
one	CD	one
,	,	,
and	CC	and
fortunately	RB	fortunately
no	DT	no
boys	NNS	boy
.	SENT	.
We	PP	we
were	VBD	be
four	CD	four
girls	NNS	girl
and	CC	and
no	DT	no
boys	NNS	boy
.	SENT	.
And	CC	and
my	PP$	my
parents	NNS	parent
were	VBD	be
part	NN	part
of	IN	of
a	DT	a
landed	JJ	landed
property	NN	property
family	NN	family
.	SENT	.
My	PP$	my
father	NN	father
defied	VBD	defy
his	PP$	his
own	JJ	own
grandfather	NN	grandfather
,	,	,
almost	RB	almost
to	TO	to
the	DT	the
point	NN	point
of	IN	of
disinheritance	NN	disinheritance
,	,	,
because	IN	because
he	PP	he
decided	VBD	decide
to	TO	to
educate	VB	educate
all	DT	all
four	CD	four
of	IN	of
us	PP	us
.	SENT	.
He	PP	he
sent	VBD	send
us	PP	us
to	TO	to
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
schools	NNS	school
in	IN	in
the	DT	the
city	NN	city
and	CC	and
gave	VBD	give
us	PP	us
the	DT	the
best	JJS	good
education	NN	education
.	SENT	.
As	IN	as
I	PP	I
'	POS	'
ve	NN	ve
said	VBD	say
,	,	,
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
born	VBN	bear
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
choose	VB	choose
our	PP$	our
parents	NNS	parent
,	,	,
and	CC	and
when	WRB	when
we	PP	we
go	VBP	go
to	TO	to
school	NN	school
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
choose	VB	choose
our	PP$	our
school	NN	school
.	SENT	.
Children	NNS	child
don	NN	don
'	POS	'
t	NN	t
choose	VB	choose
a	DT	a
school	NN	school
