Tonight	RB	tonight
,	,	,
I	PP	I
want	VBP	want
to	TO	to
have	VB	have
a	DT	a
conversation	NN	conversation
about	IN	about
this	DT	this
incredible	JJ	incredible
global	JJ	global
issue	NN	issue
that	RB	that
'	POS	'
s	NN	S
at	IN	at
the	DT	the
intersection	NN	intersection
of	IN	of
land	NN	land
use	NN	use
,	,	,
food	NN	food
and	CC	and
environment	NN	environment
,	,	,
something	NN	something
we	PP	we
can	MD	can
all	RB	all
relate	VB	relate
to	TO	to
,	,	,
and	CC	and
what	WP	what
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
calling	VBG	call
the	DT	the
other	JJ	other
inconvenient	JJ	inconvenient
truth	NN	truth
.	SENT	.
But	CC	but
first	RB	first
,	,	,
I	PP	I
want	VBP	want
to	TO	to
take	VB	take
you	PP	you
on	IN	on
a	DT	a
little	JJ	little
journey	NN	journey
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
first	RB	first
visit	VBP	visit
our	PP$	our
planet	NN	planet
,	,	,
but	CC	but
at	IN	at
night	NN	night
,	,	,
and	CC	and
from	IN	from
space	NN	space
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
our	PP$	our
planet	NN	planet
looks	VBZ	look
like	IN	like
from	IN	from
outer	JJ	outer
space	NN	space
at	IN	at
nighttime	NN	nighttime
,	,	,
if	IN	if
you	PP	you
were	VBD	be
to	TO	to
take	VB	take
a	DT	a
satellite	NN	satellite
and	CC	and
travel	NN	travel
around	IN	around
the	DT	the
planet	NN	planet
.	SENT	.
And	CC	and
the	DT	the
thing	NN	thing
you	PP	you
would	MD	would
notice	VB	notice
first	RB	first
,	,	,
of	IN	of
course	NN	course
,	,	,
is	VBZ	be
how	WRB	how
dominant	JJ	dominant
the	DT	the
human	JJ	human
presence	NN	presence
on	IN	on
our	PP$	our
planet	NN	planet
is	VBZ	be
.	SENT	.
We	PP	we
see	VBP	see
cities	NNS	city
,	,	,
we	PP	we
see	VBP	see
oil	NN	oil
fields	NNS	field
,	,	,
you	PP	you
can	MD	can
even	RB	even
make	VB	make
out	RP	out
fishing	NN	fishing
fleets	NNS	fleet
in	IN	in
the	DT	the
sea	NN	sea
,	,	,
that	WDT	that
we	PP	we
are	VBP	be
dominating	VBG	dominate
much	RB	much
of	IN	of
our	PP$	our
planet	NN	planet
,	,	,
and	CC	and
mostly	RB	mostly
through	IN	through
the	DT	the
use	NN	use
of	IN	of
energy	NN	energy
that	IN	that
we	PP	we
see	VBP	see
here	RB	here
at	IN	at
night	NN	night
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
go	VBP	go
back	RB	back
and	CC	and
drop	VB	drop
it	PP	it
a	DT	a
little	RB	little
deeper	JJR	deep
and	CC	and
look	VBP	look
during	IN	during
the	DT	the
daytime	NN	daytime
.	SENT	.
What	WP	what
we	PP	we
see	VBP	see
during	IN	during
the	DT	the
day	NN	day
is	VBZ	be
our	PP$	our
landscapes	NNS	landscape
.	SENT	.
This	DT	this
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
Amazon	NP	Amazon
Basin	NP	Basin
,	,	,
a	DT	a
place	NN	place
called	VBN	call
Rond��nia	NP	<unknown>
in	IN	in
the	DT	the
south-center	NN	south-center
part	NN	part
of	IN	of
the	DT	the
Brazilian	JJ	Brazilian
Amazon	NN	Amazon
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
really	RB	really
carefully	RB	carefully
in	IN	in
the	DT	the
upper	JJ	upper
right-	NN	<unknown>
hand	NN	hand
corner	NN	corner
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
a	DT	a
thin	JJ	thin
white	JJ	white
line	NN	line
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
road	NN	road
that	WDT	that
was	VBD	be
built	VBN	build
in	IN	in
the	DT	the
1970s	NNS	1970s
.	SENT	.
If	IN	if
we	PP	we
come	VBP	come
back	RB	back
to	TO	to
the	DT	the
same	JJ	same
place	NN	place
in	IN	in
2001	CD	@card@
,	,	,
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
find	VB	find
is	VBZ	be
that	IN	that
these	DT	these
roads	NNS	road
spurt	VBP	spurt
off	RB	off
more	JJR	more
roads	NNS	road
,	,	,
and	CC	and
more	JJR	more
roads	NNS	road
after	IN	after
that	WDT	that
,	,	,
at	IN	at
the	DT	the
end	NN	end
of	IN	of
which	WDT	which
is	VBZ	be
a	DT	a
small	JJ	small
clearing	NN	clearing
in	IN	in
the	DT	the
rainforest	NN	rainforest
where	WRB	where
there	EX	there
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
few	JJ	few
cows	NNS	cow
.	SENT	.
These	DT	these
cows	NNS	cow
are	VBP	be
used	VBN	use
for	IN	for
beef	NN	beef
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
eat	VB	eat
these	DT	these
cows	NNS	cow
.	SENT	.
And	CC	and
these	DT	these
cows	NNS	cow
are	VBP	be
eaten	VBN	eat
basically	RB	basically
in	IN	in
South	NP	South
America	NP	America
,	,	,
in	IN	in
Brazil	NP	Brazil
and	CC	and
Argentina	NP	Argentina
.	SENT	.
They	PP	they
