Pat	NP	Pat
Mitchell	NP	Mitchell
:	:	:
Your	PP$	your
first	JJ	first
time	NN	time
back	RB	back
on	IN	on
the	DT	the
TEDWomen	NP	TEDWomen
stage	NN	stage
.	SENT	.
Sheryl	NP	Sheryl
Sandberg	NP	Sandberg
:	:	:
First	JJ	first
time	NN	time
back	RB	back
.	SENT	.
Nice	JJ	nice
to	TO	to
see	VB	see
everyone	NN	everyone
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
always	RB	always
so	RB	so
nice	JJ	nice
to	TO	to
look	VB	look
out	RP	out
and	CC	and
see	VB	see
so	IN	so
many	JJ	many
women	NNS	woman
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
so	RB	so
not	RB	not
my	PP$	my
regular	JJ	regular
experience	NN	experience
,	,	,
as	IN	as
I	PP	I
know	VBP	know
anyone	NN	anyone
else	RB	else
'	POS	'
s	NN	S
.	SENT	.
PM	NN	pm
:	:	:
So	RB	so
when	WRB	when
we	PP	we
first	RB	first
started	VBD	start
talking	VBG	talk
about	RB	about
,	,	,
maybe	RB	maybe
the	DT	the
subject	JJ	subject
wouldn	NN	<unknown>
'	''	'
t	NN	t
be	VB	be
social	JJ	social
media	NNS	medium
,	,	,
which	WDT	which
we	PP	we
assumed	VBD	assume
it	PP	it
would	MD	would
be	VB	be
,	,	,
but	CC	but
that	IN	that
you	PP	you
had	VBD	have
very	RB	very
much	RB	much
on	IN	on
your	PP$	your
mind	NN	mind
the	DT	the
missing	JJ	missing
leadership	NN	leadership
positions	NNS	position
,	,	,
particularly	RB	particularly
in	IN	in
the	DT	the
sector	NN	sector
of	IN	of
technology	NN	technology
and	CC	and
social	JJ	social
media	NNS	medium
.	SENT	.
But	CC	but
how	WRB	how
did	VBD	do
that	RB	that
evolve	VB	evolve
for	IN	for
you	PP	you
as	IN	as
a	DT	a
thought	NN	thought
,	,	,
and	CC	and
end	VB	end
up	RP	up
being	VBG	be
the	DT	the
TED	VBP	ted
Talk	NN	talk
that	IN	that
you	PP	you
gave	VBD	give
?	SENT	?
SS	NP	SS
:	:	:
So	RB	so
I	PP	I
was	VBD	be
really	RB	really
scared	VBN	scare
to	TO	to
get	VB	get
on	IN	on
this	DT	this
stage	NN	stage
and	CC	and
talk	NN	talk
about	IN	about
women	NNS	woman
,	,	,
because	IN	because
I	PP	I
grew	VBD	grow
up	RP	up
in	IN	in
the	DT	the
business	NN	business
world	NN	world
,	,	,
as	IN	as
I	PP	I
think	VBP	think
so	RB	so
many	JJ	many
of	IN	of
us	PP	us
did	VBD	do
.	SENT	.
You	PP	you
never	RB	never
talk	VBP	talk
about	IN	about
being	VBG	be
a	DT	a
woman	NN	woman
,	,	,
because	IN	because
someone	NN	someone
might	MD	might
notice	VB	notice
that	IN	that
you	PP	you
'	''	'
re	IN	re
a	DT	a
woman	NN	woman
,	,	,
right	RB	right
?	SENT	?
They	PP	they
might	MD	might
notice	VB	notice
.	SENT	.
Or	CC	or
worse	RBR	worse
,	,	,
if	IN	if
you	PP	you
say	VBP	say
"	``	"
woman	NN	woman
,	,	,
"	''	"
people	NNS	people
on	IN	on
the	DT	the
other	JJ	other
end	NN	end
of	IN	of
the	DT	the
table	NN	table
think	VBP	think
you	PP	you
'	''	'
re	IN	re
asking	VBG	ask
for	IN	for
special	JJ	special
treatment	NN	treatment
,	,	,
or	CC	or
complaining	VBG	complain
.	SENT	.
Or	CC	or
worse	RBR	worse
,	,	,
about	RB	about
to	TO	to
sue	VB	sue
them	PP	them
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
went	VBD	go
through	RP	through
—	:	-
Right	RB	right
?	SENT	?
I	PP	I
went	VBD	go
through	IN	through
my	PP$	my
entire	JJ	entire
business	NN	business
career	NN	career
,	,	,
and	CC	and
never	RB	never
spoke	VBD	speak
about	IN	about
being	VBG	be
a	DT	a
woman	NN	woman
,	,	,
never	RB	never
spoke	VBD	speak
about	IN	about
it	PP	it
publicly	RB	publicly
.	SENT	.
But	CC	but
I	PP	I
also	RB	also
had	VBD	have
noticed	VBN	notice
that	IN	that
it	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
working	NN	working
.	SENT	.
I	PP	I
came	VBD	come
out	RP	out
of	IN	of
college	NN	college
over	IN	over
20	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
I	PP	I
thought	VBD	think
that	IN	that
all	DT	all
of	IN	of
my	PP$	my
peers	NNS	peer
were	VBD	be
men	NNS	man
and	CC	and
women	NNS	woman
,	,	,
all	PDT	all
the	DT	the
people	NNS	people
above	IN	above
me	PP	me
were	VBD	be
all	DT	all
men	NNS	man
,	,	,
but	CC	but
that	WDT	that
would	MD	would
change	VB	change
,	,	,
because	IN	because
your	PP$	your
generation	NN	generation
had	VBD	have
done	VBN	do
such	PDT	such
an	DT	an
amazing	JJ	amazing
job	NN	job
fighting	VBG	fight
for	IN	for
equality	NN	equality
,	,	,
equality	NN	equality
was	VBD	be
now	RB	now
ours	PP	ours
for	IN	for
the	DT	the
taking	NN	taking
.	SENT	.
And	CC	and
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
Because	IN	because
year	NN	year
after	IN	after
year	NN	year
,	,	,
I	PP	I
was	VBD	be
one	CD	one
of	IN	of
fewer	JJR	few
and	CC	and
fewer	JJR	few
,	,	,
and	CC	and
now	RB	now
,	,	,
often	RB	often
the	DT	the
only	JJ	only
woman	NN	woman
in	IN	in
a	DT	a
room	NN	room
.	SENT	.
And	CC	and
I	PP	I
talked	VBD	talk
to	TO	to
a	DT	a
bunch	NN	bunch
of	IN	of
people	NNS	people
about	RB	about
,	,	,
should	MD	should
I	PP	I
give	VB	give
a	DT	a
speech	NN	speech
at	IN	at
TEDWomen	NNS	TEDwoman
about	IN	about
women	NNS	woman
,	,	,
and	CC	and
they	PP	they
said	VBD	say
,	,	,
oh	UH	oh
no	UH	no
,	,	,
no	UH	no
.	SENT	.
It	PP	it
will	MD	will
end	VB	end
your	PP$	your
business	NN	business
career	NN	career
.	SENT	.
You	PP	you
cannot	MD	can
be	VB	be
a	DT	a
serious	JJ	serious
business	NN	business
executive	NN	executive
and	CC	and
speak	VB	speak
about	IN	about
being	VBG	be
a	DT	a
woman	NN	woman
.	SENT	.
You	PP	you
'	POS	'
ll	NN	ll
never	RB	never
be	VB	be
taken	VBN	take
seriously	RB	seriously
again	RB	again
.	SENT	.
But	CC	but
fortunately	RB	fortunately
,	,	,
there	EX	there
were	VBD	be
the	DT	the
few	JJ	few
,	,	,
the	DT	the
proud	JJ	proud
—	:	-
like	IN	like
you	PP	you
—	:	-
who	WP	who
told	VBD	tell
me	PP	me
I	PP	I
should	MD	should
give	VB	give
the	DT	the
speech	NN	speech
,	,	,
and	CC	and
I	PP	I
asked	VBD	ask
myself	PP	myself
the	DT	the
question	VBP	question
Mark	NP	Mark
Zuckerberg	NP	Zuckerberg
might	NN	might
—	:	-
the	DT	the
founder	NN	founder
of	IN	of
Facebook	NP	<unknown>
and	CC	and
my	PP$	my
boss	NN	boss
—	:	-
asks	VBZ	ask
all	DT	all
of	IN	of
us	PP	us
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
what	WP	what
would	MD	would
I	PP	I
do	VB	do
if	IN	if
I	PP	I
wasn	NN	<unknown>
'	POS	'
t	NN	t
afraid	JJ	afraid
?	SENT	?
And	CC	and
the	DT	the
answer	NN	answer
to	TO	to
what	WP	what
would	MD	would
I	PP	I
do	VB	do
if	IN	if
I	PP	I
wasn	NN	<unknown>
'	POS	'
t	NN	t
