Oliver	NP	Oliver
was	VBD	be
an	DT	an
extremely	RB	extremely
dashing	JJ	dashing
,	,	,
handsome	JJ	handsome
,	,	,
charming	JJ	charming
and	CC	and
largely	RB	largely
unstable	JJ	unstable
male	NN	male
that	IN	that
I	PP	I
completely	RB	completely
lost	VBD	lose
my	PP$	my
heart	NN	heart
to	TO	to
.	SENT	.
He	PP	he
was	VBD	be
a	DT	a
Bernese	NP	<unknown>
mountain	NN	mountain
dog	NN	dog
,	,	,
and	CC	and
my	PP$	my
ex-husband	NN	ex-husband
and	CC	and
I	PP	I
adopted	VBD	adopt
him	PP	him
,	,	,
and	CC	and
about	RB	about
six	CD	six
months	NNS	month
in	IN	in
,	,	,
we	PP	we
realized	VBD	realize
that	IN	that
he	PP	he
was	VBD	be
a	DT	a
mess	NN	mess
.	SENT	.
He	PP	he
had	VBD	have
such	JJ	such
paralyzing	VBG	paralyze
separation	NN	separation
anxiety	NN	anxiety
that	IN	that
we	PP	we
couldn	NNS	<unknown>
'	POS	'
t	NN	t
leave	VB	leave
him	PP	him
alone	RB	alone
.	SENT	.
Once	RB	once
,	,	,
he	PP	he
jumped	VBD	jump
out	RP	out
of	IN	of
our	PP$	our
third	JJ	third
floor	NN	floor
apartment	NN	apartment
.	SENT	.
He	PP	he
ate	VBD	eat
fabric	NN	fabric
.	SENT	.
He	PP	he
ate	VBD	eat
things	NNS	thing
,	,	,
recyclables	NNS	<unknown>
.	SENT	.
He	PP	he
hunted	VBD	hunt
flies	VBZ	fly
that	IN	that
didn	NP	<unknown>
'	POS	'
t	NN	t
exist	VBP	exist
.	SENT	.
He	PP	he
suffered	VBD	suffer
from	IN	from
hallucinations	NNS	hallucination
.	SENT	.
He	PP	he
was	VBD	be
diagnosed	VBN	diagnose
with	IN	with
a	DT	a
canine	JJ	canine
compulsive	JJ	compulsive
disorder	NN	disorder
and	CC	and
that	IN	that
'	POS	'
s	NN	S
really	RB	really
just	RB	just
the	DT	the
tip	NN	tip
of	IN	of
the	DT	the
iceberg	NN	iceberg
.	SENT	.
But	CC	but
like	IN	like
with	IN	with
humans	NNS	human
,	,	,
sometimes	RB	sometimes
it	PP	it
'	POS	'
s	NN	S
six	CD	six
months	NNS	month
in	IN	in
before	IN	before
you	PP	you
realize	VBP	realize
that	IN	that
the	DT	the
person	NN	person
that	IN	that
you	PP	you
love	VBP	love
has	VBZ	have
some	DT	some
issues	NNS	issue
.	SENT	.
And	CC	and
most	JJS	most
of	IN	of
us	PP	us
do	VBP	do
not	RB	not
take	VB	take
the	DT	the
person	NN	person
we	PP	we
'	POS	'
re	NN	re
dating	VBG	date
back	RB	back
to	TO	to
the	DT	the
bar	NN	bar
where	WRB	where
we	PP	we
met	VBD	meet
them	PP	them
or	CC	or
give	VB	give
them	PP	them
back	RB	back
to	TO	to
the	DT	the
friend	NN	friend
that	WDT	that
introduced	VBD	introduce
us	PP	us
,	,	,
or	CC	or
