Imagine	VB	imagine
a	DT	a
world	NN	world
in	IN	in
which	WDT	which
China	NP	China
was	VBD	be
an	DT	an
environmental	JJ	environmental
leader	NN	leader
.	SENT	.
That	DT	that
would	MD	would
be	VB	be
a	DT	a
more	RBR	more
hopeful	JJ	hopeful
world	NN	world
,	,	,
wouldn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
When	WRB	when
we	PP	we
hear	VBP	hear
about	IN	about
China	NP	China
,	,	,
we	PP	we
usually	RB	usually
hear	VBP	hear
about	IN	about
human	JJ	human
rights	NNS	right
,	,	,
trade	NN	trade
disputes	NNS	dispute
,	,	,
toxic	JJ	toxic
pollution	NN	pollution
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
here	RB	here
to	TO	to
dispute	VB	dispute
the	DT	the
news	NN	news
.	SENT	.
Instead	RB	instead
,	,	,
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
is	VBZ	be
share	VB	share
,	,	,
with	IN	with
you	PP	you
,	,	,
evidence	NN	evidence
,	,	,
based	VBN	base
on	IN	on
personal	JJ	personal
experience	NN	experience
,	,	,
of	IN	of
where	WRB	where
China	NP	China
is	VBZ	be
leading	VBG	lead
.	SENT	.
ClientEarth	NP	ClientEarth
,	,	,
the	DT	the
environmental	JJ	environmental
law	NN	law
organization	NN	organization
that	IN	that
I	PP	I
set	VBD	set
up	RP	up
,	,	,
has	VBZ	have
a	DT	a
15-person	NP	15-person
office	NN	office
in	IN	in
Beijing	NP	Beijing
.	SENT	.
We	PP	we
work	VBP	work
as	IN	as
trusted	VBN	trust
partners	NNS	partner
with	IN	with
the	DT	the
Ministry	NP	Ministry
of	IN	of
Environment	NP	Environment
.	SENT	.
We	PP	we
train	VBP	train
judges	NNS	judge
and	CC	and
we	PP	we
train	VBP	train
prosecutors	NNS	prosecutor
in	IN	in
environmental	JJ	environmental
prosecutions	NNS	prosecution
.	SENT	.
Let	VB	let
me	PP	me
share	NN	share
with	IN	with
you	PP	you
how	WRB	how
this	DT	this
all	RB	all
began	VBD	begin
.	SENT	.
In	IN	in
2014	CD	@card@
,	,	,
I	PP	I
was	VBD	be
invited	VBN	invite
to	TO	to
Brussels	NP	Brussels
to	TO	to
meet	VB	meet
a	DT	a
group	NN	group
of	IN	of
Chinese	JJ	Chinese
officials	NNS	official
.	SENT	.
They	PP	they
said	VBD	say
they	PP	they
wanted	VBD	want
to	TO	to
meet	VB	meet
CEOs	NNS	CEO
of	IN	of
Western	JJ	Western
environmental	JJ	environmental
groups	NNS	group
because	IN	because
they	PP	they
were	VBD	be
looking	VBG	look
to	TO	to
encourage	VB	encourage
more	JJR	more
environmental	JJ	environmental
groups	NNS	group
in	IN	in
China	NP	China
.	SENT	.
Shortly	RB	shortly
after	IN	after
that	DT	that
,	,	,
I	PP	I
was	VBD	be
invited	VBN	invite
to	TO	to
Beijing	NP	Beijing
by	IN	by
the	DT	the
Supreme	NP	Supreme
People	NP	People
'	POS	'
s	JJ	<unknown>
Court	NP	Court
,	,	,
the	DT	the
highest	JJS	high
court	NN	court
in	IN	in
the	DT	the
land	NN	land
.	SENT	.
The	DT	the
judges	NNS	judge
were	VBD	be
working	VBG	work
on	IN	on
regulations	NNS	regulation
for	IN	for
a	DT	a
new	JJ	new
law	NN	law
that	WDT	that
would	MD	would
allow	VB	allow
Chinese	JJ	Chinese
environmental	JJ	environmental
NGOs	NNS	Ngo
to	TO	to
sue	VB	sue
polluting	VBG	pollute
companies	NNS	company
,	,	,
including	VBG	include
those	DT	those
owned	VBN	own
by	IN	by
the	DT	the
state	NN	state
.	SENT	.
They	PP	they
were	VBD	be
interested	JJ	interested
in	IN	in
my	PP$	my
advice	NN	advice
because	IN	because
of	IN	of
my	PP$	my
extensive	JJ	extensive
environmental	JJ	environmental
litigation	NN	litigation
experience	NN	experience
in	IN	in
Europe	NP	Europe
and	CC	and
in	IN	in
America	NP	America
.	SENT	.
They	PP	they
wanted	VBD	want
to	TO	to
know	VB	know
,	,	,
they	PP	they
said	VBD	say
,	,	,
what	WP	what
it	PP	it
would	MD	would
take	VB	take
to	TO	to
really	RB	really
make	VB	make
such	PDT	such
a	DT	a
system	NN	system
work	NN	work
.	SENT	.
I	PP	I
found	VBD	find
myself	PP	myself
in	IN	in
a	DT	a
conference	NN	conference
room	NN	room
in	IN	in
Beijing	NP	Beijing
with	IN	with
three	CD	three
justices	NNS	justice
of	IN	of
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
and	CC	and
senior	JJ	senior
officials	NNS	official
of	IN	of
the	DT	the
Ministry	NP	Ministry
of	IN	of
Environment	NP	Environment
and	CC	and
the	DT	the
People	NNS	people
'	POS	'
s	NN	S
Congress	NP	Congress
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
Chinese	JJ	Chinese
parliament	NN	parliament
.	SENT	.
"	``	"
Before	IN	before
we	PP	we
get	VBP	get
into	IN	into
details	NNS	detail
,	,	,
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
