Hello	UH	hello
,	,	,
everyone	NN	everyone
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
tremendous	JJ	tremendous
pleasure	NN	pleasure
to	TO	to
be	VB	be
here	RB	here
to	TO	to
share	VB	share
with	IN	with
you	PP	you
my	PP$	my
story	NN	story
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
all	RB	all
heard	VBN	hear
of	IN	of
brainwaves	NNS	brainwave
.	SENT	.
For	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
neuroscientists	NNS	neuroscientist
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
they	PP	they
meant	VBD	mean
.	SENT	.
But	CC	but
we	PP	we
slowly	RB	slowly
come	VBP	come
to	TO	to
understand	VB	understand
their	PP$	their
purpose	NN	purpose
.	SENT	.
The	DT	the
brain	NN	brain
generates	VBZ	generate
waves	NNS	wave
with	IN	with
different	JJ	different
paces	NNS	pace
or	CC	or
frequencies	NNS	frequency
to	TO	to
transmit	VB	transmit
information	NN	information
and	CC	and
thoughts	NNS	thought
by	IN	by
coordinating	VBG	coordinate
the	DT	the
activity	NN	activity
of	IN	of
nerve	NN	nerve
cells	NNS	cell
.	SENT	.
These	DT	these
waves	NNS	wave
are	VBP	be
a	DT	a
little	JJ	little
like	IN	like
the	DT	the
effect	NN	effect
of	IN	of
the	DT	the
orchestra	NN	orchestra
conductor	NN	conductor
waving	VBG	wave
a	DT	a
baton	NN	baton
to	TO	to
keep	VB	keep
the	DT	the
musicians	NNS	musician
synchronized	VBD	synchronize
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
today	NN	today
about	IN	about
the	DT	the
waves	NNS	wave
that	WDT	that
have	VBP	have
the	DT	the
so-called	JJ	so-called
gamma	NN	gamma
frequency	NN	frequency
.	SENT	.
These	DT	these
gamma	NN	gamma
waves	NNS	wave
are	VBP	be
particularly	RB	particularly
important	JJ	important
for	IN	for
synchronizing	VBG	synchronize
brain	NN	brain
activity	NN	activity
